Pallet: "democracy", Extrinsic: "proxy_delegate", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,86404,50999
1,81574,48950
1,81445,48352
1,80768,48353
1,80578,47561
1,80921,48379
1,80041,47844
1,81148,48539
1,80592,48006
1,80705,48561
1,83916,48570
1,79897,48367
1,80667,48289
1,80569,48557
1,80373,48693
1,80401,48397
1,80447,48433
1,80845,48578
1,80772,48375
1,80625,48330
2,88495,54131
2,89493,53485
2,89105,53970
2,89095,54105
2,88707,53512
2,92849,54217
2,88979,53660
2,89196,53763
2,88767,53962
2,89520,53995
2,88584,53535
2,88693,53319
2,89355,54129
2,89065,53899
2,88846,54052
2,88823,54247
2,89570,53641
2,89100,53543
2,88987,53968
2,88836,53937
3,96795,57659
3,96390,57111
3,95985,56913
3,96338,56851
3,99751,57286
3,96234,56697
3,96620,57221
3,96505,56469
3,95962,56783
3,96547,57609
3,96395,57309
3,96254,56961
3,96811,57553
3,96736,57154
3,95994,57269
3,96700,60016
3,96397,57092
3,96354,57119
3,96299,57586
3,97171,56835
4,105496,64143
4,104934,64019
4,105077,63301
4,105242,63320
4,105262,63563
4,105172,64327
4,105184,63647
4,105719,63695
4,105213,64035
4,105514,63341
4,123719,76174
4,106400,63138
4,105153,63345
4,105149,63280
4,105499,63015
4,106610,63356
4,105666,63762
4,105416,62591
4,105381,63706
4,105385,63417
5,114428,63409
5,114661,62638
5,114811,63091
5,114238,63066
5,114796,62881
5,113948,62214
5,114431,63094
5,113182,63441
5,114340,63104
5,114174,62766
5,113521,62246
5,113527,62831
5,113682,99701
5,114453,63051
5,113558,62310
5,114194,62523
5,114317,62988
5,114421,63023
5,113337,61978
5,113719,62747
6,122165,65259
6,121962,64748
6,121807,65439
6,121669,64704
6,121262,68200
6,121271,64958
6,121084,64928
6,121450,64494
6,121786,65199
6,122317,64490
6,122788,65095
6,122443,64134
6,122365,65029
6,121405,65394
6,121940,65104
6,122198,64338
6,122096,64622
6,122200,64923
6,121560,65148
6,121511,64435
7,129716,67200
7,129063,68180
7,129388,66980
7,129425,66900
7,129394,67271
7,129518,66806
7,131862,66582
7,129286,67090
7,129122,66893
7,129286,66932
7,129311,67396
7,129293,67537
7,130107,66544
7,130279,66749
7,129417,67181
7,128781,67128
7,128774,68007
7,128933,66809
7,129046,67322
7,129190,65912
8,136935,69282
8,137099,69462
8,137272,69324
8,137997,69400
8,137854,69592
8,137084,69061
8,137096,69120
8,136897,69066
8,137313,70033
8,140101,69353
8,136858,68565
8,138365,68571
8,137534,72734
8,137026,69333
8,136590,69498
8,136159,69314
8,136061,69421
8,136895,69827
8,137908,68934
8,136557,69010
9,143032,71379
9,143471,70679
9,143455,71832
9,144605,71005
9,144045,74537
9,143685,72329
9,143565,71606
9,156429,71446
9,142247,70553
9,143008,71218
9,143475,70971
9,144038,71024
9,142808,70350
9,143684,72174
9,143774,71679
9,142900,70850
9,142944,71779
9,143663,71030
9,143488,71034
9,145172,72705
10,152642,75007
10,155278,74877
10,153432,75420
10,151685,74178
10,152625,74190
10,151059,74725
10,152321,75111
10,152107,74629
10,152217,74757
10,153688,75024
10,150612,74892
10,151783,74455
10,151683,75063
10,153012,74612
10,153263,75571
10,152421,74385
10,150947,74511
10,152427,74805
10,152440,74308
10,152020,74291
11,158417,77160
11,159504,76832
11,160278,78010
11,159149,77101
11,159783,77109
11,159202,76769
11,158151,77090
11,159297,76774
11,158969,77217
11,159004,77082
11,159794,77151
11,158756,77397
11,158579,76802
11,160174,77321
11,159309,76536
11,159239,77865
11,159682,77447
11,159369,77148
11,159825,77514
11,159418,77162
12,166478,78880
12,167029,78336
12,166738,78518
12,168032,79026
12,167915,78595
12,167524,79165
12,171987,78339
12,167738,79047
12,167291,78928
12,167454,79818
12,167732,79208
12,166998,78328
12,166909,79029
12,167463,79156
12,167816,79641
12,168433,79435
12,167862,78869
12,168245,79981
12,166312,79158
12,167798,78426
13,173637,84455
13,173396,85382
13,173998,84780
13,173424,84968
13,177984,85280
13,173861,85766
13,175140,85542
13,174168,84547
13,175068,85222
13,172836,84438
13,175532,84421
13,174590,84888
13,173556,84563
13,175477,85440
13,173436,84908
13,173890,84893
13,174044,85569
13,174637,85878
13,173650,86448
13,174980,89925
14,186591,92232
14,181510,95265
14,183779,92432
14,184155,95790
14,183711,92079
14,183546,94987
14,184414,92046
14,184447,95377
14,183120,91717
14,184655,94812
14,184068,92572
14,183402,92138
14,184293,92052
14,183561,91584
14,184162,91894
14,183242,95215
14,183745,91584
14,181874,91278
14,182515,91702
14,181309,91328
15,190376,94362
15,193148,93811
15,189937,93708
15,190047,93899
15,189649,93859
15,191234,94556
15,190006,94553
15,191377,94279
15,191898,94170
15,191738,93724
15,191200,93685
15,193073,93707
15,190104,94823
15,192550,94521
15,191907,94276
15,191847,94465
15,191654,93936
15,190579,93675
15,189702,94183
15,192596,94837
16,201405,92847
16,197361,93968
16,200012,94463
16,197426,94458
16,198526,94389
16,198890,93902
16,197305,94003
16,197181,94540
