Pallet: "democracy", Extrinsic: "proxy_vote_existing", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,57147,57504
1,54564,51231
1,53598,50310
1,53522,50088
1,53544,50307
1,54791,51346
1,53407,50467
1,53520,49872
1,53639,50042
1,53214,50045
1,53180,50460
1,53981,49858
1,53678,50297
1,53712,50811
1,52980,50157
1,53243,49757
1,53552,49960
1,53792,50223
1,53765,50119
1,53587,50062
2,54595,51131
2,54402,50306
2,54449,50702
2,54292,51096
2,54576,51084
2,53858,50557
2,54927,51252
2,54747,50852
2,54337,51336
2,54072,50720
2,54455,51081
2,55100,50999
2,54362,50793
2,54792,51102
2,54685,50355
2,57450,51676
2,54469,51140
2,54405,50996
2,54831,51019
2,54577,51214
3,55179,52955
3,55359,52712
3,55162,53682
3,54696,53310
3,55193,52661
3,55286,53095
3,55233,53275
3,54630,53133
3,55411,53093
3,54784,52869
3,56857,54259
3,55297,52842
3,55223,53000
3,56324,52932
3,54901,53116
3,55292,52956
3,54666,53203
3,55087,52678
3,54994,53643
3,55335,53409
4,55310,51303
4,54833,52014
4,55122,51445
4,54973,51604
4,55301,51144
4,55383,51619
4,55292,51994
4,54817,51703
4,55646,51957
4,54476,51717
4,55169,51130
4,55543,51187
4,56030,52443
4,55140,51681
4,55820,52855
4,55233,52355
4,56059,51311
4,55726,51782
4,54814,51618
4,55593,52077
5,56208,51149
5,55368,51801
5,55413,51946
5,55545,52761
5,55892,52616
5,55202,51795
5,57407,54110
5,56904,53834
5,58322,53989
5,57364,52837
5,56671,54122
5,55946,53120
5,97392,91949
5,58715,52804
5,98249,52975
5,55749,52377
5,55536,52091
5,55679,52504
5,55492,51884
5,55410,52033
6,91993,55378
6,56958,53981
6,57959,53982
6,56898,53892
6,58447,54364
6,56716,54647
6,56813,54442
6,57044,54334
6,57496,55124
6,56949,54992
6,57087,54120
6,57174,54593
6,57259,53884
6,57670,54785
6,56581,54368
6,56742,54343
6,57133,54863
6,57763,53853
6,57054,54136
6,57389,54914
7,56909,53546
7,56085,53154
7,56533,52744
7,57589,53133
7,56684,52632
7,55971,53017
7,56471,52254
7,57072,53861
7,57510,52819
7,57207,52746
7,58291,53376
7,57097,52128
7,57093,52839
7,57032,52823
7,57230,53100
7,56976,51836
7,56350,52317
7,95082,53954
7,56439,52757
7,56449,52673
8,56955,52972
8,57409,53513
8,57029,53095
8,56590,52916
8,57044,53594
8,57207,53589
8,56441,53479
8,57760,53079
8,57695,52893
8,56674,52838
8,57287,53432
8,57358,52847
8,57547,52908
8,57025,53517
8,57454,52807
8,56802,53041
8,56858,52791
8,56961,53079
8,57067,52404
8,56206,52989
9,58121,54037
9,57712,55401
9,57210,55342
9,57733,55022
9,57257,54990
9,58519,54905
9,57989,55724
9,57192,54463
9,57791,54843
9,57845,55260
9,57627,55241
9,57724,54820
9,57794,55895
9,57463,54818
9,57601,56072
9,57836,55926
9,57863,55100
9,57623,55301
9,57575,55073
9,57829,55178
10,57998,54043
10,57901,53558
10,57612,54156
10,57672,53704
10,57670,54159
10,57758,54038
10,57650,53928
10,58533,53874
10,58469,54152
10,57964,53650
10,57674,53919
10,57697,54347
10,57874,54186
10,57351,54018
10,57547,54328
10,58233,53886
10,57878,53700
10,57867,53608
10,57632,54593
10,57470,54169
11,58917,56676
11,58404,56285
11,58457,56755
