Pallet: "democracy", Extrinsic: "unlock_remove", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,44288,41565
1,42063,35857
1,41433,35513
1,41473,34945
1,41330,34843
1,41553,34875
1,41521,34875
1,41071,35136
1,41245,34889
1,41203,35556
1,41110,40178
1,40855,34875
1,40905,35055
1,41547,35007
1,40928,34789
1,41240,35050
1,41200,35415
1,41994,35279
1,40510,34736
1,41435,35018
2,41741,35845
2,41687,35223
2,41590,35009
2,41322,35474
2,41479,35056
2,41473,35131
2,41457,35009
2,41691,35468
2,41714,35494
2,41369,35752
2,41603,35819
2,41436,35464
2,41601,35511
2,41597,35213
2,41568,35395
2,41701,34936
2,41066,34927
2,41331,35400
2,41905,35272
2,41631,34963
3,42491,35464
3,42079,35851
3,42003,36023
3,42233,36116
3,42721,35886
3,41653,35413
3,42097,36045
3,42373,35878
3,41973,35750
3,41878,35870
3,42176,35296
3,41968,36217
3,42151,35591
3,42168,35545
3,41747,35951
3,42173,36105
3,41866,35351
3,41846,35415
3,41685,35706
3,41633,35974
4,41865,36386
4,41890,36104
4,42269,36114
4,42181,36440
4,41973,36621
4,42084,36942
4,41782,36001
4,42044,36621
4,42272,35961
4,41724,35876
4,42256,36035
4,42310,36443
4,42540,36310
4,42320,35730
4,41891,35930
4,42321,36577
4,41903,36559
4,42400,36456
4,42281,36589
4,41770,36279
5,42285,36490
5,42598,36101
5,42599,36212
5,73540,36709
5,42245,36547
5,42128,36002
5,42557,36291
5,42175,36345
5,42958,36508
5,42051,36720
5,42569,35919
5,42493,36292
5,42152,36672
5,43173,36751
5,42523,36449
5,42712,36518
5,42675,36359
5,42447,36159
5,42671,36670
5,42362,36445
6,42026,37057
6,42901,36899
6,42269,36909
6,42805,36984
6,42343,37252
6,42712,37363
6,42785,36771
6,42492,36414
6,42449,36639
6,42529,36743
6,42999,36662
6,42425,36776
6,42757,36264
6,42453,36892
6,42155,36786
6,42715,36699
6,42404,36469
6,42195,36295
6,42247,36134
6,42757,36628
7,42285,37144
7,42561,37319
7,42804,36848
7,42843,37077
7,42724,37083
7,42439,37354
7,43061,37070
7,42714,36722
7,42544,36634
7,42633,37466
7,42907,37184
