Pallet: "democracy", Extrinsic: "veto_external", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,extrinsic_time,storage_root_time
0,43603,38434
0,30859,28142
0,30594,27426
0,30057,27415
0,30206,26905
0,29855,26756
0,29912,26892
0,29546,26975
0,29555,26538
0,30092,26733
0,29672,26551
0,29695,26351
0,29466,26039
0,29366,26099
0,29335,26259
0,29573,26280
0,29600,25709
0,29253,26187
0,29359,25561
0,29491,25784
2,31098,26449
2,30502,26389
2,30246,26400
2,30157,26314
2,30321,26283
2,30083,26630
2,30290,26461
2,30194,26382
2,29834,26311
2,30073,26432
2,30102,26228
2,30207,26188
2,30307,26564
2,32660,26427
2,30379,25997
2,30009,26253
2,29909,25799
2,29595,25777
2,29827,25858
2,29691,26145
4,30671,26060
4,30633,26322
4,30480,26372
4,30089,25804
4,30430,26025
4,30176,26139
4,30555,26202
4,30597,25584
4,30267,26317
4,30211,25762
4,30501,25745
4,30285,26052
4,30339,25785
4,30590,26117
4,30256,26344
4,30192,26126
4,30403,26074
4,30407,26214
4,30649,25866
4,30628,25732
6,31417,26078
6,30847,25910
6,30933,26274
6,30695,26421
6,30755,26467
6,32532,26465
6,30722,26771
6,30942,26444
6,30942,26468
6,30798,26176
6,30626,26379
6,33845,26837
6,30948,26195
6,30858,26396
6,30797,26447
6,30866,26565
6,30982,26093
6,30847,26322
6,31116,26532
6,30912,26406
8,31267,26637
8,31368,26678
8,31055,26986
8,31087,26708
8,31098,26743
8,31131,26582
8,31084,25980
8,30941,26224
8,31169,26731
8,30659,26357
8,31128,26388
8,30985,26636
8,31231,26331
8,30721,26400
8,31256,26317
8,31063,26198
8,30915,26740
8,31043,26584
8,30931,26063
8,30893,26663
10,31819,26764
10,31521,26798
10,31694,26643
10,31896,26740
10,31980,26358
10,31744,26122
10,31530,26735
10,31502,26415
10,31903,26808
10,59889,26834
10,31895,26226
10,31609,26106
10,31741,26302
10,31566,26378
10,31886,26468
10,31559,26321
10,31635,26203
10,31392,26178
10,31858,26422
10,31735,26323
12,32277,26995
12,32144,26252
12,31997,26284
12,31839,26446
12,32180,26269
12,32005,26138
12,32021,26173
12,32185,26176
12,32162,26188
12,33407,26305
12,32267,26293
12,32053,25963
12,31979,26263
12,31746,26085
12,31827,26196
12,31955,26244
12,32127,26087
12,31927,26425
12,32081,26127
12,32137,26097
14,32323,26336
14,31955,26573
14,31855,26882
14,31892,26491
14,31983,26567
14,35129,27265
14,32003,26724
14,31813,26519
14,32073,26575
14,31989,26140
14,31868,26720
14,31690,26265
14,31876,26679
14,32073,26275
14,31832,26385
14,33790,26826
14,32110,26750
14,32117,26373
14,32096,26219
14,31984,26322
16,32713,26852
16,32427,26856
16,32293,26814
16,32576,26694
16,32699,26701
16,32540,27024
16,32717,26531
16,32687,26745
16,32258,26758
16,32596,26829
16,32888,26936
16,32611,26813
16,32437,26843
16,32596,26737
16,32705,26565
16,32568,26518
16,32150,26573
16,32496,26984
16,32737,26683
16,32674,26717
18,36584,27231
18,32901,27215
18,33155,26878
18,32845,26837
18,32953,26840
18,32741,26760
18,33014,26622
18,32989,26750
18,32985,26542
18,33117,26494
18,32820,26633
18,32888,26612
18,32951,26752
18,33037,26744
18,33337,26339
18,33211,26448
18,33191,26515
18,32984,26366
18,32924,26334
18,32784,26530
20,33384,26983
20,33243,26871
20,33347,26845
20,32978,26751
20,33111,27259
20,33184,26761
20,33064,26986
20,33255,27240
20,33127,26486
20,33038,26839
20,32985,26961
20,32787,27327
20,33156,27145
20,33479,27254
20,33474,26859
20,33159,26892
20,33582,26867
20,32948,26607
20,33059,26729
20,33200,27469
22,34553,27913
22,34140,27265
22,34328,27433
22,34206,27241
22,33853,26938
22,34075,26681
22,33887,26970
22,33875,27059
22,34031,26629
22,34059,26414
22,33725,26948
22,34000,27126
22,34185,27075
22,33934,26927
22,33870,26664
22,33993,26460
22,34021,26862
22,33855,26925
22,34165,27004
22,34004,26537
24,34479,27158
24,33989,27281
24,33776,26798
24,33983,27136
24,33890,26796
24,33884,26973
24,36972,27673
24,34564,27003
24,34180,27070
24,33805,26619
24,33743,27147
24,34077,26995
24,34092,27111
24,33985,27019
24,33987,26847
24,33668,27492
24,33776,26939
24,35752,27507
24,34237,27039
24,34262,26873
26,34737,27168
26,34800,27411
26,34349,26981
26,34522,27221
26,34723,27123
26,34859,27360
26,34804,27238
26,34268,27178
26,34672,27264
26,34727,27463
26,34368,27403
26,34650,27015
26,34391,27209
26,34748,27118
26,34428,27237
26,34735,27119
26,34587,27184
26,34231,32303
26,34872,27075
26,34852,27008
28,35525,27479
28,34899,27165
28,35088,27090
28,35195,26919
28,35108,27314
28,35163,27179
28,35172,27101
28,35067,27092
28,35056,27173
28,34782,27025
28,35253,27054
28,35166,26889
28,34949,26870
28,34968,26819
28,35204,27085
28,35324,27328
28,35128,27122
28,34937,26952
28,35072,26871
28,34901,26786
30,35211,27575
30,35034,27756
30,35010,27650
30,34911,27473
30,35191,27619
30,35243,27243
30,35066,27169
30,35309,27343
30,35397,27181
30,35098,27183
30,35303,27690
30,35214,27282
30,35340,27709
30,34992,27482
30,34860,27253
30,35126,27364
30,34989,27419
30,34961,27626
30,35051,27254
30,35099,27289
32,38269,27962
32,36340,27620
32,36453,27411
32,36299,27452
32,36056,27653
32,36070,27782
32,36136,27707
32,36013,27478
32,36016,27586
32,36148,27395
32,36390,27676
32,36264,27233
32,35978,27637
32,36079,27435
32,35912,27611
32,36277,27702
32,35866,27672
32,35878,27545
32,36095,27797
32,36223,27872
34,37340,28087
34,36772,27918
34,36869,27793
34,36731,27590
34,36646,27543
34,36936,27674
34,36625,27457
34,36956,27502
34,36795,27424
34,36883,27786
34,36812,28049
34,36937,27870
34,36707,27752
34,36869,27679
34,36497,27505
34,37716,41035
34,36952,28039
34,36660,27951
34,36609,28216
34,36501,27765
36,37636,28027
36,37434,27889
36,37429,27675
36,37098,27729
36,37048,27618
36,37556,27928
36,37781,28008
36,37029,27627
36,37505,28035
36,37139,27800
