Pallet: "democracy", Extrinsic: "vote_existing", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,51802,57441
1,49001,50287
1,48782,50019
1,48434,50100
1,49607,49375
1,49443,50048
1,48883,50227
1,48331,50060
1,48941,49871
1,48943,49289
1,49028,49733
1,49088,49795
1,48528,50390
1,48665,50104
1,49349,49736
1,49188,49776
1,48603,50026
1,48943,49676
1,49214,49423
1,49030,53149
2,49931,50756
2,49673,50220
2,49669,50247
2,49408,50761
2,50010,50356
2,49719,50331
2,49088,49855
2,49339,50528
2,49759,50161
2,49353,50917
2,49607,49799
2,49810,50796
2,49469,49701
2,49764,50432
2,49718,51059
2,49470,50424
2,49558,50625
2,49879,50319
2,49652,50405
2,49556,50371
3,50495,52888
3,54278,53631
3,50428,52686
3,51059,53207
3,50375,52935
3,50814,52551
3,50754,53288
3,50240,52519
3,50921,51983
3,50635,52479
3,50946,52437
3,51278,53131
3,50352,52936
3,50847,52895
3,51070,52877
3,51019,52879
3,50509,52807
3,51056,53126
3,50407,52332
3,50531,52905
4,50584,51035
4,50207,51353
4,50285,51879
4,50578,51545
4,50599,50912
4,51078,52186
4,49629,51138
4,50498,51239
4,50427,51813
4,50574,50944
4,50253,51276
4,50665,50322
4,50338,51292
4,50370,50882
4,50802,51464
4,50158,51162
4,50737,51159
4,50339,50773
4,50885,51473
4,50460,51652
5,50896,51347
5,50771,51108
5,50544,51631
5,51754,51850
5,51230,51920
5,51432,50958
5,51131,51634
5,50449,51191
5,51038,51958
5,50676,51584
5,54414,51726
5,50449,51886
5,51214,51303
5,50886,51621
5,50912,51220
5,51211,51535
5,51030,51336
5,50753,51165
5,50680,51378
5,50997,51047
6,52131,53883
6,51950,54366
6,51907,54364
6,51797,53863
6,51506,54245
6,51880,54304
6,51851,54526
6,51872,54215
6,51415,53820
6,51885,53426
6,52254,54002
6,51937,53930
6,52061,53726
6,51792,54234
6,51904,54333
6,52161,53665
6,52648,54263
6,52038,53681
6,51651,53958
6,52276,54059
7,83232,53175
7,51954,52981
7,51990,52051
7,51839,52619
7,51737,52577
7,52006,52633
7,52070,52234
7,51734,52705
7,52478,52404
7,51217,52316
7,51554,52632
7,51387,52507
7,52491,51930
7,51862,52493
7,52325,52818
7,55201,52655
7,51837,52845
7,51088,52200
7,51527,52693
7,51317,52378
8,51801,52725
8,52186,52686
8,52136,52770
8,52573,52615
8,53012,53259
8,52249,52618
8,51806,52939
8,51915,52478
8,51667,52696
8,51861,55716
8,52317,52946
8,52104,52907
8,52320,53141
8,51822,52747
8,52520,52548
8,51685,52826
8,52843,53132
8,51914,53374
8,52029,52754
8,51955,52835
9,52076,53863
9,52167,54380
9,52494,55203
9,52423,54598
9,52821,54780
9,52167,55305
9,52714,54711
9,53095,54569
9,52886,55021
9,52462,54840
9,52576,54204
9,52857,55155
9,52830,54954
9,52489,54806
9,52985,54555
9,52883,55040
9,52292,54317
9,52165,54150
9,52442,57527
9,52052,54850
10,53912,51061
10,71625,67249
10,52796,54437
10,52816,53125
10,53324,54149
10,52702,53198
10,52585,53594
10,53359,53456
10,52245,53619
10,52405,53498
10,52817,53518
10,52549,53310
10,51892,53940
10,53201,53742
10,52584,52878
10,52634,53951
10,53432,53317
10,52369,53542
10,52412,53871
10,53082,53333
11,53528,56188
11,53070,56069
11,52915,56299
11,53308,56936
11,53387,55722
11,52912,56086
11,54004,55824
11,53512,55668
11,53027,55685
11,53074,56240
11,53110,56483
11,53867,55066
11,53499,56359
11,54629,52794
11,53355,55352
11,52652,55356
11,53688,55821
11,53610,55952
11,53357,55555
11,54034,55670
12,53618,54514
12,53356,54596
12,53312,54065
12,52524,54592
12,52945,53777
12,53829,54019
12,53033,54034
12,53156,54380
12,53541,54211
12,53375,54412
12,53345,54375
12,53057,55203
12,52602,54439
12,52275,54913
12,52875,54288
12,54612,54912
12,53799,53997
12,53318,54055
12,53607,54340
12,53298,54338
13,54172,56795
13,53736,55870
13,53488,55992
13,54075,56051
13,54064,55192
13,54233,55636
13,54009,55437
13,53915,56331
13,53377,56027
13,53630,56050
13,53696,56622
13,53572,55784
13,53707,56089
13,53622,55678
13,53933,57010
13,53786,55767
13,54277,56082
13,53513,56554
13,53702,56304
13,53696,55638
14,53860,54782
14,54733,54741
14,54059,54905
14,54558,54081
14,53993,54505
14,54006,54263
14,54427,54316
14,54453,54988
14,54516,54815
14,55345,54453
14,54550,54283
14,54297,54648
14,55514,54545
14,54498,53958
14,54228,54866
14,54443,54949
14,54365,54556
14,54317,54563
14,54699,54675
14,54452,54609
15,54210,54929
15,54171,54968
15,53820,55059
15,53940,54742
15,53995,54808
15,54102,55189
15,53808,55589
15,54556,54853
15,54455,54812
15,54457,57989
15,54002,55005
15,54233,54722
15,54605,55061
15,53692,55640
15,54030,54436
15,55517,54661
15,54760,55045
15,54433,54602
15,54811,54803
15,54891,54247
16,55692,57429
16,55873,56566
16,55810,56295
16,55990,57612
16,55939,56152
16,55668,56781
16,55261,55991
16,55470,56861
16,56125,56475
16,56164,58180
16,55880,57076
16,56007,56626
16,56174,57252
16,55504,57689
16,55503,56800
16,56209,57625
16,55672,56609
16,55573,56341
16,56053,56914
16,55694,56526
17,56021,56058
17,55344,55442
17,54812,55792
17,54940,55393
17,54815,55611
17,54568,55446
17,54539,55265
17,54984,55245
17,53876,55592
17,54840,55532
17,54667,55539
17,54817,55693
17,55330,55607
17,54803,55984
17,55401,55494
17,55284,55690
17,55367,55025
17,54576,55000
17,54415,55158
17,54396,55440
18,56580,57082
18,56267,57312
18,56469,57031
18,56245,57736
18,56424,57054
18,60592,58108
18,55990,57459
18,56606,57052
18,56660,57147
18,55844,56943
18,55910,57173
18,56850,58248
18,56539,57344
18,56498,58256
18,56275,57330
18,56393,57405
18,55527,57938
18,56700,57203
18,56899,57428
18,56109,56593
19,55802,57340
19,55471,58746
19,55853,57506
19,55621,57179
19,55691,57313
19,55413,57920
19,55762,57669
19,55433,57970
19,55382,57516
19,55033,57618
19,55223,57137
19,55664,58228
19,56179,58178
19,55321,57123
19,55427,57377
19,55337,58027
19,54985,57802
19,55068,57677
19,55591,58245
19,55346,57460
20,56185,55732
20,56575,56925
20,56150,56367
20,56311,56046
20,56628,56274
20,56623,56461
20,57170,56281
20,56183,56039
20,56324,55876
20,55791,55839
20,56584,56350
20,56334,56396
20,56263,55704
20,56409,55926
20,56184,58985
20,56317,56014
20,56530,55584
20,56249,55759
20,56253,56019
20,56180,56148
21,55894,57583
21,55870,58210
21,56963,58623
21,56135,58187
21,56280,57954
21,56187,58698
21,55736,58656
21,56725,57786
21,55528,57995
21,56240,58108
21,56319,58125
21,56748,58296
21,55836,58227
21,55384,57423
21,55809,57824
21,55720,58002
21,56119,58533
21,56207,57748
21,55984,58073
21,55983,61615
22,56907,58613
22,57599,57932
22,57923,58280
22,57221,57974
22,56744,58191
22,57366,58389
22,56968,57505
22,56778,57801
22,57519,58234
22,56802,57602
22,57193,58322
22,57203,58257
22,57109,58132
22,56801,57872
22,57768,58036
22,57370,57968
22,56535,58636
22,57725,58113
22,56626,58464
22,57168,58285
23,55591,58498
23,56077,59367
23,56011,58831
23,56845,58384
23,56419,58279
23,55943,58705
23,55810,58559
23,57732,54502
23,57234,55018
23,55663,58705
23,56306,58679
23,58162,54282
23,57463,54729
23,55890,58964
23,56816,57920
23,55923,58938
23,55868,58598
23,56560,58655
23,55732,59055
23,56090,58704
24,57330,57756
24,56400,57466
24,57141,56776
24,71644,53414
24,57928,53700
24,56485,57448
24,57147,56986
24,56731,57535
24,57289,57365
24,57799,52516
24,56677,57051
24,57234,56996
24,56950,56772
24,57851,57543
24,58743,52611
24,56750,57141
24,57671,57203
24,56774,57351
24,56654,57443
24,58009,57328
25,56989,59313
25,56052,59539
25,55739,59196
25,56290,59593
25,56423,59373
25,55788,59279
25,56775,55605
25,56453,58932
25,57291,59456
25,56245,59462
25,56472,59431
25,56444,59378
