Pallet: "elections", Extrinsic: "phragmen", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,e,extrinsic_time,storage_root_time
1,500,16,7798276,43955
1,500,16,7660508,41853
1,500,16,7681250,41108
1,500,16,7674849,42134
1,500,16,7708528,41807
1,500,16,7691919,41439
1,500,16,7694298,42167
1,500,16,7696141,41729
1,500,16,7660946,41614
1,500,16,7650450,41491
1,500,16,7663139,41947
1,500,16,7684966,41902
1,500,16,10212210,60929
1,500,16,8112902,43365
1,500,16,7886570,43549
1,500,16,7909625,42722
1,500,16,7831682,42723
1,500,16,7834597,42668
1,500,16,7737211,41468
1,500,16,7668330,41295
2,500,16,9222900,42425
2,500,16,9139856,41563
2,500,16,9104749,41515
2,500,16,9114445,41768
2,500,16,9200325,41413
2,500,16,9092457,41388
2,500,16,9109975,41336
2,500,16,9204246,41712
2,500,16,9183990,41263
2,500,16,9171193,41179
2,500,16,9157292,41670
2,500,16,9175049,41867
2,500,16,9111270,41300
2,500,16,9199393,41607
2,500,16,9060382,41517
2,500,16,9138870,41068
2,500,16,9129603,41589
2,500,16,9113423,41481
2,500,16,9115099,41427
2,500,16,9130315,41824
3,500,16,11706842,41818
3,500,16,10740251,42067
3,500,16,10816738,42164
3,500,16,10763149,42388
3,500,16,10795754,42059
3,500,16,10837321,42148
3,500,16,10749472,41967
3,500,16,10751498,42394
3,500,16,10756035,41988
3,500,16,10852781,42030
3,500,16,10841082,42632
3,500,16,10788598,42431
3,500,16,10753461,41865
3,500,16,10751428,41913
3,500,16,10791689,41891
3,500,16,10806622,42002
3,500,16,10735433,41874
3,500,16,10827381,42219
3,500,16,10708384,41662
3,500,16,10920990,51747
4,500,16,12508681,43465
4,500,16,12419477,42434
4,500,16,12400394,43091
4,500,16,12410796,42719
4,500,16,12606108,44642
4,500,16,12393527,41567
4,500,16,12426187,42556
4,500,16,12366855,42315
4,500,16,12395564,42487
4,500,16,12397995,42505
4,500,16,12377628,41775
4,500,16,12430905,42118
4,500,16,12343732,42735
4,500,16,12368348,42023
4,500,16,12422215,42632
4,500,16,12380716,42067
4,500,16,12385258,42792
4,500,16,12380054,41919
4,500,16,12505191,42575
4,500,16,12440607,41924
5,500,16,14948739,42433
5,500,16,14851957,42850
5,500,16,14815309,42433
5,500,16,14805781,42678
5,500,16,14820003,41637
5,500,16,14934221,43053
5,500,16,14906074,43225
5,500,16,14928479,43672
5,500,16,14826658,42862
5,500,16,14914644,42702
5,500,16,14808133,42639
5,500,16,14929900,42802
5,500,16,14882777,42176
5,500,16,14955689,42620
5,500,16,15744218,42788
5,500,16,14746387,43272
5,500,16,14822335,42279
5,500,16,14910662,43020
5,500,16,14770899,41959
5,500,16,14840162,42642
6,500,16,17153945,42864
6,500,16,17200525,42426
6,500,16,17103871,42660
6,500,16,17058865,42843
6,500,16,17164702,41965
6,500,16,17163087,42702
6,500,16,17163890,42841
6,500,16,17095633,42735
6,500,16,17048774,43085
6,500,16,17135785,43395
6,500,16,17056359,42913
6,500,16,17105631,43190
6,500,16,17275989,43543
6,500,16,17177386,42987
6,500,16,17067616,42377
6,500,16,17085778,42364
6,500,16,17185773,42771
6,500,16,17129713,42490
6,500,16,17047710,42579
6,500,16,17109551,44025
7,500,16,19781321,43757
7,500,16,19805193,43095
7,500,16,19792932,43073
7,500,16,19799515,43206
7,500,16,19767469,42853
7,500,16,19888596,45091
7,500,16,19794578,42702
7,500,16,19817162,43749
7,500,16,19893675,43392
7,500,16,19912746,43345
7,500,16,19773741,43210
7,500,16,19819538,43724
7,500,16,19805465,45957
7,500,16,19831147,43131
7,500,16,19777571,43161
7,500,16,19846726,43937
7,500,16,19764360,43084
7,500,16,19752900,43188
7,500,16,19843959,42888
7,500,16,19818324,43420
8,500,16,23017999,44117
8,500,16,23011625,43497
8,500,16,22851373,43060
8,500,16,23000022,44595
8,500,16,22882315,43607
8,500,16,22896740,44441
8,500,16,22905185,44168
8,500,16,22917831,43744
8,500,16,22884208,43274
8,500,16,23017688,43717
8,500,16,22885692,44241
8,500,16,22921095,43067
8,500,16,22925093,44127
8,500,16,22947548,42682
8,500,16,22905206,43513
8,500,16,22964807,44138
8,500,16,22955596,44686
8,500,16,22925007,43385
8,500,16,22964046,44420
