Pallet: "elections", Extrinsic: "remove_member_wrong_refund", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,7400,3901
0,6060,2532
0,5860,2511
0,5938,2541
0,5812,2524
0,5598,2565
0,5785,2500
0,5693,2513
0,5607,2552
0,5785,2489
0,5775,2503
0,5836,2517
0,5704,2570
0,5635,2498
0,5783,2473
0,5845,2483
0,5777,2529
0,5565,2542
0,5593,2505
0,6018,2525
20,5829,2607
20,5698,2538
20,5599,2527
20,5842,2506
20,5751,2486
20,5624,2493
20,5750,2522
20,5668,2531
20,5676,2523
20,5905,2504
20,5851,2474
20,5844,2540
20,5811,2436
20,5630,2553
20,5863,2507
20,5797,2488
20,5902,2471
20,5788,2476
20,5782,2420
20,5961,2470
40,5706,2449
40,5602,2452
40,5683,2498
40,5729,2537
40,5630,2524
40,5822,2532
40,5705,2536
40,5722,2585
40,5657,2468
40,5871,2544
40,5758,2504
40,5716,2495
40,5919,2485
40,5920,2471
40,5724,2534
40,5769,2477
40,5779,2500
40,5665,2510
40,5781,2479
40,5909,2491
60,5856,2549
60,5663,2513
60,5756,2533
60,5873,2594
60,5744,2574
60,5659,2482
60,5789,2526
60,5693,2530
60,5757,2457
60,5785,2558
60,5749,2520
60,5814,2513
60,5598,2502
60,5789,2492
60,6249,2488
60,5664,2495
60,5760,2468
60,5606,2488
60,5847,2444
60,6012,2473
80,5834,2563
80,5849,2546
80,5745,2476
80,5667,2534
80,5616,2509
80,5715,2595
80,5827,2530
80,5759,2539
80,5802,2498
80,5682,2462
80,5701,2558
80,5640,2473
80,5628,2604
80,5762,2487
80,5881,2489
80,5689,2443
80,5767,2528
80,5756,2483
80,5798,2495
80,6009,2538
100,5949,2476
100,5876,2577
100,5803,2496
100,5574,2481
100,5646,2511
100,5550,2535
100,5717,2445
100,5985,2549
100,5615,2544
100,5670,2563
100,6173,2513
100,5830,2475
100,5686,2477
100,5794,2509
100,5891,2446
100,5738,2479
100,5618,2557
100,5829,2488
100,5582,2492
100,5903,2512
120,5900,2460
120,5838,2544
120,5836,2495
120,5727,2462
120,5789,2503
120,5777,2442
