Pallet: "elections", Extrinsic: "renounce_candidacy_member_runner_up", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,58303,53139
0,47790,49093
0,46865,49171
0,46956,48774
0,46642,48872
0,47298,48341
0,46153,49055
0,46638,49691
0,46777,48754
0,47237,48728
0,46094,47866
0,46337,47497
0,45891,47663
0,45375,48163
0,45468,48373
0,46048,47222
0,45511,47889
0,46304,47571
0,44998,48196
0,45020,48244
20,46173,47288
20,46390,47298
20,45462,47721
20,45809,47822
20,46305,47505
20,45140,47833
20,46117,47731
20,46267,47576
20,45970,47622
20,45659,48180
20,46359,47852
20,46576,47755
20,45467,48613
20,46520,47521
20,45937,47172
20,46202,47431
20,45654,47533
20,45871,47639
20,46100,47925
20,49092,47970
40,46262,47795
40,46093,47613
40,45690,47739
40,46147,46952
40,46270,47583
40,46629,47463
40,46197,48040
40,46433,47438
40,46269,47329
40,45938,47905
40,46656,47599
40,46201,47155
40,46477,47868
40,46277,47424
40,46117,47431
40,46044,47949
40,46316,47629
40,45935,47472
40,46056,47631
40,46561,47699
60,46136,48046
60,46563,47517
60,46490,48002
60,46348,47469
60,45847,47348
60,46298,47543
60,45405,47597
60,45868,47430
60,46656,47735
60,46430,47309
60,46513,47415
60,46586,47276
60,46678,47612
60,45908,47196
60,45996,48233
60,46255,48095
60,46409,47113
60,46443,47563
60,46582,46905
60,45631,48126
80,46177,47749
80,77063,47668
80,45474,47817
80,45593,47742
80,45615,47360
80,46036,47774
80,46374,50394
80,46515,47641
80,46074,47408
80,45432,47389
80,45660,47920
80,45894,47679
80,45999,47408
80,45575,47690
80,45317,47393
80,46303,47468
80,45910,47594
80,46059,47637
80,46231,47495
80,45821,47370
100,45131,48339
100,46318,47719
100,46446,47300
100,46047,47934
100,45263,47877
100,45923,48134
100,46361,47504
100,46385,47682
100,45898,47375
100,45781,47933
100,46157,48047
100,46553,47345
100,46298,48130
100,46054,47606
100,46319,47743
100,46116,47848
100,45488,48201
100,45819,47341
100,46204,47420
100,45830,47876
120,45900,47359
120,46203,47243
120,46059,47293
120,45302,47639
120,46428,47819
120,45883,47601
120,46279,47952
120,46203,47378
120,46539,47641
120,46356,48141
120,46099,47610
120,45740,47019
120,46299,47273
120,46222,47049
120,46011,47651
120,46511,48224
120,46153,47835
120,46604,47818
120,49029,47918
120,46245,47174
140,46191,47797
140,45878,47680
140,45864,47353
140,46088,47484
140,46446,47733
140,46125,47415
140,46026,47409
140,46156,47772
140,45682,46894
140,45636,47818
140,46298,47541
140,46262,47687
140,45424,47771
140,46052,47642
140,46233,47606
140,45634,47831
140,45849,47424
140,46253,47318
140,46200,47774
140,46325,46955
160,45706,47126
160,45513,47166
160,46413,47748
160,45870,47242
160,46180,47425
160,46473,47596
160,46057,47951
160,46056,47235
160,46177,47200
160,46201,47219
160,46178,47771
160,46044,47636
160,45398,48360
160,46218,47452
160,45536,47643
160,46693,47778
160,46377,47786
160,46378,48085
160,45793,47433
160,45937,47982
180,49196,74915
180,46534,47549
180,46150,47429
180,46082,47124
180,46229,47792
180,46211,47994
180,46359,47764
180,45593,48287
180,46141,47629
180,45976,47582
180,45963,47230
180,46240,47856
180,45735,48035
180,45786,47682
180,46189,47824
180,46162,47571
180,45988,47810
180,46177,48123
180,46060,47983
180,45905,46826
200,45043,47907
200,46273,47297
200,46374,47562
200,45948,47776
200,45900,47604
200,46254,48430
200,45828,47304
200,45630,47876
200,46114,47439
200,46339,47738
200,46973,47247
200,46540,47894
200,46637,47831
200,45975,47900
200,46194,47901
200,45708,47641
200,46021,47462
200,46664,47690
200,46132,47284
200,46549,47847
220,46367,46823
220,46105,47402
220,46324,50134
220,46784,47151
220,46711,47660
220,45901,47821
220,45749,48272
220,46238,47603
220,45937,47285
220,45971,47684
220,46044,47348
220,46387,47703
220,45778,47392
220,46368,47526
220,46751,47352
220,45730,47850
220,46245,47965
220,45972,47594
220,46419,48034
220,46254,47220
240,46849,47673
240,45284,48172
240,46500,47711
240,46374,47498
240,45842,47430
240,45418,47691
240,45913,48309
240,46360,47346
240,46256,47686
240,45739,47289
240,45650,48041
240,46417,47768
240,45567,48063
240,45228,48647
240,45848,48425
240,46208,47891
240,46303,47041
240,45340,47716
240,46585,47687
240,49453,47801
260,46358,47734
260,45446,48199
260,46489,47769
260,45837,47815
260,46152,47587
260,44916,47858
260,46074,47366
260,45412,47605
260,46428,47673
260,46192,47859
260,46189,47708
260,46446,47905
260,46301,47828
260,45737,48210
260,46101,47194
260,45840,47030
260,45993,47711
260,45773,47838
260,45755,48405
260,45691,48276
280,46294,47829
280,46290,47379
280,46426,47525
280,46294,47584
280,46150,47391
280,46700,47834
280,46539,47739
280,46068,47909
280,46526,47316
280,46224,47687
280,45848,47320
280,46374,47950
280,46216,48045
280,46117,47881
280,46320,47879
280,46693,47116
280,45441,48418
280,46121,47549
280,45052,47710
280,46338,47588
300,46879,48317
300,47174,46056
300,46819,46531
300,46801,46598
300,45251,47261
300,46616,46060
300,46559,47728
300,46255,47335
300,46308,47273
300,45784,47674
300,46196,47308
300,46495,51317
300,46001,47724
300,45874,48391
300,45972,48117
300,45658,47903
300,46039,47470
300,46092,48019
300,45634,47885
300,45306,48027
320,45861,47790
320,45786,47516
320,46267,47942
320,46255,47730
320,45730,48075
320,46314,47658
320,45892,47166
320,45859,48005
320,46459,47408
320,46212,47615
320,46183,47199
320,45726,47168
320,46314,47664
320,45570,48229
320,46222,47887
320,46184,47293
320,46271,47113
320,46160,47618
320,46508,47555
320,46398,47591
340,46359,47869
340,46061,47954
340,45886,47467
340,46545,47850
340,46174,47644
340,46196,47773
340,46263,47385
340,46118,47708
340,49180,47606
340,46009,47385
340,46107,47304
340,46261,47397
340,46195,48145
340,49166,48151
340,46225,47955
340,45648,48184
340,46017,47339
340,46046,47731
340,46018,47982
340,46405,47224
360,46354,47699
360,46041,47913
360,46366,47662
360,46422,48400
360,46232,47604
360,46203,47606
360,45730,47499
360,45236,47612
360,46093,47075
360,46696,47645
360,46278,47270
360,46136,47603
360,45828,48106
360,46488,47924
360,45735,47235
360,45888,47678
360,46318,47824
360,46605,47754
360,46248,47392
360,45250,47583
380,45960,47424
380,46454,47532
380,46401,48417
380,46976,44172
380,46029,47542
380,45123,47133
380,46303,47705
380,46537,47588
380,45885,47522
380,46292,47711
