Pallet: "elections", Extrinsic: "report_defunct_voter_correct", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,v,extrinsic_time,storage_root_time
1,16,220333,71193
1,16,209912,66198
1,16,210846,66020
1,16,209955,66798
1,16,209533,66778
1,16,210488,65864
1,16,211007,65656
1,16,211683,65774
1,16,209876,68818
1,16,209986,66001
1,16,212088,66358
1,16,210540,65398
1,16,209406,66132
1,16,211577,65083
1,16,211197,66547
1,16,210806,66463
1,16,211305,65489
1,16,209816,65119
1,16,209906,65805
1,16,211135,66002
2,16,215401,66310
2,16,211648,65784
2,16,211766,65636
2,16,212139,65253
2,16,212409,65324
2,16,211989,66831
2,16,213016,65604
2,16,211722,65837
2,16,211609,65608
2,16,211642,65507
2,16,213617,66240
2,16,213786,65674
2,16,213140,65637
2,16,212331,65735
2,16,214212,66006
2,16,216444,66423
2,16,212391,65749
2,16,212621,65499
2,16,211715,65636
2,16,213040,65724
3,16,214615,65615
3,16,213754,66535
3,16,214810,64978
3,16,214094,66584
3,16,214747,66337
3,16,214107,65445
3,16,213457,66285
3,16,214678,65809
3,16,214528,66120
3,16,214736,65637
3,16,215682,65180
3,16,214698,66128
3,16,218504,65937
3,16,214970,97689
3,16,214954,65744
3,16,215021,65939
3,16,214129,66538
3,16,214177,65741
3,16,214557,65625
3,16,213622,65652
4,16,216721,65030
4,16,217692,66559
4,16,216196,66108
4,16,217072,66106
4,16,215205,65976
4,16,216898,65991
4,16,217242,65440
4,16,216727,66110
4,16,216552,66045
4,16,216622,65949
4,16,217380,66029
4,16,217638,65888
4,16,216098,66486
4,16,216689,65547
4,16,218583,67620
4,16,219450,66621
4,16,216256,66755
4,16,215256,66725
4,16,216351,66067
4,16,215449,65746
5,16,217232,65297
5,16,218356,65323
5,16,216677,66947
5,16,218564,65985
5,16,217730,66284
5,16,218955,65640
5,16,217917,65940
5,16,218817,66016
5,16,217204,66057
5,16,218302,65659
5,16,218219,66640
5,16,217260,67252
5,16,217632,66690
5,16,217303,65383
5,16,217681,65727
5,16,217423,65818
5,16,218248,65446
5,16,217945,65895
5,16,218580,65881
5,16,218453,66167
6,16,219207,65993
6,16,220688,65823
6,16,219280,67097
6,16,218037,66530
6,16,219448,66192
6,16,219714,66178
6,16,221103,66769
6,16,219960,66021
6,16,218324,66699
6,16,220040,65834
6,16,219762,66219
6,16,220254,66632
6,16,220519,65730
6,16,220777,66478
6,16,222630,66084
6,16,222881,66158
6,16,222848,65719
6,16,223237,65728
6,16,220283,68270
6,16,219912,66595
7,16,221971,66737
7,16,221758,66242
7,16,221269,66193
7,16,220912,65995
7,16,220886,65963
7,16,219539,65954
7,16,220726,66251
7,16,221461,65980
7,16,221673,65838
7,16,222213,66009
7,16,221051,65373
7,16,221180,65405
7,16,221798,66666
7,16,221371,65704
7,16,220970,66070
7,16,222075,65980
7,16,220760,65870
7,16,221969,66343
7,16,222017,65882
7,16,221385,66136
8,16,223105,66913
8,16,222882,66740
8,16,223481,69306
8,16,222812,69620
8,16,226454,66249
8,16,229594,66129
8,16,227052,66212
8,16,225983,65780
8,16,227003,67209
8,16,235866,66263
8,16,224601,66677
8,16,223121,66316
8,16,223947,66159
8,16,223902,66057
8,16,224110,65739
8,16,224502,65746
8,16,223912,66647
8,16,222833,66119
8,16,222371,66312
8,16,222960,66455
9,16,225692,66367
9,16,223476,66569
9,16,224385,66836
9,16,223960,66895
9,16,224511,66614
9,16,224410,66174
9,16,223267,66595
9,16,224017,66048
9,16,224490,66246
9,16,223698,66567
9,16,224096,66747
9,16,222560,66957
9,16,225323,66302
9,16,225308,66256
9,16,224333,66075
9,16,225010,66336
9,16,223565,66398
9,16,224996,66422
9,16,223123,66689
9,16,223659,65770
10,16,225668,66326
10,16,225570,66729
10,16,226781,66546
10,16,225587,66105
10,16,226388,66844
10,16,225560,66676
10,16,225717,66529
10,16,225555,66901
10,16,226502,66746
10,16,226317,69344
10,16,231487,66569
10,16,226001,66360
10,16,227678,66178
10,16,225333,66458
10,16,226731,66663
10,16,225860,66500
10,16,225618,66338
10,16,226188,66560
10,16,225724,66336
10,16,225711,66007
11,16,228981,66607
11,16,227985,67046
11,16,227263,66471
11,16,229054,66731
11,16,227714,66634
11,16,228659,66705
11,16,228211,66774
11,16,227577,65957
11,16,228306,65951
11,16,227696,67250
11,16,227672,66611
11,16,227659,66297
11,16,231548,66707
11,16,228057,66983
11,16,228568,66467
11,16,227199,67062
11,16,228275,66863
11,16,228282,66726
11,16,228431,67197
11,16,228174,66938
12,16,228914,66892
12,16,232662,62099
12,16,229704,66616
12,16,231641,62430
12,16,230273,66671
12,16,229447,66340
12,16,229611,67166
12,16,230456,67222
12,16,228941,66785
12,16,232929,67072
12,16,229652,67651
12,16,229503,66777
12,16,228713,66557
12,16,229788,66667
12,16,229049,67559
12,16,229593,66488
12,16,229195,66750
12,16,229757,66884
12,16,230639,67214
12,16,229509,66505
13,16,230434,67669
13,16,230035,68511
13,16,230825,66300
13,16,230593,66238
13,16,234375,66917
13,16,231315,67192
13,16,230636,66631
13,16,230875,66984
13,16,230871,67169
13,16,230335,67081
13,16,230420,66650
13,16,232968,67027
13,16,231461,66782
13,16,230047,66547
13,16,231565,66677
13,16,230577,66910
13,16,231778,67198
13,16,233269,66972
13,16,231470,66334
13,16,231165,66707
14,16,232848,66552
14,16,230607,67238
14,16,232560,67147
14,16,232388,66683
14,16,231687,66573
14,16,232538,67001
14,16,232791,66572
14,16,232964,66455
14,16,233123,67055
14,16,235857,66935
14,16,234324,66921
14,16,232571,67609
14,16,232490,67766
14,16,232912,66753
14,16,232113,67213
14,16,231788,66954
14,16,231896,66732
14,16,233303,67178
14,16,231395,67194
14,16,231297,67057
15,16,237052,67584
15,16,234259,66997
15,16,233984,67421
15,16,234595,67974
15,16,234857,67251
15,16,234087,66501
15,16,234354,67324
15,16,232737,68090
15,16,233719,68668
15,16,233689,67672
15,16,234591,67507
15,16,233353,66317
15,16,233925,67261
15,16,234275,66987
15,16,234964,67541
15,16,235130,67412
15,16,234633,67124
15,16,233573,67713
15,16,233485,66437
15,16,234083,70338
16,16,235640,67975
16,16,235895,68253
16,16,236157,68155
16,16,235422,67506
16,16,235841,67863
16,16,235608,68025
16,16,235730,67283
16,16,234946,67422
16,16,239567,68305
16,16,235103,67693
16,16,235630,67319
16,16,236968,61590
16,16,235671,67133
16,16,235971,67577
16,16,236327,67942
16,16,235525,67450
16,16,235937,67318
16,16,235566,67200
16,16,235894,67547
16,16,236706,68090
17,16,237072,67549
17,16,237171,67639
17,16,238230,67258
17,16,236743,67970
17,16,237583,67634
17,16,237395,67440
17,16,237127,66698
17,16,237596,67071
17,16,237060,66841
17,16,238148,67635
17,16,237406,67674
17,16,237636,66636
17,16,241793,67461
17,16,236676,67621
17,16,237218,67014
17,16,238456,67122
17,16,238044,66940
17,16,238166,67991
17,16,236993,66668
17,16,237329,67660
18,16,239636,69081
18,16,238704,67674
18,16,241059,67661
18,16,239581,67308
18,16,239095,67639
18,16,238454,67565
18,16,239374,68010
18,16,239483,68368
18,16,239684,67739
18,16,238534,67800
18,16,239653,67388
18,16,239446,67522
18,16,238190,67322
18,16,239042,67878
18,16,239777,67806
