Pallet: "identity", Extrinsic: "set_fee", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,extrinsic_time,storage_root_time
1,9648,12341
1,7847,9699
1,7753,9209
1,7644,9132
1,7545,9065
1,7611,9152
1,7771,9587
1,7576,9065
1,7553,8904
1,7502,9158
1,7415,8892
1,7645,9040
1,7733,9084
1,7613,8940
1,7440,8885
1,7517,9013
1,7508,9283
1,7684,8979
1,7544,8996
1,7479,9112
2,8381,11629
2,8270,9082
2,8073,8860
2,7987,9020
2,7819,9058
2,7917,9168
2,7945,9273
2,7892,9056
2,7907,9090
2,8055,9108
2,7841,9082
2,8042,9232
2,8550,9194
2,7957,9038
2,7933,9008
2,8033,9128
2,8005,9076
2,7945,9168
2,7854,9210
2,7981,9056
3,8373,9319
3,8234,9409
3,8310,9333
3,8305,9284
3,8388,9660
3,8286,9594
3,8247,9303
3,8370,9356
3,8317,9480
3,8274,9480
3,8291,9242
3,8287,9297
3,8406,9546
3,8296,9252
3,8272,9439
3,8314,9252
3,7969,9336
3,8408,9355
3,8137,9279
3,8305,9465
4,8883,9845
4,8779,9601
4,8711,9423
4,8627,9477
4,8727,9401
4,8672,9687
4,8788,9354
4,8655,9394
4,8591,9604
4,8693,9490
4,8572,9515
4,8666,9434
4,8618,9640
4,8495,9489
4,8561,9485
4,8744,9539
4,9180,9478
4,8695,9339
4,8662,9546
4,8636,9535
5,9266,9824
5,9150,9745
5,9027,9584
5,8895,9489
5,9065,9616
5,9086,9519
5,9065,9641
5,8925,9511
5,8867,9530
5,8925,9488
5,9058,9321
5,8928,9601
5,8894,9355
5,9136,9673
5,8921,9591
5,9020,9588
5,8992,9602
5,9010,9592
5,8905,9597
5,9008,9489
6,9302,9940
6,9348,9780
6,9235,15654
6,9431,9858
6,9202,9651
6,9212,9736
6,9138,9725
6,22680,9830
6,9211,9763
6,9238,9709
6,9278,9774
6,9294,9634
6,9318,9687
6,9412,9930
6,9205,9529
6,9231,9516
6,9423,9605
6,9196,9671
6,9351,9750
6,9249,9655
7,9633,9747
7,9822,9727
7,9634,9699
7,9613,9923
7,24361,10391
7,9885,9874
7,9662,9819
7,9586,9651
7,9747,9828
7,9604,9756
7,9533,9744
7,9712,9974
7,9694,9925
7,9625,9660
7,9544,9699
7,9616,9705
7,9689,9726
7,9531,9818
7,9599,9775
7,9609,9761
8,10394,10053
8,9988,9963
8,10008,9949
8,9903,9836
8,10161,9961
8,9882,9926
8,9802,9847
8,9940,9902
8,9854,9902
8,9880,9870
8,9832,9833
8,9838,9943
8,9868,9894
8,9947,9831
8,9866,10013
8,10227,9962
8,10127,9870
8,9990,9884
8,10068,9990
8,9938,10010
9,10533,10045
9,10506,10062
9,10263,10192
9,10417,9923
9,10345,10139
9,10318,9860
9,10349,10054
9,10278,9867
9,10245,9827
9,10165,9825
9,10439,9943
9,10385,10018
9,10287,9942
9,10309,10164
9,10265,9828
9,10386,9972
9,10403,9951
9,10557,10086
9,10394,10075
9,10250,9977
10,10587,10209
10,10564,10104
10,10723,10247
10,10484,10054
10,10518,10095
10,10468,10518
10,10687,10225
