Pallet: "multisig", Extrinsic: "as_multi_approve", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,z,extrinsic_time,storage_root_time
3,10000,47860,26033
3,10000,39966,20454
3,10000,39351,19932
3,10000,39325,20421
3,10000,39241,19838
3,10000,39190,19704
3,10000,38703,19696
3,10000,38996,19567
3,10000,38749,19849
3,10000,38682,19359
3,10000,39337,19303
3,10000,38703,19088
3,10000,39021,18948
3,10000,38776,19307
3,10000,38817,19197
3,10000,38992,19483
3,10000,38686,19334
3,10000,38933,19285
3,10000,39201,19324
3,10000,39057,19354
4,10000,39773,19740
4,10000,39353,19606
4,10000,39681,19832
4,10000,39661,19576
4,10000,39646,19890
4,10000,39545,19489
4,10000,39689,19674
4,10000,39475,19460
4,10000,39975,19963
4,10000,39793,19507
4,10000,39526,19505
4,10000,39519,19562
4,10000,39354,19591
4,10000,39442,19673
4,10000,39348,19716
4,10000,39779,19521
4,10000,39390,19284
4,10000,39345,19197
4,10000,39527,19307
4,10000,39690,19579
5,10000,40030,19245
5,10000,39819,19775
5,10000,39879,19507
5,10000,39714,19736
5,10000,39575,19721
5,10000,39490,19387
5,10000,39452,19358
5,10000,39618,19458
5,10000,39754,19383
5,10000,39699,19454
5,10000,39405,19793
5,10000,39932,19866
5,10000,39512,19567
5,10000,39633,19349
5,10000,39901,19393
5,10000,39514,19844
5,10000,39332,19535
5,10000,39586,19455
5,10000,39511,19572
5,10000,39479,19528
6,10000,39784,19734
6,10000,39830,19797
6,10000,39886,19754
6,10000,39409,19295
6,10000,39499,19443
6,10000,39595,19603
6,10000,40106,19405
6,10000,39830,19739
6,10000,39949,19721
6,10000,39700,19437
6,10000,39878,19673
6,10000,40155,19660
6,10000,39840,19732
6,10000,39536,19635
6,10000,39658,19778
6,10000,39865,19729
6,10000,39751,19369
6,10000,39903,19507
6,10000,39848,19241
6,10000,39879,19471
7,10000,39889,19569
7,10000,40676,19828
7,10000,39937,19757
7,10000,40238,19920
7,10000,40090,19339
7,10000,39903,19564
7,10000,39861,19830
7,10000,40230,19926
7,10000,39736,19825
7,10000,40053,19451
7,10000,40010,19653
7,10000,39883,20204
7,10000,39971,19398
7,10000,39806,19242
7,10000,40079,19113
7,10000,40191,19498
7,10000,40066,19458
7,10000,39823,19273
7,10000,40003,19581
7,10000,40090,19672
8,10000,39970,19738
8,10000,40387,19826
8,10000,40131,19570
8,10000,40007,19733
8,10000,40300,19564
8,10000,39761,19773
8,10000,39933,19637
8,10000,39748,19361
8,10000,39889,19856
8,10000,39938,19627
8,10000,39905,19564
8,10000,40006,19238
8,10000,39854,19465
8,10000,39733,19599
8,10000,39800,20016
8,10000,40004,19556
8,10000,39992,19677
8,10000,40085,19637
8,10000,39774,19922
8,10000,39693,19688
9,10000,40297,19665
9,10000,41067,20012
9,10000,40544,19716
9,10000,40642,19859
9,10000,40656,19791
