Pallet: "multisig", Extrinsic: "as_multi_threshold_1", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
z,extrinsic_time,storage_root_time
0,46005,20062
0,33085,18448
0,33031,18119
0,33841,18488
0,32933,18296
0,32632,18264
0,32876,18070
0,32809,17949
0,32515,17997
0,32536,18222
0,29951,17883
0,32798,18267
0,32649,18152
0,32850,18078
0,32604,18121
0,35704,18497
0,32741,17879
0,33293,18172
0,33501,18124
0,32833,17965
200,33858,18448
200,34086,18268
200,33495,18059
200,33418,18288
200,34068,18400
200,34194,18265
200,33720,17963
200,33625,18279
200,33430,18244
200,33009,18348
200,33249,18064
200,33292,18039
200,34011,18020
200,33474,18248
200,33263,18089
200,33378,18286
200,33130,17915
200,33626,18229
200,33262,17892
200,30543,18078
400,31055,18286
400,33852,18218
400,33554,18325
400,33883,17919
400,34518,18234
400,31072,17991
400,33807,18073
400,34228,18020
400,34230,18040
400,33932,18020
400,33797,18125
400,33731,18050
400,34016,18057
400,34369,17876
400,34127,17828
400,34018,18055
400,34226,18528
400,33884,18357
400,33540,18208
400,33952,18449
600,34342,18216
600,33916,18237
600,34066,18553
600,34054,18237
600,34120,17931
600,34266,17717
600,34088,18247
600,33776,18463
600,35398,18461
600,34722,17960
600,34966,18258
600,34806,18117
600,34651,18097
600,34376,18216
600,34831,17953
600,34458,18156
600,34985,18113
600,34410,18387
600,34438,18507
600,34360,18313
800,35549,18484
800,35055,18152
800,35237,18238
800,35285,18195
800,35390,18110
800,35130,18286
800,34911,18263
800,34855,18025
800,35030,17921
800,34804,18195
800,34946,18170
800,35156,17990
800,35041,18306
800,34935,18268
800,35588,18179
800,34978,18086
800,34972,18296
800,35032,18075
800,35169,18084
800,34933,18088
1000,35569,18446
1000,35440,17911
1000,35952,18390
1000,35394,17904
1000,36067,18440
1000,35172,18081
1000,35739,18403
1000,35448,18557
1000,35381,18284
1000,35615,18083
1000,35642,18346
1000,35694,18299
1000,35616,18165
1000,35828,17983
1000,35657,18119
1000,35510,18059
1000,35861,18361
1000,35329,17993
1000,35843,18148
1000,35499,18480
1200,36254,18265
1200,36162,18229
1200,35756,18162
1200,35671,17927
1200,36233,18137
1200,35783,17982
1200,35504,17982
1200,36120,18118
1200,36719,18273
1200,36602,18460
1200,36271,18164
1200,36102,18111
1200,35694,18190
1200,36181,18126
1200,35680,17972
1200,35610,18323
1200,35925,18108
1200,35566,17979
1200,36226,18477
1200,36323,18113
1400,36958,18442
1400,36198,17963
1400,36307,18172
1400,36488,18357
1400,36677,18089
1400,36307,18166
1400,36196,18287
1400,37097,21355
1400,36176,18324
1400,36190,18087
1400,36310,18074
1400,35730,18084
1400,36238,18529
1400,36244,17992
1400,35854,18329
1400,36609,18239
1400,36073,18124
1400,36817,18177
1400,36463,18192
1400,36867,18579
1600,36536,18040
1600,36679,18250
1600,36525,18374
1600,36558,17971
1600,36396,17768
1600,36464,17874
1600,36940,18091
1600,36571,18077
1600,36270,18212
1600,36707,18384
1600,36149,18188
