Pallet: "offences", Extrinsic: "report_offence_grandpa", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
r,n,extrinsic_time,storage_root_time
1,16,604060,162373
1,16,592003,157730
1,16,585136,155213
1,16,583995,157027
1,16,619192,157023
1,16,587353,158430
1,16,582751,156277
1,16,583997,157068
1,16,582638,157261
1,16,586005,157178
1,16,593970,157506
1,16,585001,156059
1,16,584112,157581
1,16,588472,160536
1,16,582200,157473
1,16,581236,158184
1,16,582532,187304
1,16,586700,157198
1,16,583735,156844
1,16,587495,159986
2,16,587941,159401
2,16,585239,155592
2,16,584983,162811
2,16,585934,157104
2,16,584904,155250
2,16,583017,156738
2,16,584304,156748
2,16,586610,157355
2,16,583906,156451
2,16,587622,157878
2,16,589285,156169
2,16,590425,156530
2,16,586132,157347
2,16,586362,156593
2,16,585097,157563
2,16,583035,157481
2,16,585889,157645
2,16,589469,158578
2,16,588692,157027
2,16,585915,155704
3,16,583582,157424
3,16,586863,156834
3,16,583391,157986
3,16,587917,157612
3,16,589728,156737
3,16,587015,157479
3,16,590519,156522
3,16,587615,156475
3,16,587101,155366
3,16,588731,157041
3,16,589999,156554
3,16,583744,157274
3,16,584920,156223
3,16,583618,156307
3,16,583289,157715
3,16,582863,157980
3,16,588791,157219
3,16,589401,158332
3,16,585755,156393
3,16,587128,157542
4,16,588143,155891
4,16,581552,157642
4,16,584825,157098
4,16,589463,156497
4,16,587217,156570
4,16,589829,156040
4,16,582947,158431
4,16,581622,157291
4,16,581551,158612
4,16,585278,157506
4,16,579717,156650
4,16,586195,158163
4,16,589584,157024
4,16,588669,158175
4,16,583190,156668
4,16,584839,156612
4,16,586326,157112
4,16,583294,156362
4,16,583576,157419
4,16,585445,157239
5,16,582486,157401
5,16,584546,157788
5,16,589674,158347
5,16,583462,158606
5,16,587720,157859
5,16,589614,157192
5,16,586050,156848
5,16,586367,158491
5,16,589938,156651
5,16,584078,156697
5,16,587241,158193
5,16,587551,158841
5,16,587715,158615
5,16,591126,158102
5,16,589689,158145
5,16,588762,157487
5,16,589523,156611
5,16,584540,159326
5,16,583828,157840
5,16,589597,158211
6,16,588485,158039
6,16,587053,159407
6,16,621963,157495
6,16,586118,157368
6,16,588991,158888
6,16,590982,157596
6,16,583105,157682
6,16,585891,159057
6,16,588057,158072
6,16,586484,158841
6,16,588795,157920
6,16,587723,158487
6,16,588309,158681
6,16,586121,158222
6,16,591337,158014
6,16,586867,157468
6,16,586022,157943
6,16,592094,157512
6,16,587126,156950
6,16,583835,157585
7,16,590551,157791
7,16,586774,158406
7,16,587981,157272
7,16,592363,157797
7,16,590067,157913
7,16,588887,158333
7,16,593623,158384
7,16,588721,159459
7,16,585544,159259
7,16,620700,157019
7,16,585233,158038
7,16,583070,157333
7,16,589484,157890
7,16,584766,158588
7,16,588187,158451
7,16,590866,158306
7,16,584205,158517
7,16,587255,157523
7,16,592077,159676
7,16,589228,158572
8,16,587961,158759
8,16,589412,158088
8,16,589383,157108
8,16,584953,157510
8,16,593734,157945
8,16,584155,158376
8,16,585408,159357
8,16,586274,157760
8,16,581880,158778
8,16,589166,157143
8,16,588627,159904
8,16,583857,157088
8,16,587589,158022
8,16,616346,157431
8,16,584550,157821
8,16,587153,157348
8,16,589061,158843
8,16,586650,158645
8,16,586429,157954
8,16,588093,158723
9,16,587623,158621
9,16,588828,160069
9,16,587773,159589
9,16,590134,158076
9,16,585271,158918
9,16,592909,157778
9,16,589937,157569
9,16,588239,157497
9,16,584797,161485
9,16,588953,157697
9,16,591048,157329
9,16,587930,160385
9,16,587372,157867
9,16,588675,157783
9,16,583830,161370
9,16,588083,157689
9,16,590902,157543
9,16,583894,162393
9,16,589770,157467
9,16,585206,159954
10,16,588268,162507
10,16,589706,158239
10,16,588334,157510
10,16,586145,162060
10,16,588142,158524
10,16,588178,157560
10,16,590722,161851
10,16,589920,157743
10,16,592261,158981
10,16,589085,160710
10,16,586907,158697
10,16,589446,158609
10,16,588435,162720
10,16,590346,158173
10,16,588489,158634
10,16,590453,160759
10,16,589987,158439
10,16,590333,159613
10,16,591641,158134
10,16,589441,159572
11,16,585382,158563
11,16,589672,159271
11,16,591103,158260
11,16,591505,159276
11,16,588485,158265
11,16,585305,159892
11,16,592248,158518
11,16,591824,158397
11,16,588520,159000
11,16,587295,158988
11,16,588257,159106
11,16,590162,157546
11,16,590716,159383
11,16,590038,157314
11,16,585918,158324
11,16,588424,158119
11,16,589448,159120
11,16,589944,160009
11,16,589150,159532
11,16,589938,157357
12,16,589157,159658
12,16,590973,159060
12,16,586932,159456
12,16,588407,158801
12,16,588378,159202
12,16,589775,158776
12,16,591673,157714
12,16,589805,158337
12,16,586078,158194
12,16,590429,159377
12,16,586681,160013
12,16,588509,160470
12,16,590592,158210
12,16,595299,158687
12,16,589736,162257
12,16,589715,159205
12,16,590222,158780
12,16,590710,158411
12,16,589581,158836
12,16,592079,157994
13,16,591225,158760
13,16,588834,160716
13,16,589683,159249
13,16,586526,158497
13,16,591528,157961
13,16,593058,159104
13,16,590399,160198
13,16,590680,158096
13,16,591147,159012
13,16,590425,162358
13,16,594297,159396
13,16,591886,159120
13,16,592097,162166
13,16,591243,159820
13,16,589920,159415
13,16,594186,161275
13,16,590721,159383
13,16,592946,159961
13,16,587689,161349
13,16,588188,160181
14,16,592564,159453
14,16,587523,161282
14,16,591887,159260
14,16,591680,158633
14,16,588409,162738
14,16,589272,158455
14,16,591175,158932
14,16,591384,162749
14,16,587031,158896
14,16,592687,160059
14,16,590990,161608
14,16,593628,158592
14,16,590419,157731
14,16,588726,163517
14,16,588917,160120
14,16,589767,159021
14,16,595395,160784
14,16,588286,159731
14,16,591067,158658
14,16,586770,161302
15,16,588764,158400
15,16,590719,159782
15,16,588832,162240
15,16,586148,158722
15,16,586141,158553
15,16,593632,162108
15,16,589003,159406
15,16,591692,159288
15,16,589839,161826
15,16,590434,159702
15,16,587911,158615
15,16,591404,161967
15,16,586807,158129
15,16,589469,159205
15,16,590758,163525
15,16,589789,160034
15,16,589813,159666
15,16,592153,161701
15,16,591600,158959
15,16,592865,159938
16,16,589650,162449
16,16,590810,159471
16,16,590236,158018
16,16,594408,162988
16,16,589842,159332
16,16,593017,159212
16,16,594029,184552
16,16,592911,158819
16,16,594416,160576
16,16,599518,159449
16,16,594351,159682
16,16,587963,160086
16,16,595326,160732
16,16,591780,159905
16,16,589620,158257
16,16,591774,159816
16,16,586414,160526
16,16,589544,158672
16,16,591682,158814
16,16,589965,159840
17,16,591526,159447
17,16,622905,159958
17,16,590442,160166
17,16,589924,160143
17,16,593181,160025
17,16,590846,159093
17,16,597102,158810
17,16,593473,161629
17,16,588935,160267
17,16,589776,159609
17,16,596446,160271
17,16,586485,160997
17,16,588991,159773
17,16,595318,160057
17,16,592669,158984
17,16,593818,159903
17,16,594723,158996
17,16,591096,158446
17,16,591689,159006
17,16,589051,160794
18,16,591753,158733
18,16,593020,160117
18,16,590011,159201
18,16,589889,158459
18,16,591360,159809
18,16,597375,160967
18,16,592980,158876
18,16,592244,159369
18,16,598262,159848
18,16,588358,158148
18,16,587838,158497
18,16,590886,159232
18,16,590034,158014
18,16,590832,160700
18,16,592989,159362
18,16,590105,159072
18,16,588944,160558
18,16,592593,158796
18,16,593211,158202
18,16,590450,159294
19,16,592128,159879
19,16,595116,158624
19,16,590932,158123
19,16,591670,159381
19,16,588504,158718
19,16,591716,161094
19,16,594761,158672
19,16,594893,157645
19,16,590521,159641
19,16,592405,160525
19,16,591747,159399
19,16,587999,158303
19,16,597421,159702
19,16,591157,160154
19,16,586659,160865
19,16,594314,159506
19,16,591404,159000
19,16,585517,158811
19,16,591072,159489
19,16,591755,159022
20,16,594356,160268
20,16,624237,159095
20,16,590974,160673
20,16,588542,160365
20,16,595549,160124
20,16,593898,159670
20,16,588642,160062
20,16,594222,159131
20,16,596206,159899
20,16,597711,159028
20,16,592055,159119
20,16,588894,157820
20,16,591691,158689
20,16,590268,160743
20,16,591705,159409
20,16,586137,158574
20,16,592970,158949
20,16,591916,159059
20,16,594062,159670
20,16,593955,159683
21,16,595765,159177
21,16,596090,158612
21,16,593927,160263
21,16,590097,160153
21,16,593170,162002
21,16,593578,161214
21,16,591452,160512
21,16,594433,160526
21,16,590619,160760
21,16,589181,159881
21,16,588644,160260
21,16,595226,159701
21,16,594727,160157
21,16,587408,159693
21,16,589020,160462
21,16,591656,159469
21,16,590541,159357
21,16,596855,158169
21,16,588195,159766
21,16,594129,159158
22,16,593556,159543
22,16,591884,159400
22,16,594127,159405
22,16,587940,160246
22,16,590605,159962
22,16,590990,159226
22,16,591278,159820
22,16,594107,159239
22,16,590764,158435
22,16,594240,159635
22,16,592878,158390
22,16,594577,160278
22,16,591511,159216
22,16,592956,159543
22,16,595177,160142
22,16,594862,159375
22,16,589576,158973
22,16,595153,159067
22,16,596521,158929
22,16,590096,159223
23,16,594194,160804
23,16,595591,158585
23,16,591249,162831
23,16,596043,160024
23,16,593007,159479
23,16,591718,161919
23,16,594572,159512
23,16,590248,160707
23,16,591521,189773
23,16,587830,160071
23,16,597193,160035
23,16,596769,159456
23,16,589424,160279
23,16,594035,159828
23,16,620734,162543
23,16,592657,157927
23,16,591346,158472
23,16,623200,158997
23,16,592012,158753
23,16,587418,159804
24,16,590929,158504
24,16,593102,159701
24,16,594358,160020
24,16,622967,159649
24,16,593532,160123
24,16,593592,159084
24,16,591117,159757
24,16,592821,158631
24,16,589527,158581
24,16,592742,159630
24,16,591921,159887
24,16,595631,159173
24,16,598125,159741
24,16,590718,162231
24,16,592825,158662
24,16,603012,160952
24,16,596298,159587
24,16,593449,159295
24,16,597057,159308
24,16,591814,161278
25,16,593913,159709
25,16,596952,160571
25,16,594754,161139
25,16,593718,161206
25,16,628570,161444
25,16,592578,159855
25,16,593322,159070
25,16,596824,160123
25,16,593666,159538
25,16,591148,160210
25,16,598492,160233
25,16,590435,159840
25,16,591688,160736
25,16,622519,160927
25,16,590447,161952
25,16,591963,159446
25,16,591544,161070
25,16,593904,160184
25,16,594171,160116
25,16,589103,161053
26,16,591694,160231
26,16,590883,161274
26,16,593065,160412
26,16,591297,159915
26,16,592246,160314
26,16,593056,158793
26,16,591653,159729
26,16,592528,160995
26,16,593592,160631
26,16,587731,160056
26,16,594076,158985
26,16,595670,159499
26,16,592529,159316
26,16,595082,159013
26,16,592316,159713
26,16,593622,160117
26,16,591497,160630
26,16,594807,161009
26,16,597158,159343
26,16,592441,160652
27,16,594596,161158
27,16,593193,159779
27,16,592335,160645
27,16,595113,159384
27,16,595026,161191
27,16,595721,159174
27,16,595321,159877
27,16,593894,164227
27,16,591686,160560
27,16,592456,159299
27,16,591617,163876
27,16,592187,160287
27,16,592553,161126
27,16,592390,189467
27,16,594172,160345
27,16,588914,159162
27,16,597709,162185
27,16,595978,159448
27,16,593314,159533
27,16,599615,161204
28,16,592525,160049
28,16,596424,159450
28,16,594730,159351
28,16,593367,159543
28,16,596013,159603
28,16,596765,158986
28,16,593454,160045
28,16,598536,160464
28,16,596291,160509
28,16,592982,159124
28,16,593171,159403
28,16,596282,159084
28,16,595892,159664
28,16,593730,158917
28,16,599628,160012
28,16,593691,159782
28,16,592865,160259
28,16,596933,159746
28,16,592967,160833
28,16,596462,159828
29,16,625893,162640
29,16,595111,160242
29,16,596870,160413
29,16,594668,159434
29,16,594380,159845
29,16,589021,160841
29,16,595841,160456
29,16,594000,161037
29,16,594807,159952
29,16,595050,160242
29,16,593878,160197
29,16,591172,160177
29,16,592366,158963
29,16,595901,160266
29,16,592060,159199
29,16,593162,160775
29,16,592790,160451
29,16,596179,160439
29,16,594305,159936
29,16,596097,160757
30,16,598086,159341
30,16,596475,159946
30,16,595855,159338
30,16,593881,159358
30,16,596151,159587
