Pallet: "scheduler", Extrinsic: "schedule_named", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
0,41851,30568
0,30329,25944
0,29458,24067
0,28486,23792
0,28668,23541
0,30572,23859
0,28368,23583
0,28547,23084
0,28790,23345
0,28285,23069
0,28440,22639
0,28302,22910
0,28072,22648
0,27987,22758
0,27993,22475
0,28146,22498
0,28033,22808
0,28124,22748
0,28192,22583
0,28078,22557
1,31235,29845
1,29866,26415
1,30244,26073
1,29970,25987
1,29799,26066
1,29810,25750
1,29573,25646
1,29603,25699
1,29851,25537
1,29442,25423
1,29657,25803
1,29469,25615
1,29651,25858
1,29622,25755
1,29596,25382
1,29380,25786
1,29586,25877
1,29393,25463
1,29850,25637
1,29823,25471
2,30104,27087
2,29923,27161
2,29822,26847
2,29787,26825
2,29768,26715
2,29945,26519
2,33189,26763
2,30178,26464
2,29752,26217
2,29963,26713
2,29769,26662
2,29544,26434
2,29980,26425
2,29474,26332
2,29866,26230
2,29686,26653
2,29851,26449
2,29769,26254
2,30077,26371
2,29950,26657
3,30454,29214
3,30132,28964
3,30229,28755
3,30073,28902
3,30005,28651
3,30083,28455
3,29937,28459
3,30064,28817
3,30428,28231
3,29794,28642
3,29805,28284
3,29811,28713
3,30155,28382
3,30089,28213
3,30040,28540
3,43789,28533
3,30307,28552
3,30225,28380
3,30290,28903
3,30211,28439
4,30187,27549
4,30317,27410
4,30447,27456
4,30500,27296
4,30109,27334
4,30378,27419
4,30071,27241
4,30095,27179
4,30034,27162
4,30513,27315
4,30313,27162
4,30335,27010
4,30332,27032
4,30101,26966
4,30425,27700
4,30393,27418
4,30383,27006
4,30220,26947
4,30017,26979
4,30285,26838
5,30469,27891
5,30317,27352
5,30144,27549
5,30246,27469
5,30048,27464
5,30065,27154
5,29908,27392
5,29816,27264
5,30352,27288
5,29834,27589
5,29885,27227
5,29844,27374
5,30148,27787
5,30203,27465
5,29869,27528
5,30178,27518
5,29982,27036
5,29674,27393
5,30090,27712
5,45529,28411
6,30538,28405
6,31078,28870
6,30544,28410
6,30482,28186
6,30395,28230
6,30636,28000
6,30349,27886
6,30439,28269
6,30362,27904
6,30490,28433
6,30606,27809
6,30600,27949
6,30485,28266
6,30355,28345
6,30440,28238
6,30189,27593
6,30480,28313
6,30670,27906
6,30307,28300
6,30830,27614
7,30664,28103
7,31005,28428
7,30844,28618
7,30744,28824
7,30499,28719
7,30584,28407
7,30533,28247
7,30443,28136
7,30708,28131
7,30434,28007
7,30344,27959
7,30596,28171
7,30635,28228
7,30433,28188
7,30529,28103
7,30444,28082
7,30324,28329
7,30528,28287
7,30197,27975
7,30496,28000
8,31204,28613
8,30840,28611
8,30951,28599
8,30795,28647
8,31274,28554
8,30941,28767
8,30933,28392
8,30860,28389
8,30807,28224
8,30728,28819
8,30748,28650
8,30880,28327
8,30866,28356
8,30816,28309
8,30602,28275
8,30992,27969
8,30712,28260
8,30967,28439
8,30769,28095
8,30780,28724
9,30956,29102
9,31004,29028
9,30992,29044
9,30941,28684
9,30630,28629
9,30902,28851
9,30963,28836
9,30628,29005
9,31070,28697
9,31164,28806
9,30649,28444
9,30956,28350
9,30748,28294
9,31094,28622
9,30625,28567
9,30538,28496
9,30878,28500
9,30505,28507
9,30518,28473
9,30959,28477
10,31382,29688
10,31383,29621
10,31183,29810
10,31297,29838
10,31140,30040
10,31290,29932
10,31318,30305
10,31159,30201
10,31801,29413
10,31391,29532
10,31162,29550
10,31453,29371
10,31468,29384
10,31319,29583
10,31146,29563
10,31242,29566
10,30841,29390
10,31309,29344
10,31319,29475
10,30944,29266
11,31443,30199
11,31434,29932
11,31563,30088
11,31406,30133
11,31407,30690
11,31402,30276
11,31216,30497
11,31685,30197
11,31238,30733
11,31633,30424
11,31557,30421
11,31264,30319
11,31329,30270
11,31041,30512
11,31096,30137
11,31575,30415
11,30988,30171
11,31262,30253
11,31486,30270
11,31344,29711
12,31628,30637
12,31548,31220
12,31437,30769
12,31179,31008
12,31170,30590
12,31344,30750
12,31254,31023
12,31542,31208
12,31479,30980
12,31431,30647
12,31554,30696
12,31548,30576
12,31305,30760
12,31440,30777
12,31221,30213
12,31488,30946
12,31471,30461
12,31610,30544
12,31549,30647
12,31706,30556
13,31299,33040
13,31411,32646
13,31367,32240
13,31351,32546
13,31491,31994
13,31888,32065
13,31826,32508
13,31544,32622
13,31450,32548
13,31207,32393
13,31501,32242
13,31715,32511
13,31675,32462
13,31522,32131
13,31500,32202
13,31957,32553
13,31193,31947
13,31123,32017
13,31253,32090
13,31308,32423
14,32352,33931
14,32055,33591
14,32222,33738
14,32195,33999
14,32150,33548
14,32123,33650
14,32397,33493
14,32306,33876
14,32156,33733
14,32165,33713
14,32026,33744
14,31990,33754
14,32141,33804
14,32040,33651
14,32392,33919
14,32245,33501
14,32371,33338
14,32269,33514
14,32505,33421
14,31954,33776
15,32167,32868
15,32063,32210
15,32215,32657
15,32068,33010
15,32325,32276
15,31896,32138
15,31885,31986
15,31956,32015
15,31869,32079
15,32037,32177
15,32662,32456
15,32084,32013
15,32073,31800
15,32252,31917
15,32002,31556
15,32066,31690
15,31964,31955
15,32065,32137
15,32422,32065
15,32476,32077
16,32533,32577
16,32465,32106
16,32419,32292
16,32220,32476
16,32183,32322
16,31857,32266
16,31833,32700
16,31737,32177
16,31941,32362
16,31834,32571
16,32068,32275
16,32030,31713
16,32226,32094
16,31837,31809
16,32071,32158
16,32538,32198
16,32143,32027
16,31745,31916
16,32173,32015
16,31963,31802
17,32552,34295
17,32356,34814
17,33217,34662
17,32472,34531
17,32506,34102
17,32277,34367
17,32599,34646
17,32736,34660
17,32449,34543
17,32490,34312
17,32504,33962
17,32424,34066
17,33322,34353
17,32487,34575
17,31972,34183
17,32744,34140
17,32966,33893
17,32501,34170
17,33253,35015
17,32469,34707
18,33146,34502
18,32936,34430
18,33030,34829
18,32752,33864
18,32649,34195
18,32735,33791
18,32974,33677
18,33129,34102
18,33395,34249
18,32663,33818
18,32689,34456
18,35652,34490
18,32792,34274
18,32567,34352
18,32817,34095
18,32534,34038
18,32497,34033
18,32500,34013
18,32426,34120
18,32578,33888
19,32929,31553
19,32567,43851
19,34046,31668
19,32649,31310
19,32625,31359
19,32467,31195
19,32530,31823
19,32462,31662
19,32977,31258
19,32382,30855
19,33104,31599
19,32651,31392
19,32423,31516
19,32450,31635
19,32179,31746
19,32489,31519
19,32283,31343
19,32334,31078
19,32307,31663
19,32910,31309
20,32981,33428
20,32606,32916
20,32376,33011
20,32840,33545
20,32616,33495
20,32425,33220
20,33032,32708
20,32306,32951
20,33027,32960
20,32979,33151
20,32566,32908
20,32689,33046
20,32607,33118
20,32685,33054
20,32482,32977
20,33174,33010
20,32597,32796
20,32634,32852
20,32388,32634
20,32393,32514
21,32986,32840
21,32375,32820
21,32440,32494
21,32802,32956
21,32766,33306
21,60963,33111
21,32717,32469
21,32868,32508
21,32855,32733
21,32626,32579
21,32800,32673
21,32822,32623
21,33126,32181
21,32820,32778
21,32829,32827
21,32505,32574
21,33958,31891
21,32758,32637
21,32627,32154
21,32581,32805
22,33695,35274
22,33361,34880
22,33347,34959
22,33145,35078
22,33299,34667
22,32718,34964
22,33569,34982
22,33097,34684
22,33191,34812
22,32742,35032
22,33545,35060
22,32791,34497
22,33363,34760
22,33266,34618
22,33022,34382
22,32871,34435
22,33316,34777
22,32954,34589
22,33121,35031
22,33326,34416
