Pallet: "session", Extrinsic: "set_keys", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
n,extrinsic_time,storage_root_time
1,75775,49820
1,73061,47797
1,72868,47529
1,72602,50231
1,72037,47281
1,72835,46818
1,72021,46967
1,73447,47042
1,72552,47400
1,72325,46598
1,72251,46398
1,72270,46865
1,72336,46659
1,72158,46557
1,73010,47110
1,72675,46766
1,72584,47041
1,72944,47457
1,73316,47092
1,72821,46236
2,72919,47204
2,72201,46864
2,72428,46172
2,71946,46284
2,72594,46867
2,72633,46861
2,72507,46782
2,72059,46976
2,72144,46513
2,72581,47376
2,72237,47096
2,72259,46648
2,72192,47148
2,71870,46614
2,72662,46674
2,72346,46480
2,72547,47052
2,72251,46826
2,71967,46959
2,72729,47270
3,73113,46324
3,72481,46941
3,72217,46706
3,73511,47140
3,73066,47227
3,72538,46417
3,72758,46628
3,71762,46603
3,72406,46465
3,71918,46584
3,72871,46964
3,71384,46140
3,71890,46902
3,73889,47005
3,73166,46404
3,71676,46731
3,71967,46602
3,71803,46414
3,72545,47315
3,72623,46659
4,72869,46471
4,73036,46505
4,72225,47474
4,72759,47008
4,72357,46356
4,74702,47160
4,72727,46562
4,72790,46580
4,74427,46656
4,72981,47048
4,72786,46345
4,72265,46202
4,72465,46460
4,73223,46965
4,72606,46588
4,72347,46309
4,73088,46758
4,72225,46600
4,72590,46493
4,72872,46603
5,71751,47012
5,72095,46164
5,72079,46506
5,72030,46690
5,72568,46486
5,72054,46973
5,72179,46648
5,73059,46898
5,71863,46828
5,72659,47237
5,72021,46667
5,72838,46990
5,72415,46958
5,71753,46367
5,104391,47418
5,72791,46601
5,72112,46635
5,72237,47340
5,72421,46792
5,72031,46890
6,73947,48795
6,73001,46804
6,73584,47356
6,72941,46884
6,72584,46914
6,72745,46486
6,72905,46705
6,72435,47128
6,72877,46721
6,72628,46998
6,73120,46515
6,72425,46258
6,73059,46437
6,71717,46703
6,72614,46883
6,72692,47015
6,72812,47141
6,73038,46959
6,72192,47053
6,72754,46823
7,72299,46365
7,72064,46423
7,73613,46377
7,72196,46602
7,75364,47056
7,72572,46875
7,72545,46517
7,73035,46453
7,71943,46835
7,74153,47335
7,72596,46645
7,72739,47208
7,71953,46530
7,72814,46965
7,72701,46712
7,73103,46729
7,71951,46628
7,72252,46794
7,71609,46665
7,73598,47498
8,72337,46807
8,72105,46628
8,72052,49450
8,72564,46935
8,72726,46816
8,71823,46697
8,72609,47282
8,72416,46501
8,71863,46549
8,72424,46341
8,71584,46842
8,72120,46958
8,72711,46928
8,72226,46860
8,71717,46408
8,73283,47368
8,71575,46323
8,72038,46713
8,71710,46537
8,72734,46694
9,72753,47569
9,72705,46315
9,72503,46810
9,73117,47052
9,72653,46614
9,72848,46514
9,71692,46448
9,72237,46297
9,72517,47451
9,73174,47571
9,72344,46938
9,72954,46967
9,72696,46346
9,72201,46944
9,72186,47374
9,72540,46636
9,72683,46740
9,71955,46891
9,72578,46688
9,72888,46701
10,72357,46767
10,72489,46591
10,72988,47398
10,72776,47209
10,72547,46661
10,73003,46706
10,72943,47054
10,73638,46770
10,72819,47158
10,72321,46475
10,72517,47468
10,71927,46098
10,73640,46611
10,72433,47169
10,72528,46931
10,72279,46771
10,73330,46982
10,72688,47922
10,71908,46401
10,72849,46774
11,73406,46920
11,73066,47855
11,72566,46825
11,72873,46588
11,72596,46905
11,73146,47377
11,73256,46899
11,72655,46865
11,72841,46896
11,72204,47110
11,72948,47072
11,72757,47307
11,72924,46804
11,73703,47068
11,72628,47131
11,72299,47174
11,75841,47220
11,73183,46729
11,72439,46676
11,73323,47444
12,73475,47467
12,72749,46781
12,72764,46817
12,72596,47010
12,72490,47031
12,72181,47061
12,73044,48170
12,72880,48118
12,72457,46683
12,72283,46943
12,72824,46684
12,73247,47013
12,72819,46814
12,73136,47327
12,73208,46747
12,71716,46923
12,75217,47507
12,71812,47179
12,72315,46912
12,72515,46698
13,72442,47283
13,72965,47305
13,72653,47053
13,72731,47173
13,72681,47077
13,72787,46808
13,72292,46772
13,72778,46707
13,72745,46924
13,72240,46813
13,74074,47344
13,72566,47564
13,72930,48353
13,72639,47467
13,73049,47735
13,73563,48302
13,73126,48208
13,75243,47661
13,72223,46460
13,73419,46624
14,72336,46664
14,71904,46590
14,72266,46823
14,71988,46885
14,75664,47210
14,72890,46681
14,72442,46778
14,72483,47159
14,72182,46811
14,72198,46947
14,73049,46894
14,71719,46325
14,72696,46959
14,71956,46845
14,71995,46937
14,72360,46890
14,72617,47182
14,72155,46716
14,72522,47213
14,72919,46865
15,71900,47423
15,72198,47768
15,72829,47379
15,73070,46635
15,72751,47265
15,72795,46591
15,76693,47276
15,73447,47020
15,72441,46637
15,72875,47091
15,72936,46773
15,72219,46841
15,72688,46658
15,71952,46788
15,72864,47668
15,72547,47455
15,72918,47225
15,72326,46856
15,73183,46691
15,73770,47292
16,72785,47215
16,72407,46507
16,72638,46991
16,73390,47158
16,73484,47548
16,72467,46692
16,74175,46902
16,72557,46981
16,72276,46557
16,72590,47154
16,73009,47359
16,72837,47445
16,76214,47425
16,72597,46944
16,72008,46799
16,73034,47203
16,71622,46557
16,72595,47771
16,73709,47483
16,75078,47009

Median Slopes Analysis
========

Model:
Time ~=    72.48
    + n    0.017
              µs

Min Squares Analysis
========

Data points distribution:
    n   mean µs  sigma µs       %
    1     72.65     0.204    0.2%
    2     72.35     0.141    0.1%
    3     72.43     0.298    0.4%
    4     72.74     0.146    0.2%
    5     72.21     0.176    0.2%
    6     72.79     0.125    0.1%
    7     72.57     0.252    0.3%
    8     72.21     0.205    0.2%
    9     72.59     0.117    0.1%
   10     72.65     0.169    0.2%
   11      72.9     0.181    0.2%
   12     72.71     0.182    0.2%
   13     72.79     0.132    0.1%
   14     72.35     0.149    0.2%
   15     72.76     0.154    0.2%
   16      72.8     0.257    0.3%

Quality and confidence:
param     error
n         0.004

Model:
Time ~=    72.45
    + n    0.017
              µs

