Pallet: "staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
1,445627,100546
1,416293,91718
1,418943,91798
1,415383,91093
1,415402,91284
1,415024,91080
1,415061,90677
1,413528,91686
1,414633,91243
1,414919,91142
1,414885,90655
1,414793,90720
1,417875,90926
1,414965,90793
1,414859,90993
1,414918,90633
1,414881,90773
1,414789,90777
1,414869,90726
1,414600,90571
20,1735365,90139
20,1704959,89859
20,1707478,89575
20,1704830,89426
20,1707610,89276
20,1704106,89042
20,1707018,89197
20,1704703,88958
20,1709212,89445
20,1705030,89379
20,1707461,89322
20,1704578,89070
20,1707618,89319
20,1704974,89000
20,1707560,88974
20,1704610,89082
20,1700140,89048
20,1704699,88633
20,1704929,89090
20,1704887,93728
39,2970529,88831
39,2972594,88448
39,2972064,88195
39,2971960,88096
39,2972028,88129
39,2972294,88373
39,2970270,88219
39,2972485,88348
39,2972538,88160
39,2999521,88384
39,2972620,88324
39,2972298,88593
39,2970164,88183
39,2970050,88245
39,2972756,88017
39,3002704,88191
39,2971914,88345
39,2972366,88292
39,2969952,88098
39,2969583,88419
58,4240016,87813
58,4213618,87483
58,4243018,87354
58,4219357,87973
58,4213448,87088
58,4213611,87185
58,4213188,87311
58,4215167,87119
58,4213697,86998
58,4213812,86621
58,4246534,88014
58,4213608,86867
58,4214702,87313
58,4213944,87546
58,4213291,87314
58,4213184,86947
58,4213137,87038
58,4213070,86908
58,4241174,87124
58,4213256,87258
77,5430810,85757
77,5429417,85538
77,5431265,85383
77,5429484,85256
77,5458794,85137
77,5429678,85257
77,5430213,85115
77,5428972,85303
77,5428689,85358
77,5429701,85123
77,5428539,84947
77,5457726,85081
77,5428295,84899
77,5429193,85027
77,5428762,85315
77,5476373,86347
77,5429621,85374
77,5457952,85308
77,5429158,85131
77,5429243,85315
96,6619494,84228
96,6646875,83740
96,6648686,83898
96,6619170,83775
96,6656160,85232
96,6621140,84130
96,6619703,83786
96,6618735,100849
96,6619372,83681
96,6621071,84034
96,6621628,83744
96,6620030,85677
96,6619053,83825
96,6621282,83710
96,6620934,83598
96,6620674,85968
96,6619838,83887
96,6621038,83775
96,6621113,83878
96,6621293,83947
115,7785154,82607
115,7785884,82450
115,7786278,82538
115,7786844,82549
115,7787870,82339
115,7786904,82672
115,7788613,82355
115,7787637,82164
115,7815809,82278
115,7816076,82463
115,7785998,82213
115,7787286,82697
115,7786373,82212
115,7786475,82278
115,7786217,82113
115,7789484,82246
115,7785592,82580
115,7786982,82578
115,7786445,82623
115,7788105,82420
134,8928617,81149
134,8928333,81355
134,8929590,81212
134,8927465,81237
134,8928546,80932
134,8982411,80995
134,8928334,81162
134,8929322,81168
134,8927166,81047
134,8929982,81044
134,8927487,81065
134,8927189,81187
134,8984790,81178
134,8928368,81291
134,8927856,80995
134,8929784,80817
134,8927416,81018
134,8928628,80907
134,8929286,81023
134,8927478,80669
153,10046265,79598
153,10045035,79429
153,10044654,79792
153,10044735,79630
153,10044313,79632
153,10104504,79834
153,10043970,79786
153,10045746,79651
153,10044049,79669
153,10039113,79303
153,10046137,79697
153,10081547,81433
153,10074571,80507
153,10043083,79846
153,10072170,79826
153,10073552,79745
153,10044908,79788
153,10044500,79793
153,10043712,81932
153,10044458,79631
172,11138100,78403
172,11135118,78583
172,11137810,78662
172,11137408,78436
172,11135826,80776
172,11136474,78814
172,11138161,78660
172,11139337,78352
172,11136873,78617
172,11136443,78611
172,11164533,78494
172,11169392,79455
172,11137978,78581
172,11135301,78690
172,11136575,78733
172,11138592,78599
172,11138110,78824
172,11136258,78806
172,11137165,78516
172,11136755,78800
191,12211053,77758
191,12202932,77275
191,12203606,77608
191,12269100,78302
191,12203272,77523
191,12205256,77421
191,12204397,77331
191,12232211,77308
191,12203683,77407
191,12203082,77203
191,12259698,77257
191,12202108,77504
191,12204308,77400
191,12204449,77333
