Pallet: "staking", Extrinsic: "force_unstake", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
s,extrinsic_time,storage_root_time
0,52673,68763
0,48638,58886
0,48478,58759
0,48363,58168
0,48528,58166
0,48367,62592
0,48261,58164
0,48070,57924
0,48742,57794
0,48409,58101
0,48357,57620
0,48269,57924
0,48264,57669
0,48213,58401
0,48161,57876
0,48168,57761
0,48445,57284
0,48305,57214
0,48203,56785
0,48322,56822
2,56674,69129
2,56776,67921
2,56691,68510
2,57065,68131
2,56383,68826
2,56380,68100
2,56495,69102
2,56450,68436
2,56384,69019
2,56456,67926
2,56277,68104
2,56572,69027
2,56152,71715
2,56544,69208
2,56560,68580
2,56343,68706
2,56064,68334
2,56449,69070
2,56869,68770
2,56309,68401
4,61892,73480
4,62024,72436
4,61898,73764
4,62255,73175
4,62512,73371
4,61687,73837
4,61952,73353
4,61814,72730
4,61849,72935
4,61573,73362
4,61507,73477
4,61660,73779
4,61823,73155
4,62227,72902
4,61819,73332
4,62015,73339
4,61760,76121
4,61621,72696
4,62050,73720
4,61535,73603
6,66942,75910
6,66665,77348
6,66337,76473
6,66296,76910
6,66200,76228
6,66553,76509
6,67022,76322
6,66801,76161
6,66814,76263
6,66146,76571
6,66830,76883
6,66036,76394
6,67323,76966
6,66868,76057
6,66565,75670
6,66913,76214
6,66375,76086
6,67241,76619
6,66292,76548
6,66901,76578
8,71264,81454
8,71587,81149
8,71730,81106
8,71973,81012
8,72070,80862
8,71880,80602
8,71947,82226
8,72152,80243
8,71977,80640
8,75020,81293
8,71194,81495
8,71958,80894
8,71626,81198
8,71488,80540
8,71704,80151
8,71121,80676
8,71737,81440
8,71621,80981
8,71845,80517
8,71825,81422
10,76972,88641
10,76735,88219
10,76257,87543
10,76466,87816
10,76342,88193
10,76707,87254
10,76887,87862
10,76306,87637
10,76373,87830
10,76456,90424
10,76243,88129
10,76221,87516
10,76318,87996
10,76789,87493
10,76798,87392
10,76379,87473
10,76254,87751
10,76720,87567
10,75689,87261
10,79994,87868
12,81425,91950
12,81627,91294
12,80643,91705
12,81289,92190
12,81289,92226
12,81474,92241
12,81479,91524
12,81303,91636
12,81336,91472
12,81374,91679
12,81339,92259
12,82006,91219
12,81780,91692
12,81523,92287
12,81658,91682
12,81596,92338
12,81309,92474
12,80772,91623
12,81553,92646
12,81563,92143
14,86512,96370
14,86626,96049
14,86053,95572
14,86371,96063
14,86498,95076
14,85889,95713
14,85769,95852
14,86401,96535
14,86573,95502
14,86544,95996
14,85829,97717
14,85516,95929
14,86300,96818
14,85901,96109
14,86360,97595
14,85678,96855
14,86337,96476
14,86004,95800
14,85893,95706
14,86447,96024
16,91619,100326
16,91182,98551
16,91070,99026
16,90863,98169
16,90323,102459
16,90912,97664
16,90772,99216
16,91577,99263
16,91510,98437
16,90726,99288
16,90971,99072
16,91057,99128
16,91649,99394
16,91849,100715
16,91425,99398
16,91514,98933
16,91561,98436
16,90487,99303
16,91122,99213
16,90463,98555
18,95750,103402
18,95155,106309
18,96246,103652
18,95477,104839
18,96095,103525
18,96811,104014
18,95452,104146
18,94906,103748
18,96624,103257
18,96559,103632
18,96233,103801
18,95411,105250
18,95494,104095
18,95847,104406
18,96184,103478
18,95949,104077
18,96417,104149
18,95965,103906
18,95415,103702
18,95517,104020
20,100792,106283
20,100820,106722
20,100550,107370
20,100553,106038
20,100499,106484
20,98949,106272
20,99616,106791
20,100368,107297
20,100327,107050
20,100370,107409
20,100290,106865
20,99345,106345
20,100202,105842
20,100090,136398
20,100984,107250
20,100500,106485
20,99915,107084
20,100570,105681
20,98929,106310
20,99895,106425
22,104356,110410
22,107508,111240
22,104366,110921
22,104382,110319
22,104766,110960
22,105713,109967
22,105103,111194
22,105513,110784
22,104825,110424
22,106377,110795
22,104240,110951
22,105309,110069
22,104647,110473
22,105730,110943
22,104930,110182
22,105330,110455
22,105108,113582
22,104395,110265
22,105018,110860
22,104560,110734
24,109933,114645
24,109559,114646
24,110156,113853
24,110450,114778
24,109722,115306
24,110336,113785
24,110163,114666
24,110117,114360
24,110886,114562
24,109799,116653
24,110604,114079
24,109441,113813
24,110965,115556
24,110766,115292
24,110385,115242
24,109358,114558
24,110440,115705
24,111257,115753
24,112708,115604
24,111039,114689
26,115383,117948
26,113808,119016
26,114948,118516
26,116620,119550
26,116780,118134
26,117857,120844
26,115013,118646
26,115252,118808
26,114995,119094
26,115002,118338
26,114389,119359
26,114823,120306
26,114547,122139
26,115185,118399
26,114806,119014
26,115537,118769
26,115861,119067
26,115357,119007
26,115392,118580
26,115315,150577
28,119565,121550
28,119698,122257
28,119543,122145
28,119550,122390
28,120087,122289
28,121762,122545
28,120765,123124
28,120339,121478
28,120009,121664
28,119415,122064
28,120627,122435
28,120478,121653
28,119972,123047
28,119394,123576
28,120112,121920
28,120664,122861
28,119389,122428
28,120038,121825
28,119457,122585
28,119072,122630
30,126372,128208
30,124548,126305
30,124583,127548
30,124423,126836
30,124809,126582
30,124803,127622
30,129405,128366
30,124140,127319
30,125428,127137
30,124302,127043
30,124748,127289
30,124853,127462
30,124749,127289
30,126644,127531
30,124009,127820
30,124347,126776
30,124929,126819
30,125168,126849
30,125609,127839
30,128353,126981
32,129219,130652
32,129377,130567
32,130175,130593
32,130189,130720
32,129424,130963
32,129326,133875
32,129131,130742
32,130254,129893
32,129062,130531
32,129794,130717
32,130781,130353
32,131193,131492
32,130861,130707
32,130478,131382
32,129439,131087
32,129238,131060
32,130152,131551
32,129439,130473
32,142978,130276
32,129454,130966
34,134254,133987
34,134252,133599
34,133553,133798
34,133969,133403
34,138002,134239
34,134194,133763
34,135045,134417
34,134464,132858
34,133761,132693
34,134122,133254
34,133803,136992
34,134499,133694
34,133930,133753
34,134000,133858
34,135215,133203
34,133701,135173
34,133933,136389
34,133286,134429
34,134259,134409
34,133777,134851
36,139323,137837
36,139843,138024
36,139352,137754
36,138782,139041
36,138519,137815
36,139187,137791
36,139027,137385
36,138052,138576
36,139382,140511
36,138446,137557
36,139203,137506
36,139283,137584
36,138983,137742
36,138718,137776
36,139612,140914
36,139923,137911
36,139594,138346
36,138087,138521
36,138782,138548
36,139275,138192
38,143826,144909
38,144078,141766
38,143919,141750
38,144624,141302
38,142835,142295
38,144479,141332
38,148009,142500
38,143449,141895
38,143707,142244
38,142883,141312
38,143418,142214
38,144681,141545
38,144603,143008
38,143813,141958
38,143739,142021
38,143864,141647
38,144287,141688
38,143376,142571
38,144224,141481
38,142419,141765
40,147970,145840
40,148221,145200
40,148366,144841
40,151627,144949
40,148173,144551
40,149173,144595
40,148524,144312
40,148991,143609
40,148583,144053
40,149327,144443
40,148453,145800
40,147573,144461
40,148114,145153
40,148461,145543
40,148343,144353
40,147234,144615
40,147654,145134
40,150055,144871
40,148528,144928
40,149237,145053
42,155943,150318
42,152750,149659
42,152400,150160
42,153947,149202
42,153766,148670
42,153708,150171
42,154083,150165
42,151282,149818
42,152618,149013
42,152706,150385
42,154304,150294
42,153799,150640
42,153825,150844
42,152875,149205
42,152425,149834
42,152793,149019
42,153569,152939
42,153064,150815
42,153116,149825
42,153830,150205
44,157320,152333
44,157339,152503
44,157480,152970
44,156708,151186
44,157509,153045
44,156952,152640
44,157559,152287
44,162449,152596
44,158300,152035
44,157448,151906
44,156470,153100
44,156500,152107
44,157168,155253
44,160219,151517
44,158302,151201
44,157382,151388
44,157990,152105
44,157055,152432
44,160207,152532
44,157607,152250
46,161935,155901
46,162583,155898
46,162764,155373
46,162623,155493
46,162346,156363
46,162148,157008
46,162501,157388
46,161846,156183
46,165258,156472
46,161328,155584
46,163238,156965
46,163204,156807
46,162818,156069
46,162593,160303
46,163723,156719
46,161822,155475
46,162500,156369
46,161597,156372
46,162407,156574
46,162199,157393
48,165632,160599
48,166562,160822
48,167121,160263
48,166563,160353
48,166211,160330
48,166008,160553
48,167111,159755
48,166564,160195
48,165863,161015
48,168337,160617
48,168692,160252
48,167232,158882
48,166494,160439
48,165315,159149
48,166724,160186
48,166720,158961
48,167517,159536
48,166555,160394
48,166268,159372
48,168679,160521
50,172243,170418
50,173497,170687
50,172033,170196
50,172406,173372
50,174230,170949
50,171935,170171
50,170832,169482
50,172826,173031
50,176604,171177
50,172221,170386
50,172843,172325
50,171759,170000
50,171532,170593
50,172068,173504
50,172603,169928
50,172478,169162
50,172203,172010
50,170281,171254
50,172696,172300
50,173090,170904
52,177450,173775
52,178189,176956
52,179431,173888
52,177195,173700
52,176667,173377
52,176669,173584
52,177329,173309
52,176702,176708
52,176117,173673
52,177458,174547
52,178156,173809
52,176822,173525
52,206658,174630
52,176251,173430
52,177630,173469
52,175637,173710
52,176042,172980
