Pallet: "staking", Extrinsic: "payout_all", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
v,n,extrinsic_time,storage_root_time
1,100,3703184,804608
1,100,3639498,796453
1,100,3685942,800562
1,100,3644360,801021
1,100,3659103,800972
1,100,3648811,800193
1,100,3649820,799601
1,100,3703531,800331
1,100,3661681,799102
1,100,3684529,802154
1,100,3634021,802020
1,100,3678233,800920
1,100,3650627,799717
1,100,3683783,801587
1,100,3653203,802951
1,100,3675081,803913
1,100,3695643,803634
1,100,3682622,802916
1,100,3677732,801992
1,100,3680650,800239
2,100,6852906,1060029
2,100,6881036,1065354
2,100,6860423,1062844
2,100,6865831,1062142
2,100,6867830,1065457
2,100,6864107,1061906
2,100,6855783,1065714
2,100,6866717,1064034
2,100,6872714,1062940
2,100,6921403,1060145
2,100,6847973,1065692
2,100,6882965,1062045
2,100,6876215,1067312
2,100,6919416,1068334
2,100,6859346,1062484
2,100,6847429,1062140
2,100,6854490,1060603
2,100,6870654,1063799
2,100,6900380,1067372
2,100,6857754,1065547
3,100,9367623,1070936
3,100,9422397,1071869
3,100,9401485,1070730
3,100,9393700,1071284
3,100,9376568,1073172
3,100,9361805,1072912
3,100,9393126,1068126
3,100,9338473,1071519
3,100,9622315,1095071
3,100,9368046,1102671
3,100,9338492,1072586
3,100,9417469,1072009
3,100,9415102,1075388
3,100,9383072,1105077
3,100,9425345,1070736
3,100,9309660,1073819
3,100,9361577,1071088
3,100,9357560,1075185
3,100,9350341,1072244
3,100,9364509,1073030
4,100,11802304,1055997
4,100,11826208,1055064
4,100,11775734,1114573
4,100,11834699,1055881
4,100,11757501,1055326
4,100,11789379,1059292
4,100,11809530,1058091
4,100,11776748,1055285
4,100,11783234,1084608
4,100,11805872,1054815
4,100,11809977,1056007
4,100,11756641,1056292
4,100,11799961,1054579
4,100,11862920,1092326
4,100,11792044,1055094
4,100,11839175,1055885
4,100,11820312,1061167
4,100,11840901,1057839
4,100,11784098,1055819
4,100,11785474,1059297
5,100,14421436,1169197
5,100,14506091,1173308
5,100,14373288,1172412
5,100,14477777,1170714
5,100,14491224,1172889
5,100,14366686,1172122
5,100,14366893,1178583
5,100,14450944,1176822
5,100,14423698,1173761
5,100,14413090,1173499
5,100,14435027,1170420
5,100,14393265,1169608
5,100,14363755,1173167
5,100,14379925,1173799
5,100,14456290,1172372
5,100,14470571,1202181
5,100,14351928,1171843
5,100,14393802,1169681
5,100,14418783,1172370
5,100,14368969,1171106
6,100,16974919,1182589
6,100,16916213,1188501
6,100,16820967,1188731
6,100,16886368,1215651
6,100,16916555,1188414
6,100,16944297,1185732
6,100,16885936,1186169
6,100,16953938,1186550
6,100,16923764,1185352
6,100,16920336,1186321
6,100,16867822,1183959
6,100,17002753,1180929
6,100,16862435,1183610
6,100,16966452,1189884
6,100,16877255,1190862
6,100,16909347,1186379
6,100,16871014,1183378
6,100,16933566,1186962
6,100,16882282,1185074
6,100,16927925,1189393
7,100,19348968,1205691
7,100,19391017,1198585
7,100,19463772,1201337
7,100,19362678,1198240
7,100,19342213,1198801
7,100,19369673,1205026
7,100,19434950,1202448
7,100,19425806,1202029
7,100,19369467,1197838
7,100,19423311,1200450
7,100,19415137,1201502
7,100,19390534,1200174
7,100,19469428,1201720
7,100,19429623,1200098
7,100,19409735,1199508
7,100,19501369,1200838
7,100,19355836,1203229
7,100,19408455,1200918
7,100,19408516,1203689
7,100,19506951,1204251
8,100,21811785,1179642
8,100,21821737,1175509
8,100,21764020,1178073
8,100,21795135,1178826
8,100,21736533,1178161
8,100,21807088,1178812
8,100,21798769,1182632
8,100,21768093,1188599
8,100,21762498,1183504
8,100,21728260,1178705
8,100,21780537,1177143
8,100,21779731,1204160
8,100,21714455,1179243
8,100,21787115,1183782
8,100,21772083,1179731
8,100,21846283,1181025
8,100,21813371,1180065
8,100,21780133,1180981
8,100,21894227,1177971
8,100,21862171,1179136
9,100,24422244,1226753
9,100,24524020,1224803
9,100,24369110,1220814
9,100,24413675,1222587
9,100,24358964,1221574
9,100,24317583,1219024
9,100,24315837,1224484
9,100,24394372,1218711
9,100,24328447,1219511
9,100,24434818,1221467
9,100,24303802,1221490
9,100,24445090,1222565
9,100,24363412,1224296
9,100,24407849,1222844
9,100,24443189,1220326
9,100,24356976,1222561
9,100,24389660,1223026
9,100,24574377,1225113
9,100,24352251,1230014
9,100,24437658,1220813
10,100,26894780,1234379
10,100,26903900,1235497
10,100,26862939,1239454
10,100,26969301,1237280
10,100,26895138,1238155
10,100,26907530,1237748
10,100,26809645,1237457
10,100,26921393,1237602
10,100,26824037,1237464
10,100,26856441,1263806
10,100,26822612,1236243
10,100,26966753,1237829
10,100,26858354,1239947
10,100,26897710,1268791
10,100,26776001,1235453
10,100,26833023,1237395
10,100,26848550,1238081
10,100,26953668,1237197
10,100,26998337,1238415
10,100,26974289,1264287
10,1,1300114,175112
10,1,1293437,174977
10,1,1291796,174462
10,1,1293263,174485
10,1,1300816,175275
10,1,1298341,173889
10,1,1289127,174941
10,1,1293167,175409
10,1,1295295,174642
10,1,1320526,174302
10,1,1294550,178650
10,1,1292603,173661
10,1,1292491,174637
10,1,1288778,175327
10,1,1291037,174114
10,1,1294605,175374
10,1,1296242,175594
10,1,1297231,174284
10,1,1296488,174807
10,1,1297028,174716
10,2,1648918,182358
10,2,1652447,183355
10,2,1642777,186877
10,2,1653235,186141
10,2,1686260,184553
10,2,1652246,184104
10,2,1649425,183800
10,2,1679696,183920
10,2,1658489,183117
10,2,1668029,182744
10,2,1645180,184126
10,2,1648229,183537
10,2,1653636,182484
10,2,1646659,183221
10,2,1649982,184583
10,2,1690608,183143
10,2,1676750,183752
10,2,1653203,183370
10,2,1648010,183516
10,2,1650036,183808
10,3,1998249,194957
10,3,1995471,195631
10,3,2006676,195604
10,3,2004934,194171
