Pallet: "staking", Extrinsic: "set_controller", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,29771,40409
0,25499,32130
0,25033,31667
0,25473,32251
0,24846,31960
0,25472,32087
0,38249,32049
0,25116,31830
0,25538,31861
0,24941,31771
0,24795,31718
0,24995,31440
0,25640,32342
0,25600,31956
0,25193,31383
0,24970,31416
0,25464,31796
0,25582,31964
0,25238,31943
0,25161,31455
20,25154,37739
20,25242,34009
20,25189,39295
20,24864,33647
20,24664,33727
20,25620,33572
20,25294,34017
20,24675,33754
20,24885,34107
20,25429,33973
20,24915,33724
20,25330,33766
20,25122,33622
20,25023,33917
20,25158,33500
20,25452,33326
20,25224,34004
20,25226,34232
20,25558,34090
20,24808,33496
40,25306,34001
40,24812,33765
40,25331,33568
40,25462,33799
40,24954,33626
40,25340,33888
40,25365,33349
40,25369,33504
40,25288,33798
40,25015,33919
40,25160,33693
40,25387,33284
40,25412,33553
40,24855,33136
40,43156,46868
40,25441,34143
40,25015,33372
40,25266,33354
40,24834,33155
40,25488,33506
60,25329,31878
60,25066,31853
60,25351,31774
60,25702,31931
60,25355,31764
60,25203,31907
60,25102,31608
60,25399,31424
60,25049,31603
60,25427,31191
60,25237,34417
60,25399,31673
60,25446,31692
60,24996,31355
60,25212,31514
60,25171,31501
60,25007,31226
60,24801,31055
60,25210,31488
60,25212,31666
80,25131,33576
80,24772,33495
80,24954,33622
80,24772,33487
80,24987,33660
80,25005,33854
80,25263,33626
80,25098,34105
80,25064,33401
80,25034,33399
80,24839,33358
80,24904,33480
80,25668,33584
80,24579,33555
80,24923,33440
80,25356,33842
80,25471,33780
80,25377,34199
80,24742,33772
80,24899,33588
100,25133,31821
100,25284,31624
100,25211,31553
100,25236,31321
100,25061,31351
100,25340,31330
100,25473,31577
100,25150,31970
100,25208,31533
100,25252,31681
100,25228,31510
100,25337,31756
100,25154,31579
100,25184,31814
100,24859,31689
100,25348,31461
100,25231,31632
100,25229,31582
100,25222,31543
100,25416,31585
120,25249,33694
120,25097,33887
120,25319,33201
120,25489,33679
120,25089,33262
120,25316,33705
120,25229,33012
120,25248,33566
120,25133,33435
120,25438,33600
120,24997,33846
120,25102,33469
120,25394,33737
120,25551,33250
120,25245,33483
120,25564,33412
120,25175,34300
120,25425,33543
120,25369,33596
120,25222,33540
140,25379,33725
140,25034,34351
140,25314,33734
140,25924,33798
140,25188,33661
140,25250,33949
140,24992,34085
140,25062,33807
140,24994,34065
140,24956,33708
140,25394,33935
140,25034,33614
140,25151,33605
140,25323,33865
140,25340,34068
140,24698,33712
140,25390,33929
140,25152,33567
140,25077,33517
140,25224,33522
160,25531,31823
160,25388,32033
160,25680,31923
160,25446,31801
160,25403,31703
160,25812,31837
160,25295,34835
160,25603,31878
160,25332,31733
160,25526,32025
160,25797,31965
160,25752,32071
160,25275,31745
160,25299,32004
160,25541,32060
160,25595,31714
160,25645,31522
160,25472,32031
160,25472,31770
160,25363,31611
180,25240,33589
180,25154,33688
180,25519,33579
180,25316,33556
180,25243,33592
180,25247,33440
180,25397,33308
180,24959,33121
180,25300,33308
180,25272,33117
180,25245,33174
180,25317,32921
180,24949,33289
180,25227,33346
180,25321,33611
180,25390,32656
180,25410,33167
180,25068,33075
180,25095,33503
180,25359,33421
200,25205,31527
200,25257,31314
200,25263,31558
200,24874,30648
200,25075,31149
200,25000,31105
200,25069,31109
200,24683,31052
200,24836,30970
200,25042,31161
200,25073,31047
200,24922,31050
200,24835,31169
200,24989,31160
200,24873,31105
200,25448,30828
200,25427,31063
200,24903,30989
200,24912,31112
200,24959,30929
220,25406,31452
220,24868,31176
220,25236,31284
220,25221,31635
220,24850,31439
220,25106,31222
220,25447,31877
220,25077,31254
220,25218,31317
220,24752,31058
220,25284,31302
220,24981,31366
220,25498,31749
220,25019,31548
220,25061,30976
220,25379,31269
220,24935,31503
220,25026,31081
220,25210,31251
220,25174,31594
240,25449,33753
240,25065,33624
240,24963,33227
240,25215,33416
240,25032,33561
240,24995,33089
240,25017,33387
240,25144,33159
240,25380,33152
240,25077,33783
240,25147,33610
240,25210,33593
240,24906,33222
240,25282,33417
240,25095,33146
240,25182,32897
240,25637,33350
240,25710,33759
240,25079,33237
240,25563,33343
260,25590,34091
260,25794,33881
260,25337,33419
260,25509,33996
260,25345,33749
260,24968,33669
260,25317,33364
260,25249,33312
260,25072,33586
260,25580,33757
260,25172,33772
260,24923,33458
260,25117,33399
260,25252,33592
260,25621,33871
260,25235,33340
260,24916,33438
260,25228,33623
260,24988,33631
260,25222,33565
280,25163,33284
280,25401,33810
280,25185,33444
280,25318,33326
280,25111,33512
280,25299,33237
280,25117,33052
280,24924,32945
280,25128,33224
280,24962,33448
280,25527,33259
280,25220,33432
280,25158,33379
280,24987,33190
280,25295,33197
280,25387,33728
280,25184,33270
280,25290,33162
280,24817,33127
280,25184,33463
300,25180,33675
300,25016,33323
300,24896,33207
300,25253,33597
300,25323,33443
300,24983,33258
300,25126,33234
300,24932,33281
300,25247,33571
300,25158,33228
300,24970,33451
300,25055,33230
300,24858,32955
300,25528,33643
300,25551,33900
300,25390,33347
300,25312,33237
300,24987,33092
300,25313,33526
300,25088,33407
320,25466,31451
320,25245,31127
320,25077,31067
320,24883,30977
320,25068,31409
320,25264,31471
320,25255,31280
320,25060,31316
320,24896,31259
320,25363,33886
320,25130,31280
320,25462,31426
320,25688,31268
320,25323,31473
320,25149,31662
320,25118,31111
320,24957,31261
320,24907,30945
320,24805,31136
320,25061,30981
340,25213,33245
340,24791,33634
340,24929,33060
340,25138,33240
340,25024,33117
