Pallet: "system", Extrinsic: "kill_prefix", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
p,extrinsic_time,storage_root_time
1,11514,18555
1,4727,10570
1,4189,9619
1,4088,9492
1,4006,9250
1,4000,9323
1,3974,9190
1,4056,9204
1,3860,9184
1,3954,9186
1,3922,9052
1,3922,9120
1,3816,9161
1,3893,9262
1,3919,9020
1,3859,9042
1,3898,9170
1,3847,9009
1,3745,9079
1,3907,8973
20,21763,48935
20,20222,47221
20,19825,46562
20,19823,46807
20,20007,46447
20,19648,46173
20,19820,46144
20,19645,46542
20,20108,46665
20,19642,46787
20,19878,46431
20,20057,46217
20,19796,46449
20,20173,46647
20,19814,45866
20,20121,46075
20,19892,46140
20,20079,46370
20,19829,46331
20,19904,46161
39,36045,82351
39,36995,80969
39,36328,81617
39,36535,81300
39,36225,81719
39,35922,81507
39,35771,81636
39,36627,81847
39,35509,81293
39,36316,81818
39,35199,79316
39,35063,80013
39,35335,80770
39,35271,79921
39,35711,79647
39,35476,79741
39,35553,79366
39,35071,79427
39,35997,80262
39,35702,80202
58,51363,106399
58,51821,106124
58,51606,105702
58,51509,105285
58,51700,105675
58,51755,106035
58,51052,106542
58,52449,106218
58,53707,108575
58,51794,105663
58,51640,105725
58,51065,105734
58,51472,105512
58,50763,106541
58,51928,105689
58,51454,105886
58,51519,106075
58,51464,105713
58,51214,106270
58,51651,106415
77,63623,138412
77,63187,137567
77,63394,138596
77,62729,137625
77,62949,138262
77,63259,137707
77,63940,138282
77,63358,138400
77,63207,138490
77,63480,138973
77,63048,137502
77,63157,138758
77,62867,137834
77,66099,138125
77,63493,138241
77,62628,137729
77,63552,139047
77,62772,137975
77,65214,137278
77,63702,138952
96,77864,183634
96,77499,166256
96,77158,165267
96,78084,165151
96,79689,164347
96,78940,166091
96,77965,164558
96,78556,165236
96,77728,165196
96,79870,164556
96,76990,164790
96,79236,163472
96,78373,165985
96,77582,165536
96,77398,165396
96,78937,163976
96,80648,164314
96,78123,165518
96,79066,164402
96,78561,166338
115,92317,193204
115,92909,191963
115,91656,191915
115,92819,193458
115,92533,211249
115,93054,193557
115,93748,193130
115,92749,192895
115,93136,194214
115,92851,194261
115,95000,192934
115,94033,193587
115,92935,193967
115,92380,193065
115,93200,193253
115,93069,193888
115,93455,193557
115,92428,193498
115,92530,193048
115,92637,192853
134,110557,236595
134,107836,232452
134,107380,233232
134,107895,236787
134,107847,234840
134,107663,235083
134,108207,235830
134,108791,235569
134,107658,234792
134,107991,235022
134,108267,235696
134,107817,234718
134,107808,234806
134,106959,235058
134,107817,235522
134,108269,236400
134,107107,235413
134,107514,235470
134,108070,236928
134,107262,234906
153,125116,267229
153,123638,268619
153,137771,267938
153,124009,268048
153,123158,267246
153,123622,266394
153,123325,268054
153,126548,265540
153,126233,265426
153,125572,267002
153,124414,267182
153,123436,268077
153,124354,267984
153,123933,267195
153,126607,266526
153,123859,268237
153,123596,266841
153,125879,266516
153,126572,266253
153,126660,265646
172,141889,302211
172,140000,304234
172,141146,299757
172,139472,300173
172,141198,299952
172,139651,300336
172,140266,299196
172,139129,299020
172,140547,305477
172,139372,301431
172,140889,301438
172,139575,299585
172,140437,300100
172,139876,302216
172,140830,300533
172,140223,330993
172,141026,301106
172,140120,301733
172,140289,301267
172,140591,301750
191,158875,346813
191,155240,348707
191,158496,347876
191,156280,351364
191,156246,349391
191,158821,348527
191,156209,347575
191,155350,350530
191,155425,349711
191,158518,347636
191,155452,348516
191,158853,352135
191,156531,348341
191,156052,350016
191,158694,350800
191,159212,347001
191,156054,349431
191,156311,352081
191,155193,349619
191,156124,350546
210,174643,380717
210,170008,379308
210,171675,379016
210,171721,379799
210,170776,380032
210,171744,379712
210,175790,378505
210,173966,378887
210,171806,380973
210,171953,380290
210,170747,379949
210,171299,381782
210,170506,379770
210,170317,379108
210,172585,382008
210,171085,379542
210,171289,379657
210,171164,380189
210,171304,378201
210,174557,377539
229,189038,413438
229,189466,413804
229,189532,417142
229,189868,414976
229,190535,415211
229,189497,414497
229,193336,412513
229,189283,413315
229,192336,411668
229,189858,414063
229,192834,415513
229,189472,416120
229,191786,415627
229,189104,414861
229,189567,413833
229,188808,416031
229,189320,413108
229,190790,415802
229,189534,413227
229,190106,414438
248,199567,416219
248,198826,412162
248,200437,412096
248,198583,410620
248,202918,410184
248,200285,416333
248,200076,411068
248,202301,412149
248,198809,411075
248,200030,412444
248,199043,415603
248,199332,413277
248,200329,413614
248,199957,412680
248,199200,412598
248,199847,442737
248,200103,412457
248,199026,414258
248,199881,413378
248,199596,411980
267,219354,468353
267,215445,468508
267,217219,471128
267,216811,469853
267,216580,468042
267,215881,468567
267,216837,469519
267,216866,467550
267,215606,469950
267,220124,470350
267,218865,467433
267,215423,472046
267,216698,471008
267,217078,470257
267,216670,470909
267,216752,469470
267,218653,465473
267,215957,469621
267,219422,469465
267,216669,465411
286,231911,475671
286,231437,472932
286,232899,472043
286,233648,471329
286,232259,471661
286,232620,472127
286,232317,474283
286,231621,473701
286,232982,474878
286,230950,473279
286,231892,471989
286,233867,472199
286,231974,471902
286,231879,474650
286,232683,472570
286,232779,472728
286,231999,471873
286,231363,473988
286,233290,473120
286,233628,473150
305,248992,498102
305,244634,499737
305,246361,502715
305,245478,503602
305,245454,500015
305,244843,501238
305,245888,500425
305,245624,500592
305,245064,500399
305,246196,502953
305,245850,501296
305,245533,500605
305,274502,500479
305,248225,498171
305,248167,500906
305,244837,499586
305,248560,503317
305,245770,500935
305,245915,505066
305,245084,500120
324,270288,542231
324,266836,537848
324,274734,535552
324,271002,535885
324,269059,540652
324,268354,538516
324,270163,536082
324,266950,540443
324,270513,536887
324,268339,539153
324,268171,540524
324,270590,539445
324,268026,540969
324,267731,540651
324,267101,540221
324,269404,537511
324,267121,538948
324,270944,537778
324,268030,539310
324,269551,542028
343,281824,636921
343,278825,636988
343,281162,639016
343,282753,638821
343,286049,631653
343,278805,636177
343,283761,631254
343,279922,635319
343,281028,636106
343,280769,638317
343,280545,634719
343,280658,635494
343,281377,636603
343,279390,635950
343,280915,638991
343,283300,633062
343,280623,639502
343,279528,636563
343,282326,635571
343,279782,672152
362,300822,637974
362,301757,633202
362,298104,636064
362,299208,638718
362,302292,639272
362,298287,637690
362,299876,636302
362,298525,637252
362,303421,635268
362,303289,636391
362,302707,633633
362,298073,635715
362,303369,635945
362,299044,636972
362,299904,641883
362,299062,639318
362,300196,638785
362,299175,640722
362,299298,636906
362,299546,640755
381,322779,705312
381,317359,709080
381,317784,711017
381,319105,708232
381,325339,703525
381,320415,705933
381,319140,707921
381,321152,706018
381,324780,707003
381,321009,701153
381,321686,703757
381,322201,707093
381,323036,710437
381,321966,704548
381,320953,707659
381,319747,708320
381,322862,704122
381,315512,709556
381,318730,707059
381,321973,704327
400,332595,723779
400,327880,726966
400,327201,726067
400,329163,732085
400,333332,721329
400,333915,721944
400,334739,726122
400,332956,724509
400,333859,723542
400,333736,727791
400,333469,722924
400,334773,723327
400,333820,724431
400,332757,723910
400,334552,725793
400,333271,724278
400,334113,723889
400,327241,727923
400,336870,724237
400,333364,722293
419,351799,722216
419,351032,717551
419,349353,723650
419,345561,724902
419,346045,725002
419,346169,728980
419,346921,723943
419,351464,721491
419,351240,721862
419,350100,719086
419,349751,716091
419,354516,718274
419,351446,719351
419,351037,719194
419,351167,720920
419,349342,721638
419,351747,717486
419,349997,718597
419,351112,748294
419,351425,721251
438,369887,803261
438,371904,806425
438,369944,807928
438,373787,800064
438,374925,797445
438,374888,799487
438,374544,803181
438,365848,808692
438,369237,805955
438,367602,804359
438,368622,806802
438,375058,799841
438,373887,799282
438,368477,803548
438,368721,811077
438,367908,802652
438,369277,804490
438,371121,805374
438,368669,808432
438,373263,798473
457,378304,831945
457,378627,827565
457,378629,831604
457,376232,826441
457,376570,827289
457,377631,826482
457,379912,870486
457,376946,830283
457,377000,827892
457,380528,820734
457,384652,822053
457,382299,850044
457,378307,828503
457,377433,824349
457,378337,825268
457,380188,828516
457,378488,829195
457,377734,829726
457,379884,829265
457,381949,821312
476,400986,870870
476,399066,868818
476,401629,868579
476,398611,867602
476,400617,866158
476,400264,868693
476,404646,874681
476,401403,865576
476,403480,869592
476,401656,866853
476,404464,866950
476,401887,869733
476,400596,865058
476,402349,867910
476,399786,866411
476,400733,865747
476,402678,870047
476,400190,867425
476,402042,868045
476,399273,866896
495,416666,900410
495,418407,900703
495,415623,930603
495,415453,897306
495,415510,896060
495,413457,897653
495,414759,896626
495,415003,895203
495,415940,906729
495,417497,898611
495,415849,898103
495,414602,895809
495,417162,896098
495,412121,895423
495,419028,898166
495,416505,897786
495,417286,897712
495,411589,894919
495,417177,896883
495,415823,896286
514,430657,919000
514,426948,915562
514,426231,917198
514,430981,916826
514,422952,914629
514,428797,911768
514,426115,913392
514,428781,920003
514,434214,910863
514,424354,914578
514,431115,913891
514,424911,916789
514,429943,910663
514,423711,914475
514,427340,915246
514,429756,920133
514,427881,919175
514,424880,917618
514,426026,918414
514,423040,915259
533,448397,909967
533,448897,909221
533,451484,905820
533,452129,913226
533,450898,908196
533,446748,911273
533,451768,907525
533,453057,902467
533,452310,903509
533,451848,901437
533,449685,907800
533,450172,903083
533,449701,903895
533,446375,908147
533,453301,902356
533,449265,909631
533,445710,910824
533,451499,912906
533,445885,913414
533,446286,909069
552,463751,937545
552,461347,968027
552,462069,941689
552,459625,938142
552,463351,937523
552,460012,936352
552,459364,937440
552,465757,936390
552,458848,943163
552,460955,935959
552,460870,934708
552,463202,935490
552,461609,941538
552,460671,941169
552,461213,938750
552,459562,936465
552,458513,939934
552,466101,943168
552,459611,938327
552,459883,939260
571,473771,1079353
571,477109,1076652
571,479728,1071846
571,477512,1079475
571,482681,1072264
571,476033,1079707
571,476374,1080941
571,478023,1081579
571,474958,1074883
571,475035,1080673
571,472885,1074796
571,471602,1079339
571,470946,1073296
571,477089,1072853
571,476580,1077007
571,474748,1076557
571,473316,1080278
571,476118,1078964
571,469981,1076770
571,478419,1080079
590,526955,1058706
590,496412,1060533
590,495747,1057878
590,494628,1053922
590,493630,1060967
590,495299,1051644
590,500244,1057845
590,496847,1061880
590,492784,1058750
590,493625,1056874
590,499715,1058543
590,493807,1062662
590,493692,1059359
590,496635,1057928
590,497582,1054601
590,499681,1065098
590,499013,1058463
590,497923,1057748
590,494467,1056568
590,493096,1055380
609,509077,1070432
609,504797,1069202
609,516326,1071300
609,504736,1076187
609,508571,1068131
609,505419,1065327
609,505705,1071283
609,506863,1068315
609,507277,1067390
609,505579,1065544
609,504399,1069413
609,507366,1067467
609,506519,1069240
609,510068,1068194
609,506940,1065945
609,498586,1072542
609,502201,1074391
609,502716,1065710
609,508053,1063597
609,506938,1065065
628,533335,1115646
628,525062,1119148
628,526276,1123481
628,525702,1122831
628,524825,1120198
628,527796,1126578
628,538384,1117467
628,530876,1123679
628,529937,1118947
628,526791,1121359
628,527587,1120318
628,530481,1108982
628,530298,1116441
628,532531,1108753
628,533641,1111649
628,535115,1109487
628,533250,1109074
628,525327,1120649
628,527068,1119170
628,529460,1126301
647,551203,1182760
647,550378,1176299
647,551081,1174055
647,553888,1169701
647,548211,1172285
647,548332,1170576
647,556347,1162818
647,554587,1160207
647,549623,1172539
647,553609,1198859
647,547345,1174390
647,577584,1172012
647,554420,1164852
647,546964,1172059
647,547902,1178632
647,545182,1177248
647,553167,1172649
647,548688,1173372
647,549263,1173633
647,553766,1175932
666,557952,1254166
666,553993,1255701
666,558931,1257151
666,554116,1258384
666,564399,1245522
666,552783,1256113
666,555373,1256535
666,556050,1253943
666,559105,1258319
666,555063,1255503
666,554747,1254152
666,555027,1256533
666,554934,1257906
666,560410,1258663
666,556407,1255110
666,551790,1256169
666,560613,1243999
666,553782,1253308
666,553110,1258053
666,559414,1247300
685,577679,1295460
685,572280,1294889
685,573019,1295729
685,571513,1294714
685,579289,1290920
685,573774,1294898
685,572629,1293169
685,572051,1295554
685,581660,1282930
685,573515,1293482
685,582927,1288957
685,582169,1287912
685,573137,1292994
685,584288,1283853
685,577134,1297264
685,580156,1301206
685,575470,1299305
685,578703,1280717
685,578921,1281965
685,570648,1298546
704,597762,1331968
704,595028,1330380
704,595462,1332816
704,595991,1362263
704,599771,1353409
704,602675,1320008
704,603560,1325951
704,591564,1328882
704,602333,1323798
704,596195,1335546
704,594119,1335835
704,597728,1324105
704,592069,1335426
704,593929,1336677
704,593912,1335048
704,599096,1318111
704,601203,1321728
704,601762,1326448
704,597159,1330567
704,592950,1330416
723,590955,1267342
723,589842,1264462
723,591696,1266585
723,591818,1267529
723,591703,1265493
723,589789,1273237
723,592472,1268415
723,590937,1267237
723,594146,1263828
723,591853,1265787
723,591127,1263979
723,587981,1267299
723,591372,1275273
723,591370,1262891
723,589371,1265080
723,597252,1254889
723,592158,1268667
723,592035,1303714
723,623590,1265589
723,595474,1254217
742,618512,1312738
742,616340,1315522
742,621300,1315600
742,618094,1312241
742,622418,1310153
742,615446,1342526
742,619716,1312131
742,622827,1302116
742,624829,1300631
742,624675,1306686
742,617251,1350853
742,619700,1314628
742,617877,1309505
742,618719,1311131
742,617482,1315935
742,619026,1311242
742,623776,1311577
742,616012,1313708
742,619085,1319769
742,620799,1308297
761,642288,1408975
761,640897,1406708
761,643554,1405098
761,641416,1406873
761,642925,1412155
761,646608,1410006
761,643652,1404432
761,639952,1416813
761,640355,1418186
761,636004,1421037
761,644591,1411335
761,642696,1412758
761,641086,1406918
761,639824,1423570
761,638454,1428510
761,637002,1420972
761,639822,1422484
761,637399,1424692
761,644106,1416257
761,645536,1413494
780,652186,1444377
780,650547,1441708
780,644547,1442490
780,648637,1451488
780,657012,1432384
780,647876,1443681
780,649754,1444429
780,645563,1437942
