Pallet: "treasury", Extrinsic: "cancel_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,73450,3045,2,13,3,3
0,67435,2446,2,13,3,3
0,66365,2372,2,13,3,3
0,66283,2350,2,13,3,3
0,65985,2400,2,13,3,3
0,66616,2298,2,13,3,3
0,66235,2357,2,13,3,3
0,66582,2371,2,13,3,3
0,65573,2399,2,13,3,3
0,65990,2370,2,13,3,3
0,69329,2348,2,13,3,3
0,65591,2372,2,13,3,3
0,66041,2394,2,13,3,3
0,65951,2374,2,13,3,3
0,65842,2339,2,13,3,3
0,66200,2269,2,13,3,3
0,66225,2392,2,13,3,3
0,65627,2311,2,13,3,3
0,66449,2352,2,13,3,3
0,65785,2238,2,13,3,3
20,65689,2305,2,13,3,3
20,69501,2350,2,13,3,3
20,65515,2336,2,13,3,3
20,66007,2356,2,13,3,3
20,66095,2367,2,13,3,3
20,65550,2390,2,13,3,3
20,65387,2291,2,13,3,3
20,65498,2281,2,13,3,3
20,65790,2298,2,13,3,3
20,65454,2323,2,13,3,3
20,65868,2349,2,13,3,3
20,65525,2375,2,13,3,3
20,65565,2454,2,13,3,3
20,65750,2323,2,13,3,3
20,65667,2410,2,13,3,3
20,65652,2378,2,13,3,3
20,65126,2391,2,13,3,3
20,65691,2340,2,13,3,3
20,65573,2427,2,13,3,3
20,65771,2372,2,13,3,3
40,66087,2394,2,13,3,3
40,66176,2283,2,13,3,3
40,65737,2296,2,13,3,3
40,65971,2444,2,13,3,3
40,66532,2409,2,13,3,3
40,66387,2336,2,13,3,3
40,66514,2285,2,13,3,3
40,66401,2299,2,13,3,3
40,66082,2287,2,13,3,3
40,65596,2305,2,13,3,3
40,66634,2319,2,13,3,3
40,65968,2393,2,13,3,3
40,65959,2438,2,13,3,3
40,66147,2454,2,13,3,3
40,65797,2459,2,13,3,3
40,65839,2288,2,13,3,3
40,66129,2345,2,13,3,3
40,66338,2382,2,13,3,3
40,66531,2353,2,13,3,3
40,66129,2362,2,13,3,3
60,65885,2415,2,13,3,3
