Pallet: "treasury", Extrinsic: "reject_bounty", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
0,58197,3101,1,8,2,4
0,45790,2292,1,8,2,4
0,44246,2267,1,8,2,4
0,43943,2231,1,8,2,4
0,44262,2219,1,8,2,4
0,43954,2261,1,8,2,4
0,43523,6163,1,8,2,4
0,44394,2244,1,8,2,4
0,43699,2215,1,8,2,4
0,43749,2240,1,8,2,4
0,43777,2297,1,8,2,4
0,43798,2251,1,8,2,4
0,43627,2254,1,8,2,4
0,43777,2239,1,8,2,4
0,43601,2233,1,8,2,4
0,43597,2224,1,8,2,4
0,43764,2268,1,8,2,4
0,43761,2230,1,8,2,4
0,43706,2225,1,8,2,4
0,43724,2209,1,8,2,4
20,43902,2248,2,7,3,3
20,43620,2243,2,7,3,3
20,43422,2192,2,7,3,3
20,43872,2257,2,7,3,3
20,43301,2212,2,7,3,3
20,43227,2256,2,7,3,3
20,43079,2310,2,7,3,3
20,42825,2220,2,7,3,3
20,43104,2266,2,7,3,3
20,43224,2245,2,7,3,3
20,42924,2123,2,7,3,3
20,43136,2240,2,7,3,3
20,43242,2248,2,7,3,3
20,42903,2288,2,7,3,3
20,43346,2202,2,7,3,3
20,42930,2217,2,7,3,3
20,43180,2188,2,7,3,3
20,42922,2224,2,7,3,3
20,42907,2212,2,7,3,3
20,42756,2250,2,7,3,3
40,43344,2273,2,7,3,3
40,43783,2347,2,7,3,3
40,43450,2401,2,7,3,3
40,43175,2300,2,7,3,3
40,43316,2305,2,7,3,3
40,43734,2281,2,7,3,3
40,43288,2342,2,7,3,3
40,43380,2309,2,7,3,3
40,43396,2282,2,7,3,3
40,43517,2306,2,7,3,3
40,43513,2293,2,7,3,3
40,43322,2325,2,7,3,3
40,43474,2240,2,7,3,3
40,43278,2345,2,7,3,3
40,43066,2173,2,7,3,3
40,43336,2236,2,7,3,3
40,43373,2282,2,7,3,3
40,44088,2227,2,7,3,3
40,43280,2231,2,7,3,3
40,43173,2261,2,7,3,3
60,44052,2176,2,7,3,3
60,43818,2241,2,7,3,3
60,43370,2191,2,7,3,3
60,43336,2214,2,7,3,3
60,43330,2244,2,7,3,3
60,45640,2333,2,7,3,3
60,43676,2343,2,7,3,3
60,43641,2349,2,7,3,3
60,43430,2271,2,7,3,3
60,44207,2274,2,7,3,3
60,43961,2272,2,7,3,3
60,43256,2275,2,7,3,3
60,43523,2175,2,7,3,3
60,43618,2262,2,7,3,3
60,43976,2256,2,7,3,3
60,43872,2350,2,7,3,3
60,43401,2211,2,7,3,3
60,43836,2298,2,7,3,3
60,43763,2277,2,7,3,3
60,43950,2277,2,7,3,3
80,44061,2288,2,7,3,3
80,43523,2236,2,7,3,3
80,43879,2209,2,7,3,3
80,43593,2183,2,7,3,3
80,43779,2208,2,7,3,3
80,43976,2253,2,7,3,3
80,43587,2247,2,7,3,3
80,43452,2194,2,7,3,3
80,43836,2258,2,7,3,3
80,43466,2238,2,7,3,3
80,47025,2321,2,7,3,3
80,44417,2309,2,7,3,3
80,43821,2331,2,7,3,3
80,43716,2279,2,7,3,3
80,43847,2282,2,7,3,3
80,43570,2330,2,7,3,3
80,43859,2251,2,7,3,3
80,43185,2240,2,7,3,3
80,43278,2260,2,7,3,3
80,43699,2234,2,7,3,3
100,43613,2252,2,7,3,3
100,43814,2315,2,7,3,3
100,43478,2217,2,7,3,3
100,43501,2146,2,7,3,3
100,45794,2330,2,7,3,3
100,42966,2346,2,7,3,3
100,43455,2240,2,7,3,3
100,44112,2260,2,7,3,3
100,43400,2286,2,7,3,3
100,43220,2248,2,7,3,3
100,43178,2186,2,7,3,3
100,43437,2222,2,7,3,3
100,43197,2262,2,7,3,3
100,43178,2258,2,7,3,3
100,42928,2255,2,7,3,3
100,43312,2246,2,7,3,3
100,43595,2274,2,7,3,3
100,43534,2289,2,7,3,3
100,43628,2259,2,7,3,3
100,43276,2232,2,7,3,3
120,43531,2359,2,7,3,3
120,43806,2447,2,7,3,3
120,43686,2402,2,7,3,3
120,43906,2309,2,7,3,3
120,44057,2315,2,7,3,3
120,43056,2324,2,7,3,3
120,43768,2311,2,7,3,3
120,43272,2286,2,7,3,3
120,43526,2214,2,7,3,3
120,43116,2337,2,7,3,3
120,43914,2337,2,7,3,3
120,43917,2281,2,7,3,3
120,43877,2250,2,7,3,3
120,43873,2292,2,7,3,3
120,43214,2251,2,7,3,3
120,43748,2263,2,7,3,3
120,42932,2263,2,7,3,3
120,43576,2326,2,7,3,3
120,43029,2313,2,7,3,3
120,43537,2342,2,7,3,3
140,43478,2369,2,7,3,3
140,43663,2265,2,7,3,3
140,43412,2285,2,7,3,3
140,44346,2258,2,7,3,3
140,43636,2335,2,7,3,3
140,43557,2282,2,7,3,3
140,43971,2224,2,7,3,3
140,43419,2306,2,7,3,3
140,43567,2268,2,7,3,3
140,44195,2301,2,7,3,3
140,43770,2244,2,7,3,3
140,43697,2245,2,7,3,3
140,43610,2187,2,7,3,3
140,43935,2250,2,7,3,3
140,43501,2233,2,7,3,3
140,43768,2262,2,7,3,3
140,42922,2214,2,7,3,3
140,56866,2262,2,7,3,3
140,44019,2161,2,7,3,3
140,43441,2324,2,7,3,3
160,44163,2254,2,7,3,3
160,43704,2251,2,7,3,3
160,43667,2278,2,7,3,3
160,43740,2280,2,7,3,3
160,43701,2318,2,7,3,3
160,44007,2273,2,7,3,3
160,43854,2260,2,7,3,3
160,43357,2336,2,7,3,3
160,43888,2272,2,7,3,3
160,43402,2306,2,7,3,3
160,43656,2315,2,7,3,3
160,44187,2310,2,7,3,3
160,43313,2212,2,7,3,3
160,43353,5042,2,7,3,3
160,43983,2298,2,7,3,3
160,43509,2245,2,7,3,3
160,43320,2257,2,7,3,3
160,43646,2248,2,7,3,3
160,44035,2328,2,7,3,3
160,44195,2213,2,7,3,3
180,42926,2334,2,7,3,3
180,42932,2271,2,7,3,3
180,42699,2323,2,7,3,3
180,43188,2297,2,7,3,3
180,43096,2210,2,7,3,3
180,43271,2243,2,7,3,3
180,42899,2290,2,7,3,3
180,42898,2190,2,7,3,3
180,42656,2228,2,7,3,3
180,43269,2259,2,7,3,3
180,42677,2274,2,7,3,3
180,42932,2300,2,7,3,3
180,42711,2338,2,7,3,3
180,42645,2273,2,7,3,3
180,43043,2317,2,7,3,3
180,43141,2293,2,7,3,3
180,43004,2299,2,7,3,3
180,43096,2284,2,7,3,3
180,42816,2228,2,7,3,3
180,42673,2251,2,7,3,3
200,43269,2308,2,7,3,3
200,43532,2313,2,7,3,3
200,43410,2336,2,7,3,3
200,43778,2354,2,7,3,3
200,43205,2298,2,7,3,3
200,43499,2240,2,7,3,3
200,43673,2278,2,7,3,3
200,43562,2296,2,7,3,3
200,43968,2378,2,7,3,3
200,43611,2339,2,7,3,3
200,43833,2232,2,7,3,3
200,43794,2333,2,7,3,3
200,44096,2315,2,7,3,3
200,43717,2314,2,7,3,3
200,43442,2279,2,7,3,3
200,43465,2301,2,7,3,3
200,44289,2312,2,7,3,3
200,44216,2350,2,7,3,3
200,43933,2271,2,7,3,3
200,43852,2251,2,7,3,3
220,43547,2312,2,7,3,3
220,43351,2255,2,7,3,3
220,43195,2230,2,7,3,3
220,43477,2295,2,7,3,3
220,43583,2336,2,7,3,3
220,43593,2362,2,7,3,3
220,42912,2241,2,7,3,3
220,43373,2281,2,7,3,3
220,43275,2248,2,7,3,3
220,42975,2208,2,7,3,3
220,42670,2341,2,7,3,3
220,43388,2326,2,7,3,3
220,42993,2203,2,7,3,3
220,42989,2241,2,7,3,3
220,43065,2198,2,7,3,3
220,43110,2351,2,7,3,3
220,43008,2282,2,7,3,3
220,42993,2213,2,7,3,3
220,43741,2311,2,7,3,3
220,43501,2268,2,7,3,3
240,42911,2278,2,7,3,3
240,42949,2229,2,7,3,3
240,43364,2222,2,7,3,3
240,42814,2302,2,7,3,3
240,42632,2296,2,7,3,3
240,43185,2327,2,7,3,3
240,42805,2334,2,7,3,3
240,42650,2291,2,7,3,3
240,42737,2240,2,7,3,3
240,43401,2224,2,7,3,3
240,42969,2236,2,7,3,3
240,42697,2224,2,7,3,3
240,42669,2240,2,7,3,3
240,42747,2266,2,7,3,3
240,42711,2250,2,7,3,3
240,42592,2242,2,7,3,3
240,42850,2252,2,7,3,3
240,44538,2287,2,7,3,3
240,42755,2324,2,7,3,3
240,45571,2340,2,7,3,3
260,43542,2380,2,7,3,3
260,44315,2333,2,7,3,3
260,43690,2340,2,7,3,3
260,43699,2416,2,7,3,3
260,43479,2330,2,7,3,3
260,43513,2247,2,7,3,3
260,44083,2336,2,7,3,3
260,43910,2346,2,7,3,3
260,44257,2325,2,7,3,3
260,44064,2298,2,7,3,3
260,43862,2361,2,7,3,3
260,43970,2287,2,7,3,3
260,43844,2305,2,7,3,3
260,43985,2353,2,7,3,3
260,44375,2386,2,7,3,3
260,43262,2317,2,7,3,3
260,44108,2311,2,7,3,3
260,44007,2292,2,7,3,3
260,43566,2303,2,7,3,3
