Pallet: "utility", Extrinsic: "as_sub", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
u,extrinsic_time,storage_root_time
0,4865,3674
0,3041,1987
0,2912,1916
0,2886,1843
0,2937,1846
0,2896,1841
0,2860,1861
0,2864,1918
0,2873,1863
0,2900,1793
0,2899,1822
0,2908,1868
0,2870,1823
0,2840,1829
0,2840,1815
0,2901,1923
0,2860,1853
0,2855,1895
0,2844,1835
0,2882,1854
20,2769,1749
20,2882,1837
20,2904,1784
20,2897,1856
20,2865,1794
20,2867,1803
20,2936,1848
20,2851,1865
20,2787,1769
20,2867,1822
20,2820,1873
20,2898,1833
20,2849,1815
20,2916,1863
20,2858,1932
20,2903,1857
20,2813,1889
20,2841,1841
20,2820,1875
20,2791,1825
40,2907,1857
40,2829,1832
40,2836,1825
40,2804,1873
40,2895,1828
40,2841,1836
40,2825,1779
40,2834,1845
40,2859,1819
40,2876,1882
40,2836,1878
40,2831,1823
40,2925,1841
40,2932,1784
40,2858,1879
40,2841,2008
40,2909,1806
40,2878,1928
40,2867,1831
40,2817,1915
60,2832,1842
60,2873,1855
60,2805,1800
60,2821,1841
60,2791,1852
60,2886,1925
60,2826,1822
60,2832,1830
60,2809,1808
60,2817,1816
60,2794,1837
60,2792,1813
60,2813,1795
60,2794,1856
60,2827,1812
60,2894,1908
60,2763,1903
60,2790,1784
60,2717,1933
60,2753,1813
80,2784,1771
80,2753,1856
80,2831,1781
80,2760,1799
80,2790,1802
80,2785,1749
80,2777,1805
80,2763,1768
80,2774,1734
80,2735,1730
80,2707,1738
80,2734,1720
80,2707,1731
80,2751,1784
80,2718,1737
80,2709,1784
80,2721,1855
80,2691,1749
80,2757,1757
80,2779,1788
100,2717,1763
100,2735,1824
100,2745,1733
100,2760,1784
100,2764,1757
100,2783,1754
100,2759,1725
100,2838,1760
100,2795,1727
100,2800,1743
100,2800,1799
100,2775,1755
100,2806,1758
100,2741,1760
100,2744,1723
100,2764,1782
100,2710,1723
100,2714,1730
100,2734,1718
100,2686,1780
120,2771,1811
120,2687,1708
120,2745,1815
120,2724,1728
120,2700,1798
120,2746,1835
120,2776,1790
120,2722,1731
120,2795,1740
120,2776,1797
120,2825,1794
120,2711,1772
120,2732,1740
120,2763,1749
120,2763,1767
120,2773,1776
120,2763,1708
120,2789,1756
120,2803,1757
120,2730,1771
140,2764,1778
140,2791,1705
140,2757,1781
140,2749,1778
140,2764,1731
140,2748,1854
140,2770,1719
140,2792,1793
140,2768,1708
140,2810,1755
140,2775,1761
140,2788,1802
140,2828,1808
140,2780,1723
140,2782,1763
140,2772,1721
140,2690,1804
140,2816,1705
140,2800,1758
