Pallet: "utility", Extrinsic: "batch", Lowest values: [], Highest values: [], Steps: [50], Repeat: 20
c,extrinsic_time,storage_root_time
0,25244,19790
0,15358,15533
0,14888,15038
0,14780,14907
0,14795,14565
0,14797,14620
0,14613,14758
0,14584,14484
0,14432,14458
0,14332,14636
0,14193,14313
0,14707,14578
0,14557,15000
0,14761,14664
0,14802,14414
0,14633,14559
0,14442,14527
0,16448,14685
0,14299,14370
0,14353,14419
20,36682,14493
20,34631,14599
20,34524,14696
20,34726,14646
20,34839,14755
20,34801,14728
20,34836,14688
20,34785,14633
20,34653,14624
20,34743,14510
20,34685,14580
20,48203,14981
20,34825,14749
20,34702,14679
20,34751,14774
20,34974,15024
20,34793,14598
20,34774,14809
20,34705,14683
20,34876,14581
40,60725,14808
40,54527,14488
40,54409,14640
40,54448,14712
40,54441,14549
40,54399,14689
40,54400,14716
40,54695,14925
40,54311,14562
40,54292,14616
40,54369,14531
40,54663,14623
40,54278,14586
40,54504,14592
40,54460,14565
40,54255,14539
40,54329,14462
40,54435,14633
40,54225,14638
40,54618,14811
60,74184,14734
60,74058,14579
60,74148,14543
60,74206,14718
60,74102,14460
60,75751,14658
60,77414,14863
60,73982,14652
60,74116,14658
60,74286,14678
60,74399,14747
60,74057,14862
60,74189,14674
60,74168,14523
60,74197,14701
60,74181,14761
60,74059,14506
60,74097,14703
60,74123,14625
60,74146,14646
80,95604,14635
80,94200,14809
80,94076,14737
80,94029,14859
80,94057,14696
80,94103,14731
80,94161,14628
80,93847,14640
80,94019,14572
80,94202,14578
80,93924,14470
80,96729,14975
80,93855,14616
80,93890,14705
80,94214,14621
80,93947,14540
80,93967,14589
80,94108,14719
80,93928,14611
80,93842,14620
100,114068,14633
100,113795,14570
100,113563,14630
100,113707,14536
100,113594,14664
100,113689,14896
100,113488,14553
100,113530,14767
100,113766,14635
100,113505,14716
100,113639,14556
100,113629,14621
100,113783,14738
100,113819,14645
100,113930,14514
100,113739,14712
100,113749,14663
100,113716,14874
100,113668,14614
100,113472,14864
120,133561,14471
120,133334,14729
120,133307,14584
120,135066,14857
120,133477,14620
120,133258,14540
