Pallet: "balances", Extrinsic: "set_balance", Steps: 100, Repeat: 10
E,U,time
2,500,244000
2,500,109000
2,500,114000
2,500,98000
2,500,110000
2,500,102000
2,500,109000
2,500,110000
2,500,109000
2,500,114000
11,500,110000
11,500,110000
11,500,109000
11,500,123000
11,500,111000
11,500,111000
11,500,110000
11,500,110000
11,500,111000
11,500,111000
20,500,109000
20,500,112000
20,500,108000
20,500,109000
20,500,112000
20,500,119000
20,500,109000
20,500,108000
20,500,112000
20,500,110000
29,500,111000
29,500,108000
29,500,110000
29,500,114000
29,500,110000
29,500,111000
29,500,113000
29,500,111000
29,500,113000
29,500,110000
38,500,108000
38,500,106000
38,500,112000
38,500,110000
38,500,110000
38,500,114000
38,500,109000
38,500,111000
38,500,109000
38,500,111000
47,500,109000
47,500,109000
47,500,105000
47,500,119000
47,500,112000
47,500,103000
47,500,107000
47,500,110000
47,500,108000
47,500,112000
56,500,109000
56,500,110000
56,500,110000
56,500,108000
56,500,109000
56,500,113000
56,500,109000
56,500,103000
56,500,109000
56,500,112000
65,500,110000
65,500,110000
65,500,111000
65,500,120000
65,500,108000
65,500,115000
65,500,111000
65,500,110000
65,500,112000
65,500,108000
74,500,109000
74,500,104000
74,500,104000
74,500,103000
74,500,112000
74,500,104000
74,500,111000
74,500,109000
74,500,113000
74,500,111000
83,500,108000
83,500,114000
83,500,110000
83,500,119000
83,500,108000
83,500,111000
83,500,122000
83,500,111000
83,500,110000
83,500,112000
92,500,110000
92,500,112000
92,500,111000
92,500,104000
92,500,110000
92,500,109000
92,500,110000
92,500,109000
92,500,110000
92,500,111000
101,500,120000
101,500,103000
101,500,112000
101,500,127000
101,500,111000
101,500,111000
101,500,102000
101,500,111000
101,500,110000
101,500,110000
110,500,111000
110,500,112000
110,500,105000
110,500,109000
110,500,109000
110,500,108000
110,500,110000
110,500,109000
110,500,111000
110,500,110000
119,500,110000
119,500,110000
119,500,110000
119,500,111000
119,500,110000
119,500,113000
119,500,112000
119,500,100000
119,500,109000
119,500,104000
128,500,112000
128,500,110000
128,500,111000
128,500,109000
128,500,111000
128,500,110000
128,500,110000
128,500,111000
128,500,111000
128,500,113000
137,500,111000
137,500,113000
137,500,112000
137,500,111000
137,500,111000
137,500,110000
137,500,111000
137,500,110000
137,500,109000
137,500,106000
146,500,113000
146,500,111000
146,500,110000
146,500,111000
146,500,109000
146,500,110000
146,500,111000
146,500,103000
146,500,113000
146,500,112000
155,500,113000
155,500,111000
155,500,109000
155,500,110000
155,500,111000
155,500,112000
155,500,111000
155,500,120000
155,500,103000
155,500,109000
164,500,118000
164,500,113000
164,500,103000
164,500,109000
164,500,108000
164,500,109000
164,500,110000
164,500,110000
164,500,112000
164,500,112000
173,500,107000
173,500,110000
173,500,110000
173,500,110000
173,500,112000
173,500,104000
173,500,110000
173,500,109000
173,500,110000
173,500,111000
182,500,109000
182,500,120000
182,500,110000
182,500,103000
182,500,111000
182,500,111000
182,500,110000
182,500,105000
182,500,110000
182,500,112000
191,500,111000
191,500,111000
191,500,104000
191,500,111000
191,500,111000
191,500,111000
191,500,110000
191,500,110000
191,500,106000
191,500,110000
200,500,109000
200,500,114000
200,500,108000
200,500,103000
200,500,112000
200,500,105000
200,500,106000
200,500,109000
200,500,104000
200,500,112000
209,500,111000
209,500,109000
209,500,109000
209,500,113000
209,500,112000
209,500,112000
209,500,112000
209,500,110000
209,500,110000
209,500,114000
218,500,109000
218,500,110000
218,500,109000
218,500,111000
218,500,112000
218,500,111000
218,500,112000
218,500,112000
218,500,113000
218,500,109000
227,500,111000
227,500,110000
227,500,110000
227,500,112000
227,500,113000
227,500,108000
227,500,100000
227,500,113000
227,500,111000
227,500,110000
236,500,110000
236,500,114000
236,500,110000
236,500,111000
236,500,115000
236,500,111000
236,500,110000
236,500,110000
236,500,112000
236,500,112000
245,500,111000
245,500,113000
245,500,114000
245,500,106000
245,500,110000
245,500,112000
245,500,112000
245,500,110000
245,500,112000
245,500,104000
254,500,110000
254,500,112000
254,500,112000
254,500,110000
254,500,113000
254,500,114000
254,500,108000
254,500,106000
254,500,102000
254,500,110000
263,500,111000
263,500,105000
263,500,113000
263,500,112000
263,500,103000
263,500,112000
263,500,104000
263,500,111000
263,500,111000
263,500,111000
272,500,115000
272,500,110000
272,500,112000
272,500,111000
272,500,110000
272,500,111000
272,500,113000
272,500,103000
272,500,106000
272,500,110000
281,500,110000
281,500,111000
281,500,108000
281,500,112000
281,500,111000
281,500,103000
281,500,105000
281,500,108000
281,500,109000
281,500,112000
290,500,119000
290,500,109000
290,500,108000
290,500,114000
290,500,109000
290,500,110000
290,500,114000
290,500,113000
290,500,111000
290,500,110000
299,500,110000
299,500,108000
299,500,110000
299,500,111000
299,500,111000
299,500,103000
299,500,111000
299,500,111000
299,500,121000
299,500,113000
308,500,113000
308,500,112000
308,500,111000
308,500,111000
308,500,109000
308,500,106000
308,500,106000
308,500,111000
308,500,110000
308,500,108000
317,500,113000
317,500,113000
317,500,104000
317,500,113000
317,500,111000
317,500,114000
317,500,111000
317,500,109000
317,500,111000
317,500,121000
326,500,121000
326,500,112000
326,500,111000
326,500,103000
326,500,109000
326,500,113000
326,500,112000
326,500,114000
326,500,109000
326,500,114000
335,500,112000
335,500,112000
335,500,109000
335,500,115000
335,500,113000
335,500,111000
335,500,112000
335,500,110000
335,500,112000
335,500,111000
344,500,114000
344,500,112000
344,500,112000
344,500,109000
344,500,109000
344,500,114000
344,500,114000
344,500,111000
344,500,111000
344,500,113000
353,500,111000
353,500,105000
353,500,114000
353,500,117000
353,500,112000
353,500,109000
353,500,100000
353,500,112000
353,500,110000
353,500,112000
362,500,112000
362,500,110000
362,500,110000
362,500,112000
362,500,110000
362,500,110000
362,500,114000
362,500,112000
362,500,114000
362,500,114000
371,500,110000
371,500,114000
371,500,100000
371,500,114000
371,500,112000
371,500,114000
371,500,110000
371,500,110000
371,500,125000
371,500,112000
380,500,152000
380,500,112000
380,500,113000
380,500,109000
380,500,107000
380,500,110000
380,500,111000
380,500,111000
380,500,103000
380,500,108000
389,500,110000
389,500,113000
389,500,109000
389,500,113000
389,500,113000
389,500,110000
389,500,111000
389,500,123000
389,500,112000
389,500,114000
398,500,114000
398,500,103000
398,500,110000
398,500,112000
398,500,108000
398,500,111000
398,500,105000
398,500,112000
