Pallet: "balances", Extrinsic: "set_balance_killing", Steps: 100, Repeat: 10
E,U,time
2,500,379000
2,500,331000
2,500,334000
2,500,319000
2,500,320000
2,500,319000
2,500,314000
2,500,326000
2,500,320000
2,500,326000
11,500,334000
11,500,335000
11,500,330000
11,500,317000
11,500,330000
11,500,319000
11,500,400000
11,500,327000
11,500,328000
11,500,321000
20,500,331000
20,500,321000
20,500,326000
20,500,320000
20,500,308000
20,500,315000
20,500,377000
20,500,329000
20,500,325000
20,500,346000
29,500,321000
29,500,345000
29,500,313000
29,500,318000
29,500,319000
29,500,321000
29,500,329000
29,500,316000
29,500,349000
29,500,315000
38,500,328000
38,500,324000
38,500,323000
38,500,328000
38,500,347000
38,500,339000
38,500,306000
38,500,331000
38,500,329000
38,500,317000
47,500,325000
47,500,323000
47,500,350000
47,500,334000
47,500,309000
47,500,321000
47,500,327000
47,500,337000
47,500,313000
47,500,331000
56,500,313000
56,500,320000
56,500,317000
56,500,321000
56,500,313000
56,500,332000
56,500,318000
56,500,322000
56,500,329000
56,500,325000
65,500,338000
65,500,324000
65,500,327000
65,500,361000
65,500,337000
65,500,331000
65,500,330000
65,500,329000
65,500,346000
65,500,331000
74,500,338000
74,500,366000
74,500,319000
74,500,327000
74,500,372000
74,500,322000
74,500,346000
74,500,334000
74,500,334000
74,500,343000
83,500,330000
83,500,326000
83,500,332000
83,500,323000
83,500,341000
83,500,355000
83,500,330000
83,500,335000
83,500,327000
83,500,330000
92,500,329000
92,500,349000
92,500,328000
92,500,328000
92,500,344000
92,500,329000
92,500,324000
92,500,315000
92,500,363000
92,500,319000
101,500,323000
101,500,297000
101,500,329000
101,500,319000
101,500,334000
101,500,356000
101,500,324000
101,500,335000
101,500,333000
101,500,319000
110,500,331000
110,500,330000
110,500,421000
110,500,344000
110,500,351000
110,500,322000
110,500,331000
110,500,354000
110,500,326000
110,500,330000
119,500,344000
119,500,341000
119,500,362000
119,500,326000
119,500,340000
119,500,371000
119,500,324000
119,500,357000
119,500,333000
119,500,330000
128,500,334000
128,500,351000
128,500,336000
128,500,321000
128,500,318000
128,500,325000
128,500,346000
128,500,327000
128,500,331000
128,500,337000
137,500,341000
137,500,351000
137,500,338000
137,500,342000
137,500,363000
137,500,338000
137,500,340000
137,500,329000
137,500,355000
137,500,300000
146,500,335000
146,500,322000
146,500,305000
146,500,334000
146,500,338000
146,500,330000
146,500,347000
146,500,324000
146,500,331000
146,500,338000
155,500,312000
155,500,330000
155,500,314000
155,500,320000
155,500,333000
155,500,319000
155,500,326000
155,500,333000
155,500,310000
155,500,342000
164,500,341000
164,500,330000
164,500,325000
164,500,338000
164,500,390000
164,500,351000
164,500,325000
164,500,334000
164,500,317000
164,500,401000
173,500,319000
173,500,311000
173,500,322000
173,500,324000
173,500,332000
173,500,333000
173,500,335000
173,500,326000
173,500,350000
173,500,334000
182,500,335000
182,500,349000
182,500,337000
182,500,324000
182,500,338000
182,500,334000
182,500,351000
182,500,346000
182,500,315000
182,500,343000
191,500,304000
191,500,341000
191,500,353000
191,500,330000
191,500,350000
191,500,335000
191,500,340000
191,500,325000
191,500,428000
191,500,351000
200,500,372000
200,500,354000
200,500,306000
200,500,348000
200,500,337000
200,500,334000
200,500,333000
200,500,357000
200,500,488000
200,500,340000
209,500,340000
209,500,355000
209,500,334000
209,500,358000
209,500,325000
209,500,322000
209,500,350000
209,500,346000
209,500,336000
209,500,328000
218,500,334000
218,500,349000
218,500,354000
218,500,313000
218,500,324000
218,500,336000
218,500,342000
218,500,328000
218,500,309000
218,500,322000
227,500,326000
227,500,362000
227,500,329000
227,500,315000
227,500,337000
227,500,373000
227,500,323000
227,500,323000
227,500,313000
227,500,334000
236,500,335000
236,500,324000
236,500,319000
236,500,321000
236,500,344000
236,500,316000
236,500,335000
236,500,331000
236,500,344000
236,500,322000
245,500,326000
245,500,337000
245,500,326000
245,500,348000
245,500,330000
245,500,339000
245,500,346000
245,500,321000
245,500,319000
245,500,334000
254,500,336000
254,500,326000
254,500,332000
254,500,326000
254,500,326000
254,500,325000
254,500,325000
254,500,338000
254,500,316000
