Pallet: "balances", Extrinsic: "transfer_best_case", Steps: 100, Repeat: 10
E,U,time
2,500,408000
2,500,354000
2,500,348000
2,500,341000
2,500,345000
2,500,351000
2,500,346000
2,500,346000
2,500,354000
2,500,352000
11,500,368000
11,500,348000
11,500,352000
11,500,356000
11,500,349000
11,500,346000
11,500,357000
11,500,365000
11,500,378000
11,500,361000
20,500,359000
20,500,349000
20,500,353000
20,500,374000
20,500,374000
20,500,348000
20,500,373000
20,500,342000
20,500,380000
20,500,374000
29,500,341000
29,500,329000
29,500,367000
29,500,379000
29,500,354000
29,500,349000
29,500,344000
29,500,347000
29,500,384000
29,500,349000
38,500,381000
38,500,343000
38,500,349000
38,500,342000
38,500,358000
38,500,356000
38,500,350000
38,500,368000
38,500,352000
38,500,352000
47,500,350000
47,500,356000
47,500,372000
47,500,363000
47,500,363000
47,500,364000
47,500,375000
47,500,353000
47,500,356000
47,500,373000
56,500,360000
56,500,365000
56,500,352000
56,500,362000
56,500,351000
56,500,375000
56,500,361000
56,500,343000
56,500,358000
56,500,355000
65,500,395000
65,500,362000
65,500,421000
65,500,363000
65,500,362000
65,500,348000
65,500,345000
65,500,352000
65,500,351000
65,500,379000
74,500,351000
74,500,356000
74,500,358000
74,500,357000
74,500,359000
74,500,380000
74,500,357000
74,500,366000
74,500,371000
74,500,343000
83,500,342000
83,500,365000
83,500,350000
83,500,348000
83,500,345000
83,500,371000
83,500,359000
83,500,364000
83,500,365000
83,500,357000
92,500,365000
92,500,351000
92,500,375000
92,500,354000
92,500,406000
92,500,356000
92,500,382000
92,500,349000
92,500,380000
92,500,352000
101,500,372000
101,500,357000
101,500,352000
101,500,355000
101,500,357000
101,500,370000
101,500,357000
101,500,350000
101,500,356000
101,500,434000
110,500,356000
110,500,353000
110,500,347000
110,500,398000
110,500,348000
110,500,342000
110,500,362000
110,500,368000
110,500,373000
110,500,357000
119,500,371000
119,500,373000
119,500,367000
119,500,387000
119,500,386000
119,500,379000
119,500,372000
119,500,328000
119,500,371000
119,500,350000
128,500,357000
128,500,368000
128,500,372000
128,500,356000
128,500,386000
128,500,365000
128,500,371000
128,500,355000
128,500,354000
128,500,375000
137,500,396000
137,500,357000
137,500,356000
137,500,372000
137,500,365000
137,500,361000
137,500,356000
137,500,365000
137,500,355000
137,500,366000
146,500,366000
146,500,366000
146,500,390000
