Pallet: "balances", Extrinsic: "transfer", Steps: 100, Repeat: 10
E,U,time
2,500,743000
2,500,593000
2,500,646000
2,500,609000
2,500,594000
2,500,656000
2,500,624000
2,500,669000
2,500,588000
2,500,609000
11,500,603000
11,500,679000
11,500,704000
11,500,634000
11,500,626000
11,500,624000
11,500,625000
11,500,603000
11,500,642000
11,500,741000
20,500,631000
20,500,617000
20,500,604000
20,500,607000
20,500,602000
20,500,614000
20,500,604000
20,500,592000
20,500,630000
20,500,591000
29,500,596000
29,500,722000
29,500,595000
29,500,591000
29,500,579000
29,500,590000
29,500,599000
29,500,588000
29,500,596000
29,500,588000
38,500,613000
38,500,605000
38,500,606000
38,500,616000
38,500,575000
38,500,602000
38,500,654000
38,500,631000
38,500,585000
38,500,613000
47,500,601000
47,500,608000
47,500,626000
47,500,610000
47,500,675000
47,500,605000
47,500,607000
47,500,613000
47,500,622000
47,500,599000
56,500,585000
56,500,586000
56,500,589000
56,500,592000
56,500,595000
56,500,580000
56,500,580000
56,500,583000
56,500,592000
56,500,577000
65,500,598000
65,500,628000
65,500,590000
65,500,583000
65,500,600000
65,500,598000
65,500,602000
65,500,596000
65,500,605000
65,500,598000
74,500,683000
74,500,627000
74,500,585000
74,500,681000
74,500,607000
74,500,1178000
74,500,593000
74,500,585000
74,500,591000
74,500,586000
83,500,597000
83,500,578000
83,500,592000
83,500,589000
83,500,587000
83,500,587000
83,500,584000
83,500,599000
83,500,610000
83,500,595000
92,500,599000
92,500,592000
92,500,593000
92,500,582000
92,500,586000
92,500,587000
92,500,632000
92,500,650000
92,500,627000
92,500,586000
101,500,586000
101,500,590000
101,500,578000
101,500,584000
101,500,602000
101,500,784000
101,500,598000
101,500,582000
101,500,591000
101,500,641000
110,500,613000
110,500,607000
110,500,623000
110,500,638000
110,500,604000
110,500,618000
110,500,612000
110,500,655000
110,500,606000
110,500,616000
119,500,587000
119,500,577000
119,500,592000
119,500,597000
119,500,583000
119,500,591000
119,500,603000
119,500,580000
119,500,635000
119,500,606000
128,500,618000
128,500,601000
128,500,597000
128,500,615000
128,500,597000
128,500,590000
128,500,592000
128,500,635000
128,500,604000
128,500,598000
137,500,593000
137,500,601000
137,500,603000
137,500,615000
137,500,603000
137,500,592000
137,500,604000
137,500,596000
137,500,599000
137,500,604000
146,500,613000
146,500,603000
146,500,617000
146,500,611000
146,500,622000
146,500,644000
146,500,614000
146,500,617000
146,500,622000
146,500,675000
155,500,723000
155,500,595000
155,500,600000
155,500,600000
155,500,596000
155,500,592000
155,500,607000
155,500,625000
155,500,594000
155,500,603000
164,500,599000
164,500,567000
164,500,608000
164,500,597000
164,500,669000
164,500,602000
164,500,596000
164,500,620000
164,500,620000
164,500,594000
173,500,628000
173,500,603000
173,500,596000
173,500,581000
173,500,604000
173,500,587000
173,500,664000
173,500,595000
173,500,610000
173,500,708000
182,500,671000
182,500,605000
182,500,681000
182,500,615000
182,500,618000
182,500,602000
182,500,721000
182,500,666000
182,500,600000
182,500,635000
191,500,638000
191,500,612000
191,500,604000
191,500,600000
191,500,715000
191,500,633000
191,500,664000
191,500,598000
191,500,612000
191,500,953000
200,500,604000
200,500,620000
200,500,607000
200,500,606000
200,500,609000
200,500,599000
200,500,604000
200,500,669000
200,500,603000
200,500,604000
209,500,624000
209,500,618000
209,500,620000
209,500,629000
209,500,612000
209,500,615000
209,500,615000
209,500,624000
209,500,623000
209,500,734000
218,500,603000
218,500,615000
218,500,604000
218,500,600000
218,500,612000
218,500,627000
218,500,607000
218,500,605000
218,500,602000
218,500,595000
227,500,665000
227,500,609000
227,500,617000
227,500,621000
227,500,623000
227,500,620000
227,500,621000
227,500,617000
227,500,629000
227,500,612000
236,500,602000
236,500,601000
236,500,658000
236,500,670000
236,500,596000
236,500,616000
236,500,600000
236,500,591000
236,500,610000
236,500,606000
245,500,635000
245,500,612000
245,500,619000
245,500,631000
245,500,617000
245,500,626000
245,500,620000
245,500,658000
245,500,613000
245,500,610000
254,500,643000
254,500,628000
254,500,622000
254,500,644000
254,500,609000
254,500,633000
254,500,714000
254,500,663000
254,500,593000
254,500,760000
263,500,686000
263,500,677000
263,500,612000
263,500,831000
263,500,610000
263,500,606000
263,500,586000
263,500,665000
263,500,589000
263,500,592000
272,500,574000
272,500,620000
272,500,643000
272,500,1034000
272,500,641000
272,500,589000
272,500,599000
272,500,757000
272,500,575000
272,500,673000
281,500,613000
281,500,606000
281,500,600000
281,500,619000
281,500,615000
281,500,592000
281,500,608000
281,500,602000
281,500,608000
281,500,602000
290,500,605000
290,500,594000
290,500,599000
290,500,597000
290,500,601000
290,500,635000
290,500,575000
290,500,604000
290,500,604000
290,500,588000
299,500,590000
299,500,621000
299,500,608000
299,500,668000
299,500,602000
299,500,673000
299,500,614000
299,500,621000
299,500,606000
299,500,612000
308,500,596000
308,500,589000
308,500,607000
308,500,597000
308,500,750000
308,500,581000
308,500,597000
308,500,587000
308,500,595000
308,500,592000
317,500,612000
317,500,609000
317,500,607000
317,500,614000
317,500,610000
317,500,604000
317,500,606000
317,500,605000
317,500,645000
317,500,612000
326,500,600000
326,500,589000
326,500,598000
326,500,596000
326,500,583000
326,500,601000
326,500,604000
326,500,604000
326,500,642000
326,500,594000
335,500,588000
335,500,596000
335,500,607000
335,500,583000
335,500,588000
335,500,590000
335,500,591000
335,500,606000
335,500,594000
335,500,598000
344,500,586000
344,500,620000
344,500,649000
344,500,839000
344,500,592000
344,500,594000
344,500,586000
344,500,599000
344,500,595000
344,500,608000
353,500,582000
353,500,598000
353,500,593000
353,500,607000
353,500,617000
353,500,581000
353,500,595000
353,500,601000
353,500,603000
353,500,609000
362,500,612000
362,500,645000
362,500,650000
362,500,603000
362,500,604000
362,500,597000
362,500,588000
362,500,607000
362,500,588000
362,500,605000
371,500,594000
371,500,596000
371,500,593000
371,500,595000
371,500,604000
371,500,606000
371,500,633000
371,500,609000
371,500,635000
371,500,596000
380,500,618000
380,500,596000
380,500,612000
380,500,607000
380,500,594000
380,500,652000
380,500,589000
380,500,589000
380,500,611000
380,500,594000
389,500,603000
389,500,592000
389,500,577000
389,500,601000
389,500,585000
389,500,597000
389,500,612000
389,500,586000
389,500,584000
389,500,603000
398,500,634000
398,500,601000
398,500,627000
398,500,609000
398,500,603000
398,500,611000
398,500,606000
398,500,643000
398,500,603000
398,500,617000
407,500,596000
407,500,613000
407,500,606000
407,500,603000
407,500,589000
407,500,750000
407,500,693000
407,500,694000
407,500,624000
407,500,605000
416,500,600000
416,500,610000
416,500,632000
416,500,612000
416,500,582000
416,500,1045000
416,500,579000
416,500,603000
416,500,628000
416,500,601000
425,500,592000
425,500,590000
425,500,608000
425,500,643000
425,500,606000
425,500,611000
425,500,609000
425,500,598000
425,500,609000
425,500,612000
434,500,594000
434,500,589000
434,500,623000
434,500,606000
434,500,595000
434,500,608000
434,500,616000
434,500,599000
434,500,605000
434,500,830000
443,500,605000
443,500,602000
443,500,612000
443,500,602000
443,500,598000
443,500,606000
443,500,661000
443,500,608000
443,500,605000
443,500,650000
452,500,607000
452,500,612000
452,500,607000
452,500,602000
452,500,612000
452,500,594000
452,500,607000
452,500,604000
452,500,602000
452,500,604000
461,500,666000
461,500,602000
461,500,615000
461,500,605000
461,500,636000
461,500,606000
461,500,611000
461,500,612000
461,500,652000
461,500,674000
470,500,611000
470,500,598000
470,500,609000
470,500,604000
470,500,610000
470,500,602000
470,500,602000
470,500,625000
470,500,604000
470,500,608000
479,500,679000
479,500,666000
479,500,610000
479,500,590000
479,500,668000
479,500,611000
479,500,593000
479,500,601000
479,500,625000
479,500,612000
488,500,600000
488,500,587000
488,500,606000
488,500,658000
488,500,607000
488,500,594000
488,500,892000
488,500,611000
488,500,612000
488,500,753000
497,500,591000
497,500,635000
