Pallet: "pallet-identity", Extrinsic: "add_registrar", Steps: 10, Repeat: 100
R,time
1,427000
1,281000
1,392000
1,175000
1,267000
1,271000
1,277000
1,256000
1,243000
1,269000
1,273000
1,274000
1,311000
1,257000
1,289000
1,290000
1,290000
1,293000
1,299000
1,309000
1,292000
1,293000
1,296000
1,289000
1,298000
1,308000
1,316000
1,310000
1,310000
1,318000
1,294000
1,331000
1,291000
1,270000
1,315000
1,297000
1,268000
1,301000
1,287000
1,294000
1,292000
1,298000
1,295000
1,285000
1,292000
1,273000
1,280000
1,277000
1,251000
1,295000
1,292000
1,301000
1,292000
1,299000
1,298000
1,297000
1,293000
1,281000
1,269000
1,289000
1,288000
1,287000
1,288000
1,298000
1,294000
1,302000
1,297000
1,317000
1,300000
1,288000
1,300000
1,304000
1,298000
1,297000
1,299000
1,288000
1,310000
1,353000
1,291000
1,294000
1,274000
1,301000
1,300000
1,278000
1,294000
1,297000
1,284000
1,302000
1,315000
1,283000
1,312000
1,302000
1,316000
1,307000
1,282000
1,289000
1,266000
1,337000
1,295000
1,317000
2,305000
2,304000
2,299000
2,303000
2,319000
2,311000
2,292000
2,309000
2,301000
2,283000
2,300000
2,299000
2,286000
2,294000
2,304000
2,306000
2,296000
2,287000
2,318000
2,300000
2,305000
2,295000
2,290000
2,301000
2,294000
2,311000
2,342000
2,295000
2,314000
2,318000
2,309000
2,315000
2,291000
2,295000
2,328000
2,340000
2,306000
2,309000
2,309000
2,297000
2,281000
2,289000
2,289000
2,321000
2,307000
2,309000
2,310000
2,315000
2,353000
2,298000
2,297000
2,277000
2,280000
2,310000
2,290000
2,298000
2,303000
2,295000
2,298000
2,306000
2,299000
2,290000
2,320000
2,297000
2,321000
2,304000
2,291000
2,306000
2,301000
2,286000
2,316000
2,295000
2,310000
2,294000
2,271000
2,297000
2,291000
2,303000
2,295000
2,291000
2,286000
2,292000
2,289000
2,313000
2,300000
2,286000
2,279000
2,293000
2,279000
2,302000
2,325000
2,326000
2,322000
2,295000
2,297000
2,299000
2,310000
2,299000
2,304000
2,306000
3,317000
3,291000
3,316000
3,308000
3,321000
3,304000
3,294000
3,329000
3,270000
3,295000
3,305000
3,293000
3,299000
3,322000
3,324000
3,308000
3,352000
3,294000
3,396000
3,305000
3,301000
3,296000
3,306000
3,277000
3,315000
3,307000
3,306000
3,313000
3,309000
3,326000
3,589000
3,330000
3,305000
3,292000
3,314000
3,432000
3,311000
3,348000
3,329000
3,299000
3,295000
3,289000
3,348000
3,292000
3,326000
3,301000
3,322000
3,339000
3,322000
3,306000
3,355000
3,303000
3,325000
3,303000
3,317000
3,297000
3,316000
3,301000
3,309000
3,300000
3,445000
3,463000
3,288000
3,330000
3,330000
3,303000
3,372000
3,302000
3,310000
3,299000
3,376000
3,312000
3,285000
3,326000
3,298000
3,309000
3,301000
3,290000
3,310000
3,294000
3,296000
3,298000
3,309000
3,303000
3,308000
3,595000
3,274000
3,300000
3,292000
3,290000
3,304000
3,308000
3,305000
3,307000
3,300000
3,290000
3,299000
3,314000
3,299000
3,294000
4,311000
4,319000
4,318000
4,320000
4,315000
4,306000
4,308000
4,338000
4,314000
4,307000
4,321000
4,318000
4,338000
4,300000
4,358000
4,292000
4,304000
4,304000
4,314000
4,305000
4,317000
4,312000
4,287000
4,305000
4,302000
4,340000
4,308000
4,298000
4,305000
4,302000
4,299000
4,304000
4,329000
4,321000
4,313000
4,310000
4,317000
4,318000
4,307000
4,309000
4,310000
4,313000
4,308000
4,340000
4,298000
4,316000
4,369000
4,297000
4,318000
4,314000
4,317000
4,308000
4,332000
4,322000
4,431000
4,300000
4,310000
4,299000
4,309000
4,300000
4,299000
4,294000
4,321000
4,310000
4,320000
4,303000
4,312000
4,314000
4,320000
4,299000
4,301000
4,323000
4,307000
4,312000
4,307000
4,314000
4,312000
4,307000
4,304000
4,318000
4,298000
4,319000
4,309000
4,310000
4,316000
4,314000
4,309000
4,314000
4,295000
4,295000
4,304000
4,295000
4,304000
4,302000
4,315000
4,325000
4,318000
4,313000
4,295000
4,318000
5,312000
5,323000
5,302000
5,311000
5,310000
5,318000
5,317000
5,303000
5,315000
5,304000
5,312000
5,307000
5,290000
5,303000
5,313000
5,309000
5,307000
5,291000
5,307000
5,308000
5,322000
5,296000
5,332000
5,310000
5,297000
5,286000
5,299000
5,284000
5,301000
5,338000
5,304000
5,312000
5,289000
5,295000
5,283000
5,340000
5,316000
5,308000
5,321000
5,328000
5,474000
5,307000
5,309000
5,329000
5,309000
5,301000
5,302000
5,351000
5,309000
5,316000
5,306000
5,380000
5,372000
5,303000
5,281000
5,298000
5,313000
5,303000
5,310000
5,309000
5,307000
5,305000
5,305000
5,329000
5,304000
5,311000
5,343000
5,332000
5,319000
5,303000
5,296000
5,345000
5,322000
