Pallet: "pallet-identity", Extrinsic: "cancel_request", Steps: 10, Repeat: 100
R,X,time
1,50,493000
1,50,459000
1,50,482000
1,50,467000
1,50,469000
1,50,464000
1,50,467000
1,50,469000
1,50,473000
1,50,471000
1,50,469000
1,50,466000
1,50,469000
1,50,468000
1,50,465000
1,50,480000
1,50,462000
1,50,469000
1,50,477000
1,50,465000
1,50,472000
1,50,484000
1,50,467000
1,50,462000
1,50,479000
1,50,468000
1,50,480000
1,50,473000
1,50,455000
1,50,483000
1,50,475000
1,50,480000
1,50,466000
1,50,473000
1,50,463000
1,50,467000
1,50,470000
1,50,469000
1,50,468000
1,50,477000
1,50,477000
1,50,464000
1,50,476000
1,50,477000
1,50,469000
1,50,473000
1,50,477000
1,50,474000
1,50,472000
1,50,470000
1,50,476000
1,50,544000
1,50,478000
1,50,484000
1,50,468000
1,50,471000
1,50,468000
1,50,470000
1,50,475000
1,50,476000
1,50,466000
1,50,471000
1,50,472000
1,50,483000
1,50,472000
1,50,478000
1,50,472000
1,50,481000
1,50,476000
1,50,469000
1,50,505000
1,50,479000
1,50,467000
1,50,466000
1,50,471000
1,50,472000
1,50,478000
1,50,474000
1,50,470000
1,50,517000
1,50,481000
1,50,479000
1,50,460000
1,50,479000
1,50,472000
1,50,471000
1,50,480000
1,50,465000
1,50,486000
1,50,481000
1,50,471000
1,50,468000
1,50,506000
1,50,479000
1,50,491000
1,50,480000
1,50,465000
1,50,470000
1,50,485000
1,50,466000
2,50,475000
2,50,476000
2,50,477000
2,50,480000
2,50,470000
2,50,481000
2,50,494000
2,50,481000
2,50,496000
2,50,481000
2,50,474000
2,50,483000
2,50,464000
2,50,471000
2,50,479000
2,50,480000
2,50,482000
2,50,481000
2,50,471000
2,50,512000
2,50,472000
2,50,492000
2,50,483000
2,50,472000
2,50,617000
2,50,527000
2,50,493000
2,50,479000
2,50,513000
2,50,495000
2,50,477000
2,50,488000
2,50,468000
2,50,484000
2,50,475000
2,50,501000
2,50,482000
2,50,485000
2,50,477000
2,50,473000
2,50,471000
2,50,524000
2,50,477000
2,50,481000
2,50,480000
2,50,468000
2,50,512000
2,50,512000
2,50,527000
2,50,465000
2,50,473000
2,50,483000
2,50,479000
2,50,471000
2,50,512000
2,50,486000
2,50,484000
2,50,476000
2,50,454000
2,50,471000
2,50,493000
2,50,476000
2,50,494000
2,50,480000
2,50,475000
2,50,475000
2,50,491000
2,50,481000
2,50,496000
2,50,505000
2,50,481000
2,50,497000
2,50,480000
2,50,480000
2,50,470000
2,50,489000
2,50,501000
2,50,489000
2,50,482000
2,50,493000
2,50,470000
2,50,485000
2,50,525000
2,50,469000
2,50,483000
2,50,477000
2,50,468000
2,50,530000
2,50,495000
2,50,480000
2,50,467000
2,50,537000
2,50,466000
2,50,495000
2,50,482000
2,50,476000
2,50,554000
2,50,481000
2,50,475000
2,50,476000
3,50,567000
3,50,476000
3,50,483000
3,50,507000
3,50,456000
3,50,529000
3,50,471000
3,50,537000
3,50,473000
3,50,464000
3,50,458000
3,50,484000
3,50,481000
3,50,488000
3,50,484000
3,50,478000
3,50,464000
3,50,479000
3,50,472000
3,50,475000
3,50,466000
3,50,488000
3,50,466000
3,50,465000
3,50,485000
3,50,478000
3,50,486000
3,50,470000
3,50,470000
3,50,486000
3,50,477000
3,50,480000
3,50,478000
3,50,468000
3,50,471000
3,50,475000
3,50,442000
3,50,477000
3,50,472000
