Pallet: "pallet-identity", Extrinsic: "clear_identity", Steps: 10, Repeat: 100
R,S,X,time
1,50,50,760000
1,50,50,662000
1,50,50,653000
1,50,50,705000
1,50,50,649000
1,50,50,664000
1,50,50,647000
1,50,50,726000
1,50,50,653000
1,50,50,719000
1,50,50,672000
1,50,50,657000
1,50,50,643000
1,50,50,797000
1,50,50,650000
1,50,50,635000
1,50,50,643000
1,50,50,646000
1,50,50,663000
1,50,50,769000
1,50,50,649000
1,50,50,655000
1,50,50,654000
1,50,50,763000
1,50,50,648000
1,50,50,707000
1,50,50,649000
1,50,50,650000
1,50,50,716000
1,50,50,652000
1,50,50,659000
1,50,50,821000
1,50,50,663000
1,50,50,689000
1,50,50,652000
1,50,50,656000
1,50,50,644000
1,50,50,652000
1,50,50,657000
1,50,50,664000
1,50,50,646000
1,50,50,664000
1,50,50,662000
1,50,50,661000
1,50,50,725000
1,50,50,683000
1,50,50,654000
1,50,50,652000
1,50,50,715000
1,50,50,664000
1,50,50,654000
1,50,50,656000
1,50,50,714000
1,50,50,658000
1,50,50,641000
1,50,50,701000
1,50,50,652000
1,50,50,655000
1,50,50,664000
1,50,50,662000
1,50,50,650000
1,50,50,652000
1,50,50,652000
1,50,50,649000
1,50,50,653000
1,50,50,718000
1,50,50,649000
1,50,50,641000
1,50,50,700000
1,50,50,653000
1,50,50,645000
1,50,50,665000
1,50,50,659000
1,50,50,661000
1,50,50,651000
1,50,50,664000
1,50,50,656000
1,50,50,652000
1,50,50,726000
1,50,50,640000
1,50,50,677000
1,50,50,727000
1,50,50,654000
1,50,50,656000
1,50,50,657000
1,50,50,640000
1,50,50,728000
1,50,50,670000
1,50,50,740000
1,50,50,666000
1,50,50,654000
1,50,50,877000
1,50,50,648000
1,50,50,661000
1,50,50,679000
1,50,50,649000
1,50,50,685000
1,50,50,675000
1,50,50,654000
1,50,50,662000
2,50,50,651000
2,50,50,659000
2,50,50,710000
2,50,50,651000
2,50,50,656000
2,50,50,678000
2,50,50,651000
2,50,50,660000
2,50,50,642000
2,50,50,690000
2,50,50,669000
2,50,50,711000
2,50,50,679000
2,50,50,714000
2,50,50,660000
2,50,50,644000
2,50,50,701000
2,50,50,664000
2,50,50,715000
2,50,50,671000
2,50,50,659000
2,50,50,750000
2,50,50,725000
2,50,50,723000
2,50,50,665000
2,50,50,739000
2,50,50,664000
2,50,50,724000
2,50,50,661000
2,50,50,760000
2,50,50,676000
2,50,50,670000
