Pallet: "pallet-identity", Extrinsic: "provide_judgement", Steps: 10, Repeat: 100
R,X,time
1,50,520000
1,50,472000
1,50,504000
1,50,477000
1,50,490000
1,50,470000
1,50,466000
1,50,654000
1,50,482000
1,50,464000
1,50,467000
1,50,546000
1,50,472000
1,50,468000
1,50,465000
1,50,508000
1,50,467000
1,50,469000
1,50,477000
1,50,472000
1,50,472000
1,50,462000
1,50,490000
1,50,472000
1,50,513000
1,50,473000
1,50,470000
1,50,478000
1,50,515000
1,50,480000
1,50,465000
1,50,472000
1,50,494000
1,50,478000
1,50,515000
1,50,466000
1,50,473000
1,50,474000
1,50,524000
1,50,476000
1,50,507000
1,50,472000
1,50,476000
1,50,468000
1,50,517000
1,50,468000
1,50,466000
1,50,499000
1,50,546000
1,50,461000
1,50,475000
1,50,471000
1,50,478000
1,50,499000
1,50,479000
1,50,499000
1,50,481000
1,50,475000
1,50,469000
1,50,472000
1,50,467000
1,50,467000
1,50,486000
1,50,459000
1,50,473000
1,50,474000
1,50,517000
1,50,475000
1,50,475000
1,50,477000
1,50,479000
1,50,473000
1,50,479000
1,50,481000
1,50,516000
1,50,476000
1,50,473000
1,50,470000
1,50,470000
1,50,467000
1,50,479000
1,50,479000
1,50,500000
1,50,462000
1,50,512000
1,50,514000
1,50,471000
1,50,481000
1,50,472000
1,50,470000
1,50,505000
1,50,477000
1,50,478000
1,50,474000
1,50,477000
1,50,475000
1,50,472000
1,50,480000
1,50,471000
1,50,500000
5,50,473000
5,50,483000
5,50,480000
5,50,479000
5,50,486000
5,50,482000
5,50,481000
5,50,480000
5,50,463000
5,50,492000
5,50,478000
5,50,523000
5,50,483000
5,50,480000
5,50,475000
5,50,486000
5,50,484000
5,50,488000
5,50,491000
5,50,478000
5,50,470000
5,50,490000
5,50,476000
5,50,485000
5,50,478000
5,50,479000
5,50,478000
5,50,473000
5,50,478000
5,50,480000
5,50,515000
5,50,485000
5,50,500000
5,50,512000
5,50,506000
5,50,629000
5,50,524000
5,50,481000
5,50,485000
5,50,479000
5,50,490000
5,50,470000
5,50,523000
5,50,521000
5,50,574000
5,50,532000
5,50,490000
5,50,481000
5,50,480000
5,50,481000
5,50,523000
5,50,479000
5,50,623000
5,50,610000
5,50,475000
5,50,609000
5,50,470000
5,50,482000
5,50,470000
5,50,523000
5,50,469000
5,50,474000
5,50,479000
5,50,487000
5,50,494000
5,50,512000
5,50,586000
5,50,481000
5,50,478000
5,50,523000
5,50,484000
5,50,528000
5,50,488000
5,50,486000
5,50,488000
5,50,481000
5,50,483000
5,50,484000
5,50,477000
5,50,483000
5,50,492000
5,50,483000
5,50,525000
5,50,480000
5,50,471000
5,50,478000
5,50,488000
5,50,489000
5,50,486000
5,50,488000
5,50,510000
5,50,490000
5,50,478000
5,50,487000
5,50,483000
5,50,462000
5,50,477000
5,50,474000
5,50,485000
5,50,520000
9,50,475000
9,50,540000
9,50,493000
9,50,529000
9,50,454000
9,50,492000
9,50,476000
9,50,486000
9,50,487000
9,50,489000
9,50,535000
9,50,538000
9,50,531000
9,50,572000
9,50,534000
9,50,494000
9,50,465000
9,50,551000
9,50,494000
9,50,514000
9,50,483000
9,50,511000
9,50,489000
9,50,533000
9,50,479000
9,50,492000
9,50,487000
9,50,468000
9,50,568000
9,50,530000
9,50,484000
9,50,529000
9,50,485000
9,50,523000
9,50,485000
9,50,492000
9,50,486000
9,50,604000
9,50,489000
9,50,529000
9,50,488000
9,50,498000
9,50,491000
9,50,570000
9,50,533000
9,50,589000
9,50,491000
9,50,481000
9,50,510000
9,50,483000
9,50,484000
9,50,472000
9,50,474000
9,50,488000
9,50,489000
9,50,513000
9,50,468000
9,50,486000
9,50,532000
9,50,549000
