Pallet: "pallet-identity", Extrinsic: "request_judgement", Steps: 10, Repeat: 100
R,X,time
1,50,638000
1,50,524000
1,50,519000
1,50,522000
1,50,521000
1,50,531000
1,50,514000
1,50,529000
1,50,539000
1,50,519000
1,50,526000
1,50,585000
1,50,523000
1,50,515000
1,50,532000
1,50,538000
1,50,578000
1,50,514000
1,50,516000
1,50,573000
1,50,528000
1,50,521000
1,50,522000
1,50,518000
1,50,514000
1,50,519000
1,50,519000
1,50,523000
1,50,565000
1,50,514000
1,50,518000
1,50,522000
1,50,525000
1,50,519000
1,50,515000
1,50,522000
1,50,526000
1,50,524000
1,50,519000
1,50,549000
1,50,557000
1,50,577000
1,50,514000
1,50,495000
1,50,579000
1,50,534000
1,50,533000
1,50,531000
1,50,526000
1,50,537000
1,50,537000
1,50,523000
1,50,526000
1,50,540000
1,50,516000
1,50,535000
1,50,523000
1,50,517000
1,50,536000
1,50,526000
1,50,522000
1,50,517000
1,50,537000
1,50,522000
1,50,521000
1,50,521000
1,50,528000
1,50,511000
1,50,522000
1,50,525000
1,50,517000
1,50,521000
1,50,516000
1,50,520000
1,50,522000
1,50,538000
1,50,509000
1,50,571000
1,50,552000
1,50,534000
1,50,561000
1,50,593000
1,50,525000
1,50,542000
1,50,543000
1,50,566000
1,50,583000
1,50,517000
1,50,574000
1,50,512000
1,50,533000
1,50,517000
1,50,516000
1,50,518000
1,50,517000
1,50,516000
1,50,539000
1,50,508000
1,50,536000
1,50,527000
2,50,538000
2,50,509000
2,50,577000
2,50,540000
2,50,531000
2,50,506000
2,50,521000
2,50,513000
2,50,511000
2,50,524000
2,50,521000
2,50,524000
2,50,530000
2,50,528000
2,50,522000
2,50,532000
2,50,572000
2,50,531000
2,50,514000
2,50,527000
2,50,513000
2,50,526000
2,50,524000
2,50,546000
2,50,519000
2,50,517000
2,50,517000
2,50,542000
2,50,539000
2,50,519000
2,50,529000
2,50,534000
2,50,534000
2,50,526000
2,50,527000
2,50,533000
2,50,511000
2,50,524000
