Pallet: "pallet-identity", Extrinsic: "set_fee", Steps: 10, Repeat: 100
R,time
1,238000
1,222000
1,233000
1,258000
1,231000
1,257000
1,235000
1,294000
1,241000
1,241000
1,240000
1,246000
1,239000
1,245000
1,240000
1,242000
1,244000
1,241000
1,316000
1,244000
1,245000
1,265000
1,242000
1,239000
1,267000
1,229000
1,258000
1,238000
1,243000
1,258000
1,243000
1,261000
1,244000
1,235000
1,246000
1,251000
1,247000
1,261000
1,244000
1,203000
1,240000
1,262000
1,246000
1,235000
1,246000
1,248000
1,256000
1,235000
1,248000
1,249000
1,255000
1,241000
1,231000
1,240000
1,257000
1,249000
1,385000
1,248000
1,254000
1,221000
1,240000
1,384000
1,242000
1,258000
1,236000
1,240000
1,253000
1,237000
1,224000
1,252000
1,278000
1,278000
1,253000
1,238000
1,228000
1,244000
1,257000
1,262000
1,244000
1,228000
1,286000
1,276000
1,203000
1,261000
1,230000
1,263000
1,227000
1,240000
1,259000
1,240000
1,255000
1,279000
1,248000
1,253000
1,249000
1,234000
1,244000
1,236000
1,241000
1,246000
5,338000
5,311000
5,339000
5,246000
5,247000
5,272000
5,268000
5,259000
5,246000
5,238000
5,269000
5,267000
5,267000
5,348000
5,247000
5,251000
5,312000
5,549000
5,278000
5,262000
5,293000
5,310000
5,262000
5,278000
5,241000
5,264000
5,296000
5,220000
5,247000
5,291000
5,271000
5,258000
5,293000
5,277000
5,273000
5,241000
5,276000
5,255000
5,268000
5,283000
5,284000
5,284000
5,294000
5,270000
5,275000
5,251000
5,227000
5,240000
5,220000
5,263000
5,224000
5,356000
5,237000
5,234000
5,456000
5,237000
5,274000
5,237000
5,252000
5,251000
5,258000
5,264000
5,244000
5,300000
5,248000
5,434000
5,232000
5,238000
5,239000
5,248000
5,242000
5,227000
5,277000
5,252000
5,246000
5,246000
5,252000
5,235000
5,235000
5,278000
5,255000
5,262000
5,262000
5,236000
5,241000
5,225000
5,269000
5,302000
5,223000
5,263000
5,287000
5,242000
5,244000
5,250000
5,259000
5,244000
5,264000
5,249000
5,233000
5,267000
9,227000
9,265000
9,273000
9,275000
9,301000
9,372000
9,258000
9,357000
9,256000
9,317000
9,250000
9,327000
9,273000
9,404000
9,250000
9,271000
9,261000
9,250000
9,268000
9,263000
9,246000
9,296000
9,248000
9,290000
9,351000
9,252000
9,262000
9,288000
9,259000
9,274000
9,239000
9,326000
9,254000
9,274000
9,257000
9,258000
9,246000
9,354000
9,245000
9,344000
9,259000
9,247000
9,368000
9,250000
9,234000
9,256000
9,250000
9,271000
9,282000
9,279000
9,252000
9,370000
9,270000
9,250000
9,275000
9,256000
9,307000
9,246000
9,415000
9,268000
9,275000
9,276000
9,376000
9,258000
9,304000
9,260000
9,242000
9,687000
9,320000
9,399000
9,161000
9,243000
9,265000
9,238000
9,214000
9,318000
9,335000
9,261000
9,321000
9,254000
9,467000
9,486000
9,387000
9,418000
9,397000
9,268000
9,264000
9,265000
9,387000
9,341000
9,256000
9,282000
9,268000
9,277000
9,242000
9,353000
9,249000
9,278000
9,265000
9,255000
13,257000
13,268000
13,300000
13,286000
13,271000
13,274000
13,355000
13,265000
13,251000
13,257000
13,341000
13,254000
13,270000
13,304000
13,249000
13,243000
13,326000
13,270000
13,280000
13,286000
13,438000
13,263000
13,270000
13,270000
13,258000
13,266000
13,323000
13,254000
13,273000
13,282000
13,289000
13,264000
13,283000
13,274000
13,411000
13,345000
13,268000
13,304000
13,250000
13,280000
13,283000
13,282000
13,250000
13,256000
13,286000
13,283000
13,238000
13,263000
13,256000
13,258000
13,257000
13,298000
13,285000
13,267000
13,285000
13,303000
13,281000
13,307000
13,269000
13,308000
13,266000
13,305000
13,250000
13,273000
13,281000
13,360000
13,329000
13,278000
13,297000
13,264000
13,293000
