Pallet: "pallet-balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,16023643,13741865
1,1000,15904489,13715475
1,1000,21266118,13592875
1,1000,15785610,13555057
1,1000,15873142,13586589
1,1000,15941951,13605702
1,1000,20899248,13620382
1,1000,21252464,13671682
1,1000,20204966,13425212
1,1000,20667682,13582550
100,1000,25597528,15470171
100,1000,24140781,14537072
100,1000,15439543,14655663
100,1000,20309813,14673870
100,1000,20369937,14758674
100,1000,20294373,14662350
100,1000,20397740,14575183
100,1000,28887460,14544544
100,1000,20252112,14727954
100,1000,20328430,14698730
199,1000,20236484,16724983
199,1000,20818589,16969747
199,1000,20198348,16370921
199,1000,20205112,16302101
199,1000,20503774,16175804
199,1000,19838695,15893265
199,1000,20368579,16373530
199,1000,20285773,16206103
199,1000,20231677,16332147
199,1000,20330976,16200003
298,1000,29998194,16264059
298,1000,29847022,16135705
298,1000,31064684,16900803
298,1000,31002295,16914830
298,1000,31098138,16906242
298,1000,31003423,16930858
298,1000,31245760,17007703
298,1000,30903069,16891394
298,1000,31501301,17045116
298,1000,30967499,16948858
397,1000,21031280,13556339
397,1000,21195178,13593303
397,1000,20407537,13075814
397,1000,20312024,12977194
397,1000,20408954,13199766
397,1000,20296015,13010577
397,1000,20663252,13506323
397,1000,20997766,13610425
397,1000,20505993,13278892
397,1000,20687459,13720486
496,1000,17986978,19090169
496,1000,17932658,19050815
496,1000,18008332,19165297
496,1000,18006609,19120132
496,1000,34266551,19110059
496,1000,18158494,19053204
496,1000,16888379,17871345
496,1000,16928005,18169913
496,1000,17184945,18224508
496,1000,17319577,18449518
595,1000,20827795,13574991
595,1000,20903289,13598607
595,1000,20817409,13583282
595,1000,20874390,13556326
595,1000,20399262,13459484
595,1000,20893190,13535235
595,1000,21073283,13679898
595,1000,20931580,13558879
595,1000,21036413,13680282
595,1000,21135849,13687428
694,1000,14369881,12001658
694,1000,14177186,11981894
694,1000,14389088,12017795
694,1000,14274934,11969341
694,1000,14352073,12245256
694,1000,14331141,11987567
694,1000,14439932,12108065
694,1000,13825141,11534398
694,1000,13690778,11471082
694,1000,13986805,11794671
793,1000,14301339,11491194
793,1000,14361725,11885629
793,1000,23727231,12028387
793,1000,14558617,12187318
793,1000,14649355,12285809
793,1000,14717283,12245390
793,1000,14750721,12329935
793,1000,14563023,12357594
793,1000,14055097,11493354
793,1000,13872164,11444379
892,1000,20446889,16231237
892,1000,20321328,16409121
892,1000,20216663,16388777
892,1000,24901259,16845803
892,1000,21029164,16994220
892,1000,20320575,16281871
892,1000,24582891,16527975
892,1000,20946626,16970311
892,1000,21277651,17051969
892,1000,21096721,17168255
991,1000,21272395,17154068
991,1000,20700552,16430373
991,1000,20758866,16394214
991,1000,24432391,16349291
991,1000,24090183,16229883
991,1000,20357396,16329972
991,1000,20127617,16416888
991,1000,20636479,16526574
991,1000,20755659,16537074
991,1000,29182932,16419246
1000,2,33877289,19526541
1000,2,29969027,19701151
1000,2,31145586,20394980
1000,2,31096446,20403751
1000,2,35719752,20334983
1000,2,31170905,20425253
1000,2,31164285,20302118
1000,2,29743235,19173715
1000,2,30612075,20172358
1000,2,47123558,20285622
1000,101,21088862,16911628
1000,101,20803097,16908522
1000,101,21045299,17027741
1000,101,20988624,16979855
1000,101,21023942,16997082
1000,101,30150967,17052108
1000,101,21206051,17058651
1000,101,21293129,17119009
1000,101,22111991,17244339
1000,101,20994826,16977276
1000,200,20297792,16152254
1000,200,20762520,17258142
1000,200,25998786,17217660
1000,200,21174979,17307680
1000,200,21722879,17551041
1000,200,21743170,17538889
1000,200,21399320,17390957
1000,200,21902958,17626172
1000,200,25790517,17362806
1000,200,21336548,17590422
1000,299,21553994,17402937
1000,299,21256255,17374495
1000,299,21697637,17025774
1000,299,21163523,17099875
1000,299,21027871,17258468
1000,299,21589109,17318751
1000,299,21239767,17346351
1000,299,21890203,17457739
1000,299,30148218,17043458
1000,299,21477940,17491283
1000,398,21916224,17620071
1000,398,21841436,17488396
1000,398,31817648,17920871
1000,398,21744533,17538675
1000,398,20283121,16127225
1000,398,20528418,16381970
1000,398,20715300,16900119
1000,398,20941071,16976107
1000,398,20178669,16147362
1000,398,21021550,17012799
1000,497,21148597,17103612
1000,497,21274872,17179763
1000,497,25669555,17200595
1000,497,20633576,16975945
1000,497,21395942,17391559
1000,497,21577797,17395725
1000,497,21618350,17520652
1000,497,31291765,17392610
1000,497,21684397,17524229
1000,497,21531218,17461217
1000,596,32297873,21070501
1000,596,32015402,20951797
1000,596,32097816,21077427
1000,596,36313123,20927283
1000,596,32017354,20926700
1000,596,31979621,20866056
1000,596,31945909,20941829
1000,596,32519862,21132162
1000,596,32468652,21023068
1000,596,50888518,20918849
1000,695,21630912,17497898
1000,695,21656219,17566484
1000,695,20259459,16120187
1000,695,20274396,16289909
1000,695,20363385,16338437
1000,695,20262461,16325193
1000,695,23991089,16257221
1000,695,21074786,17291777
1000,695,21690181,17435739
1000,695,21588313,17496994
1000,794,21660683,17626749
1000,794,21747406,17737108
1000,794,21772602,17568645
1000,794,21654146,17686211
1000,794,21601043,17602927
1000,794,21695307,17681120
1000,794,21822592,17594927
1000,794,21798324,17858924
1000,794,21671249,17670245
1000,794,21812775,17695788
1000,893,21643242,17462572
1000,893,22425409,18000866
1000,893,21917110,17851827
1000,893,21958656,17574165
1000,893,20218114,16354959
1000,893,20742211,16751260
1000,893,20876188,17012520
1000,893,21195633,17160347
1000,893,21181017,17054332
1000,893,21149433,17126884
1000,992,20999449,17017079
1000,992,21118374,17190222
1000,992,21287229,17055772
1000,992,21227144,17311519
1000,992,21738029,17271204
1000,992,21124211,17135585
1000,992,21073638,17172722
1000,992,21243576,17027586
1000,992,21217864,17145836
1000,992,21287918,17206961
