Pallet: "pallet-identity", Extrinsic: "clear_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
1,100,100,2533708,614337
1,100,100,2520048,678428
1,100,100,2405201,630351
1,100,100,2475259,664789
1,100,100,2513188,599063
1,100,100,2536671,599322
1,100,100,2410149,602334
1,100,100,2467710,653720
1,100,100,3848150,1004499
1,100,100,2597291,636958
5,100,100,2453550,622657
5,100,100,2563134,637272
5,100,100,2648458,657526
5,100,100,2480024,630565
5,100,100,2597619,663538
5,100,100,2448414,592275
5,100,100,2504090,633319
5,100,100,2547937,606448
5,100,100,2357722,682999
5,100,100,2397488,609880
9,100,100,2432536,701599
9,100,100,2460085,603732
9,100,100,2651812,695550
9,100,100,2528508,619948
9,100,100,2414849,648417
9,100,100,2602368,595592
9,100,100,3947661,997441
9,100,100,2584743,692602
9,100,100,3798297,980381
9,100,100,2550013,615332
13,100,100,2393908,629420
13,100,100,2471155,638956
13,100,100,2618753,630992
13,100,100,2541859,637892
13,100,100,2458033,672370
13,100,100,2543009,693973
13,100,100,2644670,640097
13,100,100,2380262,718318
13,100,100,2384543,634899
13,100,100,2561191,671972
17,100,100,2445354,642190
17,100,100,2398902,625033
17,100,100,2573186,634877
17,100,100,2436790,638722
17,100,100,2624950,663368
17,100,100,2521415,672932
17,100,100,2397493,638032
17,100,100,2500345,661798
17,100,100,2490111,660699
17,100,100,2450054,658680
21,100,100,2586470,629975
21,100,100,2568235,618499
21,100,100,2662113,645772
21,100,100,2511886,660449
21,100,100,2473142,641736
21,100,100,2666868,660102
21,100,100,2528643,696900
21,100,100,2567721,612647
21,100,100,2642254,627331
21,100,100,2483181,625925
25,100,100,2531054,625628
25,100,100,2361891,626005
25,100,100,2393105,638155
25,100,100,2531918,659087
25,100,100,2633175,676628
25,100,100,2634574,635260
25,100,100,2555171,633093
25,100,100,2439143,630607
25,100,100,2523109,689038
25,100,100,3965889,1014224
29,100,100,2458981,692679
29,100,100,2615132,615282
29,100,100,2556081,678571
29,100,100,2612899,709380
29,100,100,2564199,631113
29,100,100,3953065,997867
29,100,100,2471263,700005
29,100,100,2654123,623141
29,100,100,2597187,673211
29,100,100,2469451,616352
33,100,100,2646324,623939
33,100,100,2443549,622549
33,100,100,2578959,713607
33,100,100,2552083,627843
