Pallet: "pallet-identity", Extrinsic: "kill_identity", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,s,x,extrinsic_time,storage_root_time
1,100,100,5783480,2228922
1,100,100,5962719,2336081
1,100,100,5918753,2321703
1,100,100,5882091,2297760
1,100,100,5963398,2216440
1,100,100,5760130,2330029
1,100,100,5761403,2268096
1,100,100,6066174,2295072
1,100,100,5927875,2301093
1,100,100,5974864,2271555
5,100,100,6083186,2337126
5,100,100,6096961,2277390
5,100,100,9261907,6437263
5,100,100,9224887,6455982
5,100,100,6141454,2308296
5,100,100,5933790,2324090
5,100,100,6154507,2391677
5,100,100,6012899,2199572
5,100,100,5845066,2197389
5,100,100,6276211,2398987
9,100,100,6082678,2346494
9,100,100,6092082,2391294
9,100,100,5864363,2259585
9,100,100,6154819,2337682
9,100,100,6029646,2302718
9,100,100,6103601,2325878
9,100,100,9528752,23313363
9,100,100,5998370,2221244
9,100,100,5877377,2199159
9,100,100,6005141,2258534
13,100,100,5908821,2276100
13,100,100,8854107,44146764
13,100,100,5883826,2230659
13,100,100,6017120,7143688
13,100,100,5924479,2285148
13,100,100,5867052,2322760
13,100,100,5962214,2299026
13,100,100,6136060,2333887
13,100,100,6183174,2310223
13,100,100,6099836,2408704
17,100,100,6101435,2346122
17,100,100,5946899,2343320
17,100,100,6338587,2354636
17,100,100,6092864,2379587
17,100,100,6121592,2335070
17,100,100,6006074,2310638
17,100,100,6182708,2344124
17,100,100,6078114,2338869
17,100,100,6059214,2351664
17,100,100,5916471,2304493
21,100,100,4361677,681568
21,100,100,4447496,673444
21,100,100,4291750,647618
21,100,100,4236248,646921
21,100,100,4307744,652224
21,100,100,6378469,997338
21,100,100,4291582,727063
21,100,100,4301722,642404
21,100,100,4211166,649801
21,100,100,4429948,643094
25,100,100,4224793,711982
25,100,100,4342759,642140
25,100,100,4249969,699960
25,100,100,4331629,760144
25,100,100,4546298,709978
25,100,100,4362353,640948
25,100,100,4468354,727952
25,100,100,4427046,679454
25,100,100,4333012,654478
25,100,100,4363415,661025
29,100,100,4203137,636807
29,100,100,4324224,652149
29,100,100,4413074,634558
29,100,100,4341562,684425
29,100,100,4326129,653830
29,100,100,4383452,667859
29,100,100,4397009,722098
29,100,100,4596988,678169
29,100,100,4401837,730215
29,100,100,4333826,664577
33,100,100,4368649,643522
33,100,100,4253114,678928
33,100,100,6384292,1012566
33,100,100,4299630,646999
33,100,100,4401127,701352
33,100,100,4341990,644688
33,100,100,4392234,696633
33,100,100,4210927,716597
33,100,100,4593669,664316
33,100,100,4486848,706500
37,100,100,4424929,733602
37,100,100,4407073,685199
37,100,100,6852441,1071197
37,100,100,4498522,681672
37,100,100,4377107,709649
37,100,100,4536044,677637
37,100,100,4343686,647746
37,100,100,4251079,652439
37,100,100,4334262,643135
37,100,100,4401214,649251
41,100,100,4330066,665468
41,100,100,4346116,725581
41,100,100,4362860,661550
41,100,100,4397686,648637
41,100,100,4282061,659621
41,100,100,4503211,661255
41,100,100,4344785,728757
41,100,100,6743314,1136246
41,100,100,4491624,669890
41,100,100,4420784,663855
45,100,100,4391769,680166
45,100,100,4350925,677200
45,100,100,4230872,680478
45,100,100,4243541,679132
45,100,100,4227456,679488
45,100,100,4213967,684412
45,100,100,4355153,684076
45,100,100,4524709,738041
45,100,100,4442687,736040
45,100,100,4520453,708722
49,100,100,4448326,752408
49,100,100,4316926,681883
49,100,100,4455202,739010
49,100,100,4520180,725937
49,100,100,4410107,687449
49,100,100,4241079,722379
49,100,100,4436739,698082
49,100,100,4492582,717407
49,100,100,4387057,713534
49,100,100,4406514,693976
50,1,100,3904563,140487
50,1,100,3904306,140782
50,1,100,4003289,139884
50,1,100,4031215,178196
50,1,100,3991733,136076
50,1,100,3885965,139631
50,1,100,4041123,144601
50,1,100,3926836,143828
50,1,100,3992462,140798
50,1,100,3859129,140659
50,10,100,4173470,192706
50,10,100,4110572,193096
50,10,100,4101651,231549
50,10,100,4129521,195760
50,10,100,3867181,233387
50,10,100,4052714,195327
50,10,100,6147499,299792
50,10,100,3985810,194039
50,10,100,4068913,237298
50,10,100,4120589,191546
50,19,100,4211209,234078
50,19,100,4165990,237125
50,19,100,4118237,232001
50,19,100,3981134,232989
50,19,100,4089713,282468
50,19,100,4124589,245162
50,19,100,4272533,301002
50,19,100,4098294,299767
50,19,100,4023108,271509
50,19,100,4112328,233554
50,28,100,4173273,283609
50,28,100,4160674,283915
50,28,100,4119667,331497
50,28,100,4030452,282511
50,28,100,4318028,338845
50,28,100,4089045,286054
50,28,100,3976759,287488
50,28,100,4118162,287774
50,28,100,4038386,291886
50,28,100,4095566,297302
50,37,100,4295484,342943
50,37,100,4086924,334625
50,37,100,4027846,332356
50,37,100,4243024,412671
50,37,100,4029565,329129
50,37,100,4120286,406257
50,37,100,4146881,329688
50,37,100,4157461,332435
50,37,100,4072617,334694
50,37,100,4254852,338863
50,46,100,4228110,402294
50,46,100,4308529,401850
50,46,100,4261737,472433
50,46,100,4132292,466565
50,46,100,4197304,446398
50,46,100,4261741,380337
50,46,100,4202172,386966
50,46,100,4100408,478435
50,46,100,4300896,439866
50,46,100,4129083,435188
50,55,100,4233892,428331
50,55,100,4276403,415649
50,55,100,4095826,419666
50,55,100,4209100,492381
50,55,100,4275912,440124
50,55,100,4092527,419984
50,55,100,4199153,419521
50,55,100,4118262,420884
50,55,100,4481672,428093
50,55,100,4271498,417805
50,64,100,4444866,477465
50,64,100,4127794,468537
50,64,100,4340734,472633
50,64,100,4134370,470995
50,64,100,4151126,471109
50,64,100,4231796,541379
50,64,100,4262097,468298
50,64,100,4400414,475017
50,64,100,4355188,501921
50,64,100,6667877,772080
50,73,100,4359197,615378
50,73,100,4257784,603159
50,73,100,4488184,611787
50,73,100,4314978,527831
50,73,100,4221696,579516
50,73,100,4350616,546664
50,73,100,4168111,527168
50,73,100,4184881,579790
50,73,100,4261814,540924
50,73,100,4297307,531292
50,82,100,4396051,598903
50,82,100,4484930,661479
50,82,100,4248448,593929
50,82,100,4388254,600948
50,82,100,4399386,635118
50,82,100,4429268,628917
50,82,100,6716679,1008538
50,82,100,4547294,688170
50,82,100,4331918,604917
50,82,100,4244729,608620
50,91,100,6462096,975590
50,91,100,4259526,631591
50,91,100,4193208,626104
50,91,100,4415553,643392
50,91,100,4351073,624103
50,91,100,6672742,1024872
50,91,100,4370982,624410
50,91,100,4343274,693866
50,91,100,4379653,628015
50,91,100,4341814,646748
50,100,100,4503306,706045
50,100,100,6798289,1197151
50,100,100,4484296,688756
50,100,100,4469546,696569
50,100,100,4433687,772001
50,100,100,4388565,686223
50,100,100,4363736,731732
50,100,100,4435054,819104
50,100,100,4421221,710818
50,100,100,4313168,687254
50,100,1,4399001,706313
50,100,1,4348371,688210
50,100,1,4335729,687813
50,100,1,4283371,738419
50,100,1,6676129,1132256
50,100,1,4335412,713129
50,100,1,4244371,770313
50,100,1,4388115,701608
50,100,1,4322714,690824
50,100,1,4485958,731378
50,100,10,4244958,708822
50,100,10,4298533,687533
50,100,10,4308617,692578
50,100,10,4205386,679509
50,100,10,4184044,690742
50,100,10,4231395,758150
50,100,10,4232201,705398
50,100,10,4150650,735514
50,100,10,4391571,726520
50,100,10,4148010,690116
50,100,19,4313259,681788
50,100,19,6595083,1107589
50,100,19,4211907,683273
50,100,19,4350607,685575
50,100,19,4232968,796824
50,100,19,4487480,769575
50,100,19,4359228,694221
50,100,19,4166162,694224
50,100,19,4354546,763781
50,100,19,4209978,691943
50,100,28,4183374,696116
50,100,28,4278479,706514
50,100,28,4329703,697722
50,100,28,4240422,742453
50,100,28,4277944,706945
50,100,28,4158660,741826
50,100,28,4333739,688450
50,100,28,4195769,743517
50,100,28,4428629,718985
50,100,28,4340965,695744
50,100,37,4286249,691694
50,100,37,4174146,692662
50,100,37,4255454,696721
50,100,37,4395204,691932
50,100,37,4176738,756635
50,100,37,4375579,702270
50,100,37,4483119,708834
50,100,37,4312790,722967
50,100,37,4309491,691955
50,100,37,4386571,700952
50,100,46,4332818,753146
50,100,46,4224100,739079
50,100,46,6456415,1066661
50,100,46,4350157,769299
50,100,46,4424598,705436
50,100,46,4431704,704922
50,100,46,4174413,736893
50,100,46,4282220,754380
50,100,46,4403716,692638
50,100,46,4342318,760733
50,100,55,4348716,765220
50,100,55,4274561,749876
50,100,55,4172067,745388
50,100,55,4430630,706703
50,100,55,4271424,688616
50,100,55,4326670,683097
50,100,55,4239626,696239
50,100,55,4320159,695693
50,100,55,4333412,697956
50,100,55,4373565,707130
50,100,64,4183201,693522
50,100,64,4318405,688068
50,100,64,6765464,1173367
50,100,64,4328950,707605
50,100,64,4456349,719975
50,100,64,4472238,717474
50,100,64,4292511,689122
50,100,64,4360872,753459
50,100,64,4366990,681255
50,100,64,4396139,724872
50,100,73,4434328,727158
50,100,73,4385266,720956
50,100,73,4331813,748772
50,100,73,4258887,690911
50,100,73,4294194,740557
50,100,73,4305416,690569
50,100,73,4209860,822696
50,100,73,6515771,1158233
50,100,73,4268697,709051
50,100,73,4479230,694088
50,100,82,4505233,766934
50,100,82,4469490,698284
50,100,82,4398042,687735
50,100,82,4260772,688827
50,100,82,4227920,732850
50,100,82,4222535,745985
50,100,82,4422900,710392
50,100,82,4277563,683546
50,100,82,4505675,703619
50,100,82,4269062,699290
50,100,91,4301479,698376
50,100,91,4555742,686880
50,100,91,4431477,712506
50,100,91,4651917,689343
50,100,91,4441574,689563
50,100,91,4440008,706094
50,100,91,4224083,764510
50,100,91,4503819,699651
50,100,91,4372598,695884
50,100,91,4395260,741264
50,100,100,4496178,705876
50,100,100,4367462,754200
50,100,100,4421284,716777
50,100,100,4349615,699986
50,100,100,4502021,702609
50,100,100,4479179,708189
50,100,100,4462503,759155
50,100,100,4517977,756093
50,100,100,4474535,708000
50,100,100,4437169,689016
