Pallet: "pallet-identity", Extrinsic: "set_subs", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
s,extrinsic_time,storage_root_time
1,141096,64174
1,188199,96843
1,129323,65848
1,257531,67770
1,163702,82947
1,126509,65401
1,133638,66814
1,142072,66296
1,227846,69335
1,130316,68344
10,333121,179283
10,344299,115608
10,218025,114611
10,367719,117328
10,371508,115025
10,217598,113359
10,215656,112863
10,217898,113800
10,313703,115675
10,219496,115095
19,305184,161762
19,306096,160860
19,315947,156283
19,529443,236015
19,307008,163017
19,299015,163745
19,304912,159414
19,306312,162344
19,301747,162243
19,299691,158995
28,553467,203688
28,391325,205445
28,384418,202947
28,620385,204345
28,391334,205118
28,608226,308795
28,388671,210054
28,388737,205191
28,542354,205090
28,587640,307233
37,521635,253095
37,595957,253115
37,636754,255426
37,664442,255237
37,469694,252477
37,516834,256105
37,598785,251470
37,469350,249908
37,474690,255661
37,522139,256062
46,726867,319021
46,759683,318318
46,681888,319211
46,689668,316636
46,655993,319172
46,653798,315568
46,579489,315800
46,730337,315889
46,563199,320619
46,612469,320992
55,765280,356876
55,736382,358863
55,647189,356181
55,810242,353507
55,760498,353892
55,650922,354517
55,788234,355653
55,760757,356286
55,646545,356590
55,1018307,530703
64,896058,402677
64,818766,401195
64,782827,395194
64,853535,402514
64,875346,396391
64,911390,393181
64,1158293,600006
64,862296,402107
64,905980,399760
64,896669,402284
73,1025028,458003
73,905174,453892
73,935202,514944
73,947454,451056
73,812292,451484
73,935515,454360
73,954895,456555
73,812357,442606
73,810714,439009
73,951773,456967
82,1048352,542622
82,906694,560544
82,1082025,493856
82,995897,498834
82,1034845,494476
82,1019008,484309
82,904182,559984
82,1033504,498766
82,1441634,797858
82,1019237,483706
91,1058873,535400
91,1573642,857803
91,1111875,539102
91,1080821,583517
91,999849,543256
91,1149446,539606
91,1047746,541921
91,996288,527678
91,974377,524169
91,1153112,596338
