Pallet: "pallet-staking", Extrinsic: "bond", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,2122252,143579
0,1860390,137461
0,2104278,140966
0,3201624,228008
0,1918803,140245
0,2109357,139969
0,1958303,139625
0,2314314,142054
0,1904083,153299
0,1967414,141235
100,2208126,139810
100,1981093,146439
100,1972744,147067
100,2035280,153601
100,1923922,156104
100,1956601,154816
100,1917168,205818
100,1976078,160522
100,1975168,161605
100,1903377,162523
200,2101372,147424
200,1993799,153620
200,1920163,155327
200,1999808,156434
200,1997087,142191
200,2154658,157753
200,1904154,157621
200,1933660,155483
200,1988406,155853
200,2079597,149288
300,2050501,144507
300,2070690,168204
300,1985314,166736
300,2003160,158755
300,1946259,163035
300,2114805,156630
300,2110902,151383
300,2009146,172454
300,3338779,236629
300,2000325,157097
400,2150182,147844
400,1921669,158004
400,2090461,163122
400,2054089,264169
400,1954816,167988
400,2112543,148599
400,1992403,154189
400,2098633,150795
400,2003621,165005
400,3147154,217148
500,1916388,167231
500,1942650,168596
500,2073880,171142
500,1953562,167408
500,2066688,171312
500,2069118,167855
500,1914479,167607
500,1947664,168618
500,2167738,173246
500,1943716,214679
600,3163557,241896
600,2158505,163747
600,1999952,165217
600,1923906,169207
600,1949656,165871
600,2135985,164236
600,1975972,164543
600,1935897,164582
600,3126614,227677
600,2127672,166300
700,2163647,164703
700,2101157,165813
700,1991924,170565
700,1935859,209415
700,2056467,172889
700,3125643,279714
700,2068946,170708
700,1978457,170052
700,1937036,171315
700,1874440,165661
800,2057406,167989
800,3154783,231552
800,2095615,171687
800,3121522,227138
800,1973026,169798
800,1939169,169968
800,2041413,161922
800,2031251,199766
800,1935415,185861
800,2162391,171996
900,2189940,187109
900,2051914,168843
900,1976405,174752
900,1973094,171189
900,3126656,297725
900,1989582,169950
900,2009548,175033
900,2015718,164501
900,1970505,172490
900,1997302,173307
1000,2029871,170914
1000,2179958,169703
1000,3221124,224757
1000,3107459,243487
1000,1971194,170976
1000,2132268,162305
1000,2039658,176455
1000,1982169,173516
1000,1894509,235332
1000,2048596,150096
