Pallet: "pallet-staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
s,extrinsic_time,storage_root_time
1,633811,138273
1,605766,132098
1,610119,132751
1,556550,199551
1,557818,189203
1,558988,133473
1,653174,132357
1,562177,133479
1,726880,132674
1,557254,130260
100,7911501,138787
100,7962004,143187
100,8294059,155958
100,8314263,161820
100,8404774,180717
100,8337866,167248
100,7926664,171295
100,7921152,163864
100,7922870,161437
100,7948815,156999
199,14531837,4226795
199,14735120,4232776
199,14609785,4232237
199,20422773,4288561
199,14757809,4234634
199,14884588,4231883
199,14766495,4286306
199,14756521,4291895
199,14908272,4312622
199,14474877,4243514
298,20332629,4239954
298,20526929,4225997
298,25941766,4243743
298,20536736,4295952
298,20473254,4349028
298,20463561,4287114
298,20474836,4274804
298,20474591,4295734
298,20338313,4256241
298,20328164,4230222
397,25598201,4207107
397,25660915,4191529
397,25923800,4193518
397,26071371,4226918
397,26194089,4315342
397,26086516,4204615
397,26211771,4258140
397,25506169,4181162
397,25504304,4240154
397,25351795,4239984
496,29668233,4206666
496,29603365,4203965
496,29787676,4202888
496,29587026,4158481
496,29924561,4173040
496,29680671,4177193
496,29721799,4174498
496,34577808,4141659
496,29603335,4194918
496,29775801,4207633
595,33417186,4180775
595,33050315,4162766
595,33282660,4157695
595,33281101,4171473
595,33543262,4193085
595,33509128,4182679
595,33597838,4199782
595,33351304,4183196
595,33191254,4179896
595,33323009,4194986
694,35874374,4196539
694,36006183,4197513
694,36031480,4167525
694,35857930,4136829
694,35732662,4143470
694,36036166,4190881
694,40772035,4151430
694,36061784,4126118
694,35962903,4133916
694,35756868,4114578
793,37863580,4105872
793,38095368,4114573
793,43390474,4097472
793,38134126,4119382
793,38129843,4141131
793,38248341,4103679
793,37942925,4115163
793,38018619,4072515
793,43124539,4120234
793,37842449,4167070
892,44117477,4127665
892,39272646,4123353
892,39845683,4211941
892,38990242,4129884
892,39249235,4152733
892,39319528,4101187
892,39338770,4145961
892,44097353,4150511
892,39117198,4096536
892,38988515,4107731
991,39362460,4158326
991,39528752,4173957
991,39472568,4168370
991,39620451,4113481
991,39204413,4116318
991,39516023,4105158
991,39582161,4098733
991,39509127,4122942
991,39456234,4112185
991,39530166,4096675
