Pallet: "pallet-staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
v,n,extrinsic_time,storage_root_time
1,100,24352384,122543
1,100,24411049,116182
1,100,24481819,117912
1,100,24215033,117879
1,100,24149993,169107
1,100,24044951,118822
1,100,24377963,119362
1,100,24475958,119304
1,100,24677908,117346
1,100,24549107,117133
2,100,35543892,140704
2,100,35532954,142563
2,100,35609074,141962
2,100,34648560,136944
2,100,41480091,143543
2,100,35935167,140073
2,100,36229970,145040
2,100,36042661,141732
2,100,35949483,142637
2,100,35175556,138277
3,100,48908497,152954
3,100,48726519,156367
3,100,49103621,157563
3,100,49277016,157925
3,100,50092371,159063
3,100,49762142,162440
3,100,49210048,158220
3,100,48301931,153550
3,100,48398613,153628
3,100,54125177,156998
4,100,58122467,174380
4,100,58404728,173834
4,100,58394069,174041
4,100,63395284,169440
4,100,58311824,173945
4,100,63616664,167331
4,100,58362088,172551
4,100,58550042,169965
4,100,58126002,170623
4,100,60013267,177790
5,100,72243350,187289
5,100,72900883,184788
5,100,72918665,187300
5,100,72643155,187600
5,100,72813093,186726
5,100,72919662,191088
5,100,72706883,185667
5,100,72911304,187598
5,100,72500272,185997
5,100,73359123,186111
6,100,79493021,208877
6,100,79231253,207442
6,100,79378407,207180
6,100,79394694,209507
6,100,79408322,206344
6,100,79634337,207401
6,100,78952354,209068
6,100,79826416,208192
6,100,78909555,207774
6,100,79152767,207045
7,100,93256374,222477
7,100,93152351,222703
7,100,94528967,234657
7,100,95515489,226717
7,100,94910935,229002
7,100,95584939,232678
7,100,94799583,227279
7,100,100634184,229631
7,100,94832747,228223
7,100,95403471,222676
8,100,110417035,248143
8,100,108537683,249309
8,100,113351482,260148
8,100,113272747,246894
8,100,110492368,253268
8,100,111126651,248096
8,100,108348087,243546
8,100,112598471,247174
8,100,113121353,257198
8,100,113644451,254038
9,100,124048193,273719
9,100,124190893,271461
9,100,124005033,273279
9,100,123455379,272232
9,100,123384218,268832
9,100,123270320,274243
9,100,118989710,260231
9,100,123186954,259703
9,100,119033650,260518
9,100,118183855,260727
10,100,19412550122,3408754
10,100,19440333813,3418216
10,100,19367980488,3411219
10,100,19407702206,3412190
10,100,19424094681,3411340
10,100,19412139586,3417930
10,100,20646378671,3588290
10,100,20256356368,3610725
10,100,20565900468,3596815
10,100,20277300574,3546576
10,1,6418508,317230
10,1,3870990,200897
10,1,3842945,200912
10,1,6276562,316068
10,1,3774575,204542
10,1,6437563,313286
10,1,3814244,198287
10,1,3932499,205024
10,1,3925940,207527
10,1,3877310,207021
10,10,14563047,219675
10,10,14291520,211563
10,10,14313851,211397
10,10,14296871,209210
10,10,14486993,213151
10,10,14278834,210611
10,10,14308372,212026
10,10,14240118,210677
10,10,14374315,214020
10,10,14528747,212757
10,19,24924644,230954
10,19,25037268,235016
10,19,30001569,232322
10,19,25098865,234835
10,19,25209780,235069
10,19,25581518,238702
10,19,25369494,243777
10,19,25401555,235397
10,19,25515765,237610
10,19,25351494,238487
10,28,37891482,249639
10,28,37672460,240062
10,28,36320553,244015
10,28,38152542,240759
10,28,38156959,285690
10,28,36784114,234026
10,28,36810806,230439
10,28,36779238,228907
10,28,36862986,228520
10,28,36682562,227590
10,37,49387220,300217
10,37,49253776,250343
10,37,49496277,247192
10,37,47855187,241764
10,37,48150953,236508
10,37,53196058,241101
10,37,47901024,240969
10,37,47496339,242133
10,37,47776355,243434
10,37,47982906,244363
10,46,56820430,247548
10,46,57009447,244352
10,46,57567222,246804
10,46,56826477,251323
10,46,57080005,244941
10,46,57492807,246162
10,46,57566684,243873
10,46,57024113,245431
10,46,57451618,245245
10,46,56936763,243860
10,55,70398009,258654
10,55,70949945,254279
10,55,69789999,257143
10,55,69979932,254531
10,55,69740943,262264
10,55,69885915,260370
10,55,70080491,281159
10,55,70273561,256549
10,55,70010632,257945
10,55,70633918,254736
10,64,77564051,260055
10,64,78216967,258355
10,64,78375117,261517
10,64,77808382,258205
10,64,77915653,259430
10,64,77645016,258547
10,64,77415922,263097
10,64,77929507,259844
10,64,77941547,261133
10,64,77944859,257763
10,73,87699024,269303
10,73,89031469,274437
10,73,88257007,268601
10,73,88739694,265580
10,73,87962321,265409
10,73,87913200,266634
10,73,88155113,266759
10,73,87939756,266698
10,73,87678940,266754
10,73,88676004,267837
10,82,109390824,279818
10,82,104137984,279042
10,82,103949001,277762
10,82,101479663,271773
10,82,103791607,277331
10,82,101676548,271055
10,82,105080699,280007
10,82,103690033,277206
10,82,102656160,275652
10,82,102269469,272561
10,91,114390501,273892
10,91,114112604,278753
10,91,113976025,275350
10,91,115202787,274859
10,91,114347259,276652
10,91,113447210,276988
10,91,113998332,276193
10,91,116858310,300568
10,91,114150401,284170
10,91,114115003,284390
10,100,19460627686,3487435
10,100,19433936419,3420866
10,100,19455827571,3415295
10,100,19454417144,3417086
10,100,19458381739,3471475
10,100,19413286628,3421264
10,100,20348210850,3570069
10,100,20332993520,3535747
10,100,20298464342,3582364
10,100,20296166474,3730715
