Pallet: "pallet-staking", Extrinsic: "unbond", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,1877027,118996
0,1945773,113437
0,1859605,108301
0,1853995,106757
0,1910909,108044
0,1851158,106752
0,1853597,107936
0,1901969,123801
0,2977073,172123
0,1854705,109829
100,2076327,113976
100,3012028,169805
100,1873187,125113
100,1914616,126453
100,2014155,164387
100,2000801,128603
100,1873342,125397
100,2001152,121724
100,1906066,125621
100,1919947,132627
200,1905239,130506
200,3001933,190309
200,2994411,221699
200,1962111,123359
200,1940784,122530
200,2081393,121492
200,1961791,172588
200,1887949,126217
200,1944285,130899
200,1938095,117242
300,2068827,122396
300,1905575,129639
300,1878741,130798
300,2011614,159769
300,2075724,129237
300,1969928,129620
300,1879021,134670
300,2054867,127102
300,1938630,131917
300,1907382,132250
400,1938410,127129
400,1881108,123704
400,3024455,204336
400,1942952,131976
400,2876035,164808
400,2003768,127765
400,1916965,128797
400,3018549,170068
400,1868334,129418
400,1845570,126381
500,1863620,113833
500,2026465,135164
500,2024527,123888
500,1985296,185562
500,1900806,134751
500,2024704,127015
500,1880678,133629
500,1895609,131522
500,1909475,131260
500,2004851,133851
600,1956148,128378
600,2989496,194388
600,2081484,126301
600,2063431,179279
600,1922344,129074
600,2076514,127943
600,3037650,242743
600,1968303,125373
600,2944402,229161
600,1979544,129514
700,1895525,134036
700,1977650,126092
700,1924844,135865
700,1914826,133566
700,1899334,130839
700,1856972,130143
700,2001568,130470
700,1925787,133615
700,3009169,213723
700,1929615,136117
800,2917184,229481
800,1977989,129188
800,1981449,186242
800,2977315,228255
800,1947910,137187
800,1868533,132845
800,1943279,133131
800,1988961,137145
800,3010539,232591
800,2095526,126243
900,1907763,131630
900,1874630,134209
900,1981813,135878
900,1866875,142518
900,1889008,138090
900,1887059,136521
900,3069007,178889
900,1874911,148494
900,2958766,233980
900,1879321,142743
1000,2165232,126289
1000,2086077,129051
1000,2005912,180122
1000,1960038,134946
1000,2058866,128501
1000,1922982,135708
1000,2012366,123252
1000,1851902,132272
1000,2093633,136518
1000,2011045,134586
