Pallet: "pallet-staking", Extrinsic: "validate", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,66098,60309
0,209490,62915
0,68759,60303
0,84377,83299
0,64947,61325
0,65893,60523
0,67755,64336
0,234061,64377
0,166581,61735
0,102468,94773
100,68234,63185
100,248356,60200
100,80740,61266
100,72281,65656
100,63680,58839
100,167789,61270
100,64360,59966
100,69896,64251
100,231693,64385
100,65640,63154
200,212226,62789
200,230069,62513
200,196369,62852
200,85042,64423
200,74067,63776
200,71350,64885
200,167205,73042
200,220948,90326
200,74034,65996
200,106975,64088
300,71086,83465
300,65666,63162
300,69872,61395
300,231196,60218
300,67587,61221
300,69336,61174
300,65915,61433
300,67856,63950
300,66174,62692
300,70085,63126
400,163634,63156
400,93060,64719
400,75850,64836
400,68281,64069
400,67328,64001
400,163806,61687
400,80770,61877
400,83377,62370
400,188967,62457
400,67355,65266
500,167463,63343
500,69537,64586
500,67627,62671
500,203484,63908
500,70603,63836
500,265488,86976
500,68300,63929
500,83439,63491
500,193700,63504
500,201555,62273
600,237466,63572
600,67202,63679
600,270323,61293
600,75623,64655
600,64283,61915
600,238645,61475
600,282758,61290
600,83980,62869
600,67956,63266
600,67516,64085
700,241671,61028
700,100743,93253
700,102697,64574
700,210409,63351
700,225938,61712
700,70244,66181
700,239312,60696
700,66232,62280
700,98305,89394
700,228178,62621
800,222148,61556
800,68315,64246
800,108415,65516
800,226968,63901
800,68364,63349
800,216154,87188
800,212036,61337
800,83917,61082
800,69339,63785
800,249087,86143
900,72279,64372
900,69146,64721
900,71952,64176
900,187024,63238
900,274088,62322
900,265280,61957
900,98700,89625
900,67900,63368
900,68426,61319
900,68275,62937
1000,83371,63930
1000,83511,62855
1000,168845,64443
1000,71280,66195
1000,67705,65633
1000,205590,64776
1000,165694,66115
1000,192473,65490
1000,72961,66957
1000,261394,66573
