Pallet: "pallet-timestamp", Extrinsic: "set", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
n,extrinsic_time,storage_root_time
1,55523,35691
1,56828,36973
1,140219,35355
1,57029,37165
1,58497,35541
1,59123,36949
1,59159,36809
1,55979,35439
1,143728,35272
1,144764,35950
10,58646,35989
10,57573,35600
10,142639,35428
10,56239,36188
10,57038,36017
10,57317,35719
10,57574,35632
10,147531,36215
10,56973,35723
10,55604,36130
19,57594,35892
19,154008,35918
19,58789,36102
19,144526,34783
19,60508,37718
19,56933,36955
19,58043,35655
19,219897,35924
19,55997,35508
19,57516,36712
28,60339,36551
28,56680,36839
28,59077,36600
28,60656,36264
28,56918,36410
28,57373,36991
28,59952,37546
28,58306,36316
28,59628,36345
28,58578,37385
37,66583,40705
37,62457,37270
37,59737,37109
37,60691,36626
37,57816,36097
37,58864,36212
37,143946,36097
37,59868,37315
37,57708,36049
37,58369,35963
46,100004,35587
46,57423,37432
46,144197,35811
46,102055,36745
46,57720,36550
46,57419,36191
46,166834,36658
46,60322,36696
46,142465,36829
46,145340,36348
55,56500,36874
55,57033,36274
55,165637,37064
55,95888,49990
55,57298,36909
55,61201,35791
55,56868,36684
55,60209,36063
55,56533,35585
55,58713,36839
64,56251,35876
64,57758,36311
64,57167,36194
64,56720,36454
64,59778,36744
64,57769,36333
64,58778,35797
64,57207,36367
64,59550,36642
64,58129,35934
73,55519,35684
73,58949,37592
73,57476,36912
73,57796,36118
73,142681,35576
73,204174,36851
73,58259,36879
73,57563,37600
73,57755,36279
73,59104,37617
82,56042,36562
82,58225,36340
82,166487,35462
82,140057,35916
82,57515,35840
82,141797,36745
82,59319,36393
82,58410,37096
82,56430,36340
82,248660,35786
91,57538,36320
91,166510,37105
91,59159,36669
91,57721,36908
91,58917,36667
91,59427,36961
91,59180,36626
91,58346,36683
91,58337,37037
91,57114,36487
100,56373,36246
100,57991,37016
100,60605,36602
100,58332,36585
100,146877,37164
100,57590,36303
100,55585,35758
100,58670,37176
100,59522,36397
100,59149,36379
