Pallet: "pallet-vesting", Extrinsic: "vest_locked", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
l,extrinsic_time,storage_root_time
0,10892041,4379590
0,6921089,3390535
0,10932828,4442653
0,7091290,3422361
0,7009131,3418381
0,7013607,3478604
0,7094661,3399610
0,6951394,3796320
0,7263532,3523085
0,6924588,3484189
2,6946613,3458337
2,6938041,3484313
2,7010450,3453973
2,11091889,7035778
2,6936510,3453983
2,6834180,3409329
2,7045743,3389229
2,6817049,3405268
2,6910288,3397498
2,7038723,3413774
4,6902469,3399301
4,6925231,3379711
4,6964569,3407782
4,6919344,3341179
4,7034712,3403366
4,6791964,3411471
4,6959217,3406438
4,7009659,3434782
4,7156567,3540957
4,7107746,3525366
6,7003348,3520265
6,7084244,3523402
6,7006285,3386953
6,6842438,3323477
6,7134944,3504139
6,7207567,3535644
6,7012832,3500514
6,6918015,3396086
6,6926629,3330688
6,7120989,3411776
8,7154873,3395537
8,7055165,3481233
8,6815167,3372717
8,10761211,6872253
8,6976561,3394829
8,6991855,3420603
8,7037696,3387424
8,10711735,5076535
8,6841363,3460376
8,6945016,3483952
10,7042283,3401837
10,7158742,3456025
10,6807728,3325246
10,6917271,3375112
10,6879971,3412936
10,6911622,3453117
10,7566203,3418157
10,7074541,3398718
10,6861360,3333555
10,7031635,3401569
12,6711522,3333842
12,6988653,3356280
12,6947202,3342037
12,6867329,3408908
12,7012265,3474650
12,7256412,3392271
12,6961147,3399543
12,10651508,3501981
12,6870485,3464933
12,6810036,3313972
14,7125129,3473698
14,7208717,3503645
14,7152670,3514395
14,7240043,3541121
14,7131854,3520291
14,7159187,3525409
14,6940135,3347359
14,15666373,11273699
14,6825812,3328651
14,6914273,3342599
16,6793147,3272102
16,6861535,3372705
16,7006228,3407432
16,7150479,3503128
16,6822919,3349164
16,6780409,3338173
16,6820866,3341488
16,10479662,9826541
16,7040136,3400668
16,6879908,3325134
18,6928431,3489665
18,6969939,3489938
18,7061400,3482257
18,7098551,3531711
18,7140309,3534473
18,7078217,3532494
18,7197631,3533724
18,7293619,3528807
18,7030031,3550402
18,7227749,3483948
20,6779782,3323560
20,6772810,3336288
20,6852201,3360532
20,6984781,3349655
20,7077773,3400103
20,6963152,3452199
20,6876102,3375351
20,6839835,3351132
20,7027242,3328588
20,7123716,3434124
