Pallet: "pallet-balances", Extrinsic: "set_balance_killing", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,3838485,117668
1,1000,3747142,97342
1,1000,3688440,100820
1,1000,5896672,147149
1,1000,3631716,91551
1,1000,3610744,93620
1,1000,3791712,97524
1,1000,3820685,96751
1,1000,4061269,92303
1,1000,3817576,92976
100,1000,3691544,87355
100,1000,3693650,106450
100,1000,3762312,86914
100,1000,3727287,85105
100,1000,3693983,86236
100,1000,3848753,86130
100,1000,3581063,84621
100,1000,3552679,83539
100,1000,3611326,85144
100,1000,3813218,85277
199,1000,3655905,93039
199,1000,3622448,93479
199,1000,3661212,92485
199,1000,3962731,95519
199,1000,3877787,97814
199,1000,3719456,98076
199,1000,3734692,97472
199,1000,3809501,98450
199,1000,3829179,97604
199,1000,3724353,106685
298,1000,3680061,85798
298,1000,3671261,87479
298,1000,3840821,90275
298,1000,3743934,89321
298,1000,3767236,90909
298,1000,6026953,134992
298,1000,3685541,87379
298,1000,3760604,85471
298,1000,3721865,86598
298,1000,3736725,95857
397,1000,3624151,89874
397,1000,3709327,91057
397,1000,3808945,92124
397,1000,3671102,91374
397,1000,3846144,91414
397,1000,3769725,150385
397,1000,3745106,91598
397,1000,3731167,92775
397,1000,3781264,120196
397,1000,3911316,93846
496,1000,3802598,88597
496,1000,3802130,88291
496,1000,3971784,88881
496,1000,3613554,84314
496,1000,3705825,86925
496,1000,3645863,86495
496,1000,3708214,89310
496,1000,3727047,98271
496,1000,3888722,87304
496,1000,3681499,86506
595,1000,3747687,94632
595,1000,3836224,96854
595,1000,3771479,115855
595,1000,3562306,95323
595,1000,3591698,161880
595,1000,3643362,92754
595,1000,5784757,146744
595,1000,3622583,92883
595,1000,3651371,94158
595,1000,3733121,96811
694,1000,3741188,114802
694,1000,3678332,96070
694,1000,3694878,97954
694,1000,3652416,96527
694,1000,3701717,93334
694,1000,3666661,95163
694,1000,3650318,95518
694,1000,3849983,92817
694,1000,3810780,94785
694,1000,3803300,94961
793,1000,3753959,92910
793,1000,3784723,93178
793,1000,3704644,90737
793,1000,3574784,91335
793,1000,3669861,92797
793,1000,3644454,107601
793,1000,3650365,90531
793,1000,3808634,91814
793,1000,5789627,157643
793,1000,3820216,94177
892,1000,3739632,95533
892,1000,3695594,94022
892,1000,3987932,95637
892,1000,3799068,100287
892,1000,3922120,95514
892,1000,3780017,104658
892,1000,3752868,95866
892,1000,3930609,95988
892,1000,3729796,113504
892,1000,3827306,96739
991,1000,3833290,108837
991,1000,3759459,96815
991,1000,3761406,95227
991,1000,3793252,93803
991,1000,3740877,92056
991,1000,3787532,94585
991,1000,5892198,143783
991,1000,3640642,94116
991,1000,3953840,95241
991,1000,3714011,97934
1000,2,3603036,94734
1000,2,3630148,95682
1000,2,3630023,117072
1000,2,3686201,97184
1000,2,3655572,95872
1000,2,3785906,110273
1000,2,3665071,95592
1000,2,3807042,98388
1000,2,3785374,97323
1000,2,3720842,97446
1000,101,3757015,99219
1000,101,3938659,114823
1000,101,3816349,100894
1000,101,3910438,99961
1000,101,3749172,99758
1000,101,3800266,99091
1000,101,3919359,102378
1000,101,3854375,99501
1000,101,3576940,95987
1000,101,3567214,94808
1000,200,3636481,95235
1000,200,3565940,95153
1000,200,3747206,96454
1000,200,3846314,115728
1000,200,3884124,96370
1000,200,3637461,160669
1000,200,3723625,94446
1000,200,5813380,154810
1000,200,3959840,94904
1000,200,5838771,146665
1000,299,3773899,95557
1000,299,3626603,96697
1000,299,3756320,95045
1000,299,3897566,99610
1000,299,3969960,101167
1000,299,3642903,96334
1000,299,3580952,97558
1000,299,3739466,97175
1000,299,3724477,96574
1000,299,3579401,95608
1000,398,3632803,113788
1000,398,3812589,94170
1000,398,3622107,95032
1000,398,3833303,95318
1000,398,3787977,115129
1000,398,3908117,96213
1000,398,5717892,138584
1000,398,3617845,95007
1000,398,6005715,145840
1000,398,3655904,96433
1000,497,3668661,94223
1000,497,3661237,97069
1000,497,3573705,100147
1000,497,3634511,96803
1000,497,3847093,95698
1000,497,3838360,108137
1000,497,3685783,93519
1000,497,3775220,94888
1000,497,3609566,119553
1000,497,3818772,96718
1000,596,3678146,97324
1000,596,3721861,96791
1000,596,3676001,95746
1000,596,3810275,96999
1000,596,3798788,97834
1000,596,3746125,96259
1000,596,3792315,97603
1000,596,3695628,96885
1000,596,3702687,118332
1000,596,3903114,97008
1000,695,3835114,96113
1000,695,5768864,142809
1000,695,3612494,114028
1000,695,3657520,96163
1000,695,3781509,95321
1000,695,3625781,96437
1000,695,3620535,109246
1000,695,3646294,95328
1000,695,3888688,97399
1000,695,3827982,98531
1000,794,3660049,94636
1000,794,3640765,99784
1000,794,3744495,96908
1000,794,3616583,96880
1000,794,3614804,96382
1000,794,5653252,136747
1000,794,3640369,95286
1000,794,3658494,96144
1000,794,3723889,113880
1000,794,3690084,97547
1000,893,3657063,94752
1000,893,3645626,95146
1000,893,3692364,97505
1000,893,3743412,95903
1000,893,3685430,97201
1000,893,5922418,146098
1000,893,3721017,96283
1000,893,3702883,97338
1000,893,3810998,95143
1000,893,3851472,94182
1000,992,3664001,95366
1000,992,3636310,97444
1000,992,3764238,97021
1000,992,3626770,96440
1000,992,3674541,94398
1000,992,3610670,96597
1000,992,3711928,97244
1000,992,3671195,99883
1000,992,5729120,154139
1000,992,3697228,96172
