Pallet: "pallet-identity", Extrinsic: "add_registrar", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,extrinsic_time,storage_root_time
1,2012177,65513
1,1915548,58339
1,1975955,58877
1,2022264,59675
1,1891038,59503
1,2870737,103415
1,1977239,56492
1,1971882,73324
1,2326489,59375
1,2923873,115151
5,1841326,56721
5,1960245,56604
5,1887448,72657
5,1857399,62365
5,1849225,60388
5,1944252,60792
5,1859115,60637
5,1834722,59737
5,1900858,65693
5,1812883,62453
9,1834525,64866
9,1888022,62365
9,1808360,59956
9,1920490,62373
9,1891622,65522
9,2012965,67170
9,1883586,70858
9,1911922,61099
9,1819412,75001
9,1850991,64295
13,1997110,62470
13,1833742,61274
13,1897570,64143
13,2024308,76815
13,1881423,66763
13,1830960,66958
13,1809641,129799
13,1893187,60497
13,1879477,63998
13,2009390,63360
17,1844396,78883
17,1821666,73096
17,1877290,79596
17,2005158,82609
17,2123138,79663
17,1992541,63801
17,2863402,163871
17,3016129,140130
17,1828601,62367
17,1862312,62749
21,1865325,66766
21,1830956,71634
21,2006050,80693
21,1951981,64742
21,1900028,68112
21,1963880,64756
21,1992803,65728
21,1962987,64828
21,1928734,66035
21,1974631,65092
25,1881087,71856
25,2012195,82344
25,2014048,66064
25,2822900,149200
25,2104953,82581
25,1988560,65635
25,1900107,67471
25,1814191,65701
25,2008769,96406
25,1820252,66614
29,1878645,66854
29,1998577,64915
29,1847352,110574
29,1999727,63962
29,1981955,82201
29,1890659,66072
29,1815218,77986
29,3006597,161827
29,3065093,133723
29,1908534,66247
33,1921745,66524
33,1917140,71199
33,1936879,71289
33,1960526,67859
33,1894231,68618
33,2027116,84540
33,1868099,75347
33,1896706,67959
33,2003648,109351
33,1966865,84216
37,1876220,71578
37,2930042,143814
37,2912151,140855
37,2849752,149639
37,2036048,83304
37,2008945,84555
37,1838497,70087
37,2897270,146623
37,2052086,68613
37,1953311,82033
41,1958457,82400
41,1990759,70955
41,1897123,115335
41,1901705,69099
41,1898795,69726
41,2043340,70868
41,1872159,87326
41,1913311,157308
41,1913829,69099
41,1818031,70174
45,1999601,88030
45,1820159,71231
45,2037211,71725
45,2012396,70742
45,1996763,71498
45,1974032,70759
45,3098729,145490
45,1939309,72096
45,1880615,73467
45,1934968,71718
49,2025780,71991
49,2082241,72964
49,3029506,155875
49,1903352,71605
49,2087458,88392
49,1859070,71626
49,2063674,91642
49,2062220,88636
49,3158523,146829
49,1852496,73713
