Pallet: "pallet-identity", Extrinsic: "request_judgement", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,x,extrinsic_time,storage_root_time
1,100,2057502,85873
1,100,2212821,86734
1,100,3456533,138015
1,100,2115112,86998
1,100,2099600,85221
1,100,2049766,103383
1,100,2133451,90669
1,100,2065277,85670
1,100,2298703,89581
1,100,2099787,85464
5,100,2137322,88319
5,100,3521609,149441
5,100,2152267,100614
5,100,2330969,90067
5,100,2302150,105054
5,100,2139505,93351
5,100,2217209,91639
5,100,2133160,96059
5,100,2059650,97579
5,100,2269627,92321
9,100,2157659,99320
9,100,2095851,91562
9,100,2222362,91493
9,100,2106058,98214
9,100,2140669,102574
9,100,2179735,96144
9,100,2060869,100435
9,100,2207878,105932
9,100,2117998,103853
9,100,2133858,100280
13,100,3357716,139889
13,100,2158625,95070
13,100,2363554,100421
13,100,2228694,101816
13,100,2291578,103680
13,100,3399025,146320
13,100,2115789,101858
13,100,2301535,105294
13,100,2200278,113112
13,100,2265189,102882
17,100,2264193,103572
17,100,2251912,111354
17,100,2298426,101417
17,100,2103933,105544
17,100,2302376,101911
17,100,2254995,111167
17,100,2163146,102766
17,100,2299780,110601
17,100,2316586,103296
17,100,2083823,98715
21,100,2296961,102234
21,100,2255701,100573
21,100,2309210,99644
21,100,2086703,102531
21,100,2333668,99742
21,100,3689275,144098
21,100,2217123,106218
21,100,2195725,105903
21,100,3378471,141097
21,100,2308012,101255
25,100,2300212,103444
25,100,2129204,123793
25,100,2082513,101433
25,100,2125856,108082
25,100,2202567,103141
25,100,2141035,110282
25,100,2296906,111021
25,100,2115330,109757
25,100,3387364,148120
25,100,2185692,106973
29,100,2207981,104791
29,100,3642276,152917
29,100,2116309,107820
29,100,2193319,104336
29,100,2138158,106541
29,100,2105948,101198
29,100,2128139,109412
29,100,2231069,107600
29,100,2127224,101357
29,100,2085759,105215
33,100,2236637,173158
33,100,2256346,106139
33,100,2287713,102123
33,100,3496783,150606
33,100,2324631,112931
33,100,2277901,112493
33,100,2314721,113240
33,100,2302638,112342
33,100,2312373,107737
33,100,3488091,151747
37,100,2276089,105461
37,100,2213762,106986
37,100,2185656,108024
37,100,2271889,108440
37,100,2123424,118852
37,100,2375840,109808
37,100,2349177,107325
37,100,3303877,164211
37,100,2237161,115107
37,100,2255005,107345
41,100,2129897,113400
41,100,2167082,110960
41,100,2170548,111915
41,100,3320808,169461
41,100,2199386,111301
41,100,2113290,114089
41,100,2252215,117509
41,100,2415014,115230
41,100,2353145,110600
41,100,2369710,111476
45,100,2249590,117711
45,100,3582768,164916
45,100,2259817,118278
45,100,2251582,116963
45,100,2324230,119768
45,100,2233027,120916
45,100,2200754,119936
45,100,2427947,106935
45,100,2137329,113310
45,100,2254054,113711
49,100,2179238,118138
49,100,2373252,115602
49,100,2162132,160866
49,100,2377750,114272
49,100,2321025,115973
49,100,2224051,115584
49,100,2282814,111722
49,100,2251651,116835
49,100,3497170,161786
49,100,2291595,116698
50,1,1926759,111200
50,1,1909270,110249
50,1,1912967,111595
50,1,2134314,108520
50,1,3085951,186171
50,1,2175316,108331
50,1,1866666,113052
50,1,1936130,113790
50,1,1991482,172077
50,1,2053632,110863
50,10,2187154,105743
50,10,2120959,109740
50,10,2078477,113228
50,10,2071162,112927
50,10,1890186,111513
50,10,2028921,109691
50,10,2182288,112609
50,10,2186414,94048
50,10,2186653,109728
50,10,2009778,113566
50,19,2149004,107244
50,19,2071225,115732
50,19,2062165,160862
50,19,2169102,108592
50,19,2130409,112919
50,19,2089619,110833
50,19,2101414,108132
50,19,2062125,112265
50,19,1957198,116115
50,19,2035458,159360
50,28,1928494,121090
50,28,1986099,107867
50,28,2209047,116358
50,28,2097988,116628
50,28,2244523,114858
50,28,3066743,173761
50,28,2101737,117219
50,28,2067947,114828
50,28,1970674,136352
50,28,2110655,116032
50,37,2066617,114904
50,37,2082265,115713
50,37,2135292,111574
50,37,3220575,179973
50,37,2176579,117481
50,37,2147138,178811
50,37,2028896,116398
50,37,2008648,114092
50,37,1969296,118440
50,37,3232231,175876
50,46,2199112,118651
50,46,2138088,117153
50,46,2046019,114455
50,46,2188814,111537
50,46,2131245,106273
50,46,2069316,115968
50,46,2121772,118088
50,46,2210609,110034
50,46,2152215,111947
50,46,2242401,112920
50,55,2167736,115697
50,55,2219565,117203
50,55,2219315,121957
50,55,2096421,109422
50,55,2245388,113202
50,55,2109498,114900
50,55,2234659,117153
50,55,2058055,120833
50,55,2124869,119367
50,55,2083727,117766
50,64,2048394,117651
50,64,2289274,115901
50,64,2263938,113533
50,64,2059861,117195
50,64,2295552,117861
50,64,2040022,137556
50,64,2112598,129289
50,64,2109229,115878
50,64,2121026,118916
50,64,3457032,157584
50,73,2265222,112903
50,73,2173982,119613
50,73,2231583,150992
50,73,2237180,117710
50,73,2288957,117716
50,73,3363937,162104
50,73,2247922,116478
50,73,2260226,114029
50,73,2040557,114962
50,73,2156002,121299
50,82,2268015,118726
50,82,2076784,118496
50,82,2107446,119020
50,82,3572311,162588
50,82,2114082,111190
50,82,2313865,117653
50,82,2204410,120565
50,82,2289252,117885
50,82,2337977,121997
50,82,2306691,117571
50,91,2308574,117798
50,91,2086905,112734
50,91,3490467,163731
50,91,2278806,146270
50,91,2303583,116719
50,91,2176952,112831
50,91,2196190,119715
50,91,2146628,118542
50,91,2110220,110161
50,91,2199208,114556
50,100,2282781,119263
50,100,2378628,182699
50,100,2198081,118835
50,100,2158947,116446
50,100,2195806,114284
50,100,2164428,115462
50,100,2213054,117843
50,100,2194227,116473
50,100,2262829,121456
50,100,2101428,114802
