Pallet: "pallet-identity", Extrinsic: "set_fee", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,extrinsic_time,storage_root_time
1,145833,27513
1,54721,27901
1,50037,28106
1,40849,28143
1,43557,28538
1,50587,28701
1,60443,46330
1,46722,30631
1,59080,29673
1,143737,29458
5,46521,32047
5,62091,48004
5,183261,35468
5,45651,30435
5,182597,45933
5,184710,46224
5,48533,33691
5,220349,30729
5,45532,31142
5,63431,32524
9,212049,30422
9,56203,33495
9,157699,45796
9,50368,31904
9,70648,32569
9,50663,32306
9,57309,30378
9,221684,43872
9,47383,30122
9,49280,31984
13,157557,47422
13,50986,34094
13,51725,32931
13,83983,52825
13,49801,31749
13,224114,32642
13,200784,34337
13,188175,31567
13,85077,32401
13,180471,35877
17,52377,33691
17,74777,48645
17,55360,33601
17,185382,49915
17,54827,33234
17,60489,34874
17,71519,33093
17,66505,32943
17,54184,33009
17,54962,34409
21,204829,48550
21,71261,33230
21,60217,34853
21,227174,31904
21,72390,34583
21,79263,49918
21,189141,46935
21,222044,32603
21,56415,33910
21,71262,34057
25,207927,33729
25,79197,50407
25,187221,46614
25,62966,36152
25,74230,33806
25,59223,36134
25,59576,34799
25,56382,33543
25,61060,35958
25,226352,49307
29,63080,36169
29,78686,33521
29,89361,51457
29,67008,36702
29,192158,34037
29,63842,34675
29,64047,33840
29,66355,35720
29,64224,36734
29,62665,43748
33,66228,33659
33,63796,33885
33,235938,90853
33,84256,35976
33,69240,36767
33,198452,50146
33,249287,34283
33,234370,33653
33,198513,34223
33,270743,34204
37,266603,35097
37,95979,51398
37,272738,36491
37,209574,34541
37,215677,33876
37,71596,38324
37,95492,52220
37,233243,35100
37,228450,35417
37,72429,36137
41,71702,37785
41,73229,37818
41,249619,49995
41,219054,36048
41,75519,39046
41,244971,36496
41,220315,49934
41,222562,35776
41,83363,35112
41,205572,46592
45,234034,36225
45,84403,36662
45,73098,36977
45,258291,35354
45,71840,36873
45,223396,50095
45,72705,37393
45,69171,35620
45,70901,36250
45,240063,35496
49,74175,37549
49,240717,35879
49,109258,38683
49,75475,38359
49,304508,36059
49,79941,38305
49,88024,34775
49,246631,36419
49,169881,56016
49,268269,51782
