Pallet: "pallet-staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
1,3680983,177357
1,3647176,165547
1,3740232,165737
1,3829385,166313
1,3649717,166533
1,3790066,167980
1,3697158,163907
1,4054967,162772
1,3689055,163404
1,3752292,167094
100,7050852,1810313
100,7032483,1844376
100,7261618,1857043
100,7281618,1852051
100,7144285,1855909
100,7174368,1890868
100,6937914,1826947
100,7111608,1800859
100,7244458,1844834
100,7160688,1883470
199,11332626,2004474
199,7243232,1867293
199,7161304,1908741
199,7185904,1884699
199,7220524,1757736
199,7205261,1876312
199,7200753,1897867
199,7289311,1924301
199,11452289,7197667
199,7223038,1913954
298,7000331,1766566
298,7172693,1860597
298,7137714,1804935
298,7246391,1879898
298,7288655,1894615
298,7151315,1828554
298,7109531,1768087
298,7180565,1799541
298,7073541,1870316
298,10636999,11409826
397,3749893,168367
397,3847309,165461
397,3858721,166533
397,3853511,165216
397,3888203,165298
397,3750285,168204
397,3719544,171658
397,3742478,163235
397,3717863,166822
397,3770508,169088
496,3743512,166069
496,3915475,166771
496,3683486,164027
496,3727435,168631
496,3728030,166036
496,3841742,169882
496,3784600,171836
496,3936385,171180
496,3904080,168573
496,3730656,167151
595,3805364,167194
595,3774660,167241
595,3748389,209397
595,3857666,172343
595,3808454,169785
595,3808780,169343
595,3821723,162082
595,3737109,167533
595,3754196,179822
595,3863677,165249
694,3788716,167779
694,3755792,168118
694,3735515,175738
694,3760465,167027
694,3833641,164628
694,3797342,164484
694,3720007,163703
694,3896409,166971
694,3705622,165186
694,3864443,164664
793,7260381,1851760
793,7021637,1771053
793,7089381,1768749
793,7017451,1853802
793,10807724,1860353
793,7456302,1918247
793,7070730,1808558
793,7183060,1802660
793,7099805,1854950
793,7106241,1852156
892,10807353,1998984
892,7052818,1797145
892,16264617,11642146
892,7173030,1871409
892,7260568,1852163
892,7377819,1893264
892,7304676,2002263
892,11392698,12225544
892,7212054,1824998
892,10560164,1818400
991,7085004,1859109
991,7088023,1865884
991,7079036,1854672
991,7038266,1930090
991,7268877,1852180
991,11200765,11895639
991,7206529,1848928
991,7011090,1901008
991,7144054,1823645
991,7087334,1850668
