Pallet: "pallet-staking", Extrinsic: "set_validator_count", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
c,extrinsic_time,storage_root_time
0,13299,56003
0,12866,55850
0,14360,147830
0,15227,158526
0,12472,56021
0,12652,56339
0,12465,55828
0,12036,56167
0,12807,57063
0,12660,54981
100,34374,150369
100,12750,56373
100,13478,53876
100,13009,57223
100,13554,56471
100,12635,55929
100,12575,55123
100,13022,57388
100,13567,56058
100,12699,139149
200,12401,136914
200,12546,56248
200,13846,54660
200,12111,55704
200,13491,56904
200,13160,55346
200,13007,55226
200,13127,55575
200,13042,54450
200,13311,62464
300,12202,54515
300,13110,140932
300,13615,54386
300,12549,55378
300,12204,55975
300,13017,56969
300,12424,55625
300,13683,56283
300,13207,55966
300,12568,57081
400,13445,55856
400,13157,56245
400,13625,55541
400,12989,197629
400,12532,57175
400,12044,55036
400,13502,56165
400,15751,158572
400,13655,55648
400,13238,56607
500,11838,55193
500,12893,138464
500,12644,114386
500,12718,55529
500,13069,55118
500,11975,138421
500,13102,250707
500,13603,141776
500,12524,55845
500,13192,205502
600,13401,55698
600,13019,55077
600,13089,57093
600,12422,55986
600,12108,54213
600,12874,56093
600,13002,56329
600,14337,176892
600,12347,55495
600,12983,56414
700,13006,55638
700,13365,56246
700,12718,56375
700,12700,56819
700,14193,61429
700,13060,55886
700,13864,138937
700,13620,57196
700,12593,56566
700,11964,54500
800,11810,55546
800,12191,54366
800,12745,55504
800,13528,56538
800,52398,175348
800,12897,57511
800,13677,56213
800,12246,57978
800,13428,56963
800,12816,56273
900,12128,110219
900,13447,56424
900,12683,54722
900,12794,55854
900,12898,56808
900,12950,57289
900,12234,55360
900,13588,56067
900,12619,56343
900,14069,56532
1000,12234,57004
1000,13000,55130
1000,14058,57403
1000,13691,56296
1000,13141,55624
1000,12617,54916
1000,13611,56755
1000,12720,55044
1000,12423,57708
1000,13921,56904
