Pallet: "pallet-vesting", Extrinsic: "vested_transfer", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,9237465,5318402
0,9165659,5377452
0,9345202,5310286
0,9036933,5359340
0,8855431,5064769
0,8772971,5056674
0,13879014,14705949
0,13738328,14779427
0,13756803,14646503
0,17884284,14578640
100,13739053,13200511
100,13970264,13389855
100,14038267,13459590
100,13648214,13103655
100,13775610,13077254
100,13793173,13258537
100,13998996,13235971
100,22801065,13307489
100,14001726,13208538
100,13810686,13272258
200,17084406,16267894
200,17053498,16193754
200,17094041,16320644
200,16925047,16169309
200,16756338,16278793
200,16983800,16186723
200,17260360,16719364
200,17386960,16961919
200,52110165,16918519
200,17529228,16924410
300,49856190,17975752
300,16845767,17445385
300,16874341,17886241
300,50238347,17874768
300,16969079,17898184
300,17289350,17846269
300,17186798,18237531
300,17205683,18352743
300,50917669,18180281
300,17188720,18226594
400,13978698,16638978
400,13761952,16254285
400,13664956,16237856
400,13711470,16179099
400,13850100,16358806
400,13950238,16743922
400,14255115,17010708
400,13685355,16278264
400,13631519,16374296
400,13824091,16483004
500,13964695,14858379
500,13730106,14697075
500,13733127,14685131
500,13726985,14636916
500,13786389,14932928
500,14101904,14977841
500,13774774,14535607
500,13746074,14778014
500,13912113,14893412
500,13843889,14628196
600,13893120,14696851
600,13781933,14745370
600,13824268,15042478
600,13881001,14694447
600,13621634,14707291
600,27236753,14742180
600,14055344,15103907
600,13821845,14738353
600,13797567,14634038
600,13724066,14679784
700,16931844,16343141
700,16885325,16282103
700,17156972,16111526
700,17039825,16270638
700,47258352,16460398
700,17041012,16487640
700,17048340,16549423
700,17146509,16560329
700,17189185,16529920
700,17069242,16261798
800,13815337,14721912
800,22504399,14657352
800,22542162,14673562
800,13530066,14333426
800,13565653,14435120
800,13516950,14557447
800,13754523,14662020
800,27242667,14544180
800,26669214,14554408
800,13770778,14667988
900,17103457,17770210
900,16710523,17522319
900,16969630,17817606
900,43209983,17435651
900,38263580,17905535
900,16653543,17482521
900,16913361,17813293
900,17014503,17887426
900,16921144,17819616
900,47360233,17329794
1000,26682072,14368851
1000,13613180,14683046
1000,13629158,14576678
1000,13645148,14734849
1000,13709001,14733810
1000,28368206,15019487
1000,13727138,14554940
1000,13735559,14810749
1000,14087580,15066084
1000,13687737,14356400
