Pallet: "balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,262874,45051
1,1000,93156,40830
1,1000,102134,39542
1,1000,100264,46441
1,1000,257816,57359
1,1000,197450,41476
1,1000,91946,41328
1,1000,191751,38863
1,1000,253769,42311
1,1000,235558,40935
10,1000,95279,41415
10,1000,94864,41130
10,1000,94527,70428
10,1000,97009,40654
10,1000,92957,40800
10,1000,256297,53948
10,1000,94342,41631
10,1000,92092,40234
10,1000,96111,42145
10,1000,97111,41734
19,1000,91752,51224
19,1000,93962,45125
19,1000,112721,41136
19,1000,111454,41757
19,1000,214437,44058
19,1000,244899,49522
19,1000,98091,43982
19,1000,224075,40254
19,1000,97162,43180
19,1000,238350,57419
28,1000,242334,56869
28,1000,211029,40259
28,1000,252275,42553
28,1000,196111,41212
28,1000,191545,40846
28,1000,165620,60093
28,1000,145932,57890
28,1000,188425,40553
28,1000,99628,41267
28,1000,95098,41964
37,1000,244691,42380
37,1000,93528,44065
37,1000,297732,42390
37,1000,91242,38630
37,1000,103435,43175
37,1000,258231,39624
37,1000,101503,42656
37,1000,94872,60754
37,1000,187587,42873
37,1000,114553,59099
46,1000,191893,41994
46,1000,93369,41973
46,1000,189832,43735
46,1000,191672,41153
46,1000,194706,41264
46,1000,95179,41686
46,1000,93986,43488
46,1000,206068,42499
46,1000,187668,41124
46,1000,95130,42043
55,1000,96787,42458
55,1000,241880,40155
55,1000,93378,42561
55,1000,93162,41216
55,1000,97701,43038
55,1000,195538,41518
55,1000,92695,41583
55,1000,119538,41071
55,1000,97163,43504
55,1000,95372,42772
64,1000,191831,43155
64,1000,202376,42723
64,1000,191064,41876
64,1000,91835,44071
64,1000,250114,44707
64,1000,101642,43620
64,1000,147387,59783
64,1000,94536,42641
64,1000,238039,69608
64,1000,257668,41866
73,1000,188060,41380
73,1000,259130,40648
73,1000,246512,43155
73,1000,304480,46989
73,1000,91882,39261
73,1000,92451,41649
73,1000,92065,42358
73,1000,93970,44485
73,1000,247464,43557
73,1000,94336,43175
82,1000,97233,42990
82,1000,96913,41732
82,1000,259790,40058
82,1000,92867,42249
82,1000,95705,42551
82,1000,259392,41229
82,1000,96840,42606
82,1000,139826,51826
82,1000,148686,59455
82,1000,192149,44454
91,1000,188395,41708
91,1000,193409,42030
91,1000,225727,42879
91,1000,187165,42842
91,1000,127371,62387
91,1000,91841,38512
91,1000,92796,41957
91,1000,91499,41879
91,1000,214661,59060
91,1000,195005,42440
100,1000,211240,42591
100,1000,97159,42769
100,1000,122067,42487
100,1000,96824,82453
100,1000,96528,60116
100,1000,98194,62534
100,1000,148600,60019
100,1000,201738,41089
100,1000,204893,43402
100,1000,269114,57417
109,1000,93904,41542
109,1000,94059,56013
109,1000,92493,43643
109,1000,125661,62058
109,1000,96727,42502
109,1000,145154,58955
109,1000,93850,43215
109,1000,117931,46096
109,1000,196397,42300
109,1000,196929,43696
118,1000,105211,41771
118,1000,295928,41628
118,1000,214901,57901
118,1000,257032,40377
118,1000,312766,39859
118,1000,94658,42943
118,1000,94008,42054
118,1000,192640,44674
118,1000,255970,41425
118,1000,93532,42439
127,1000,157288,61252
127,1000,211633,43753
127,1000,138210,42807
127,1000,98856,107985
127,1000,96992,43612
127,1000,276113,39808
127,1000,94517,61340
127,1000,254487,56560
127,1000,147133,59269
127,1000,96579,41816
136,1000,92931,39934
136,1000,248170,41770
136,1000,193948,42974
136,1000,93586,42097
136,1000,93342,41962
136,1000,251087,40071
136,1000,95195,55511
136,1000,220174,41605
136,1000,149742,57414
136,1000,94440,42833
145,1000,94014,42675
145,1000,251182,42624
145,1000,93528,43187
145,1000,236250,43166
145,1000,95648,42545
145,1000,96429,42744
145,1000,260623,40659
