Pallet: "balances", Extrinsic: "set_balance_killing", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,156413,40114
1,1000,115476,41455
1,1000,298252,40631
1,1000,160031,38760
1,1000,269833,39087
1,1000,161895,39642
1,1000,121407,41026
1,1000,111056,41597
1,1000,113734,42646
1,1000,116487,40651
10,1000,110689,40419
10,1000,211689,43449
10,1000,319105,38257
10,1000,181004,56584
10,1000,216771,41216
10,1000,111043,38462
10,1000,148537,47298
10,1000,112191,41944
10,1000,113586,41239
10,1000,135464,42885
19,1000,225317,60039
19,1000,124485,43198
19,1000,112152,41949
19,1000,208806,41049
19,1000,114836,41424
19,1000,284934,38504
19,1000,359661,39551
19,1000,111515,41314
19,1000,270999,39582
19,1000,114429,56019
28,1000,113046,122599
28,1000,113919,41257
28,1000,111763,40881
28,1000,110852,37732
28,1000,113120,40719
28,1000,212036,42726
28,1000,113774,38934
28,1000,114350,40564
28,1000,267076,41959
28,1000,114640,41909
37,1000,116644,40566
37,1000,112093,43235
37,1000,232139,42707
37,1000,116202,41839
37,1000,122075,43309
37,1000,111979,40748
37,1000,116767,41033
37,1000,117382,39595
37,1000,114313,42188
37,1000,110695,41340
46,1000,113409,40898
46,1000,114584,40926
46,1000,112423,41700
46,1000,113890,42103
46,1000,278669,39034
46,1000,301701,38523
46,1000,274203,43068
46,1000,115913,43524
46,1000,115138,40858
46,1000,114959,40232
55,1000,208429,42879
55,1000,261369,38345
55,1000,111739,38580
55,1000,113294,40631
55,1000,121370,82186
55,1000,211261,41489
55,1000,112255,40245
55,1000,112090,40952
55,1000,113028,42275
55,1000,115225,41093
64,1000,113379,41451
64,1000,176208,55270
64,1000,266641,42148
64,1000,114997,41527
64,1000,112110,42881
64,1000,119480,42772
64,1000,112434,41829
64,1000,115169,41911
64,1000,119418,40626
64,1000,182931,57787
73,1000,112997,40796
73,1000,196982,55051
73,1000,194774,53701
73,1000,111600,42246
73,1000,110890,41411
73,1000,315081,44700
73,1000,206929,42728
73,1000,207310,43166
73,1000,206655,41310
73,1000,286786,42299
82,1000,181970,56692
82,1000,281562,38753
82,1000,280887,38798
82,1000,175238,43194
82,1000,113555,41982
82,1000,122225,43606
82,1000,179553,56585
82,1000,119355,42358
82,1000,250861,43956
82,1000,210352,42653
91,1000,259267,42478
91,1000,112733,41874
91,1000,290265,55621
91,1000,112001,41578
91,1000,120423,41739
91,1000,214132,42823
91,1000,248650,42917
91,1000,111845,42647
91,1000,262445,86634
91,1000,114615,40509
100,1000,206282,44436
100,1000,114784,43281
100,1000,113851,41336
100,1000,183924,57149
100,1000,117052,40782
100,1000,266132,40906
100,1000,122217,43185
100,1000,114720,40847
100,1000,129897,41045
100,1000,113133,41752
109,1000,112821,43825
109,1000,113541,42741
109,1000,138113,43972
109,1000,154864,41920
109,1000,112247,42459
109,1000,287622,39033
109,1000,113505,42946
109,1000,109781,38670
109,1000,119985,43447
109,1000,260458,40099
118,1000,190881,57546
118,1000,113885,41542
118,1000,115597,43491
118,1000,112958,41795
118,1000,114677,41277
118,1000,114554,41676
118,1000,112479,42619
118,1000,180606,57074
118,1000,240338,38986
118,1000,113282,43215
127,1000,279626,39358
127,1000,112809,43236
127,1000,209208,43371
127,1000,208308,43468
127,1000,113696,41617
127,1000,321745,39846
127,1000,289885,38954
127,1000,110778,41398
127,1000,110005,42089
127,1000,113630,44005
136,1000,117998,39698
136,1000,115851,43599
136,1000,209079,42984
136,1000,182093,57587
136,1000,116663,44890
136,1000,119722,42075
136,1000,109609,38561
136,1000,115232,42562
136,1000,113212,42183
136,1000,112494,41375
145,1000,180547,55776
145,1000,199027,41659
145,1000,120881,42277
145,1000,138520,42891
145,1000,113333,42220
145,1000,113124,42859
145,1000,269005,59017
145,1000,114343,56233
145,1000,118512,50879
145,1000,282356,57152
154,1000,111685,62712
154,1000,245329,73140
154,1000,117990,44275
154,1000,220005,43054
154,1000,206769,42814
154,1000,284395,40552
154,1000,110901,40715
154,1000,112881,43970
154,1000,110860,43563
154,1000,114002,43698
163,1000,168530,58765
163,1000,113225,43920
163,1000,116595,44438
163,1000,265799,55519
163,1000,112629,44041
163,1000,214595,42219
163,1000,157308,58013
163,1000,114963,44256
163,1000,281579,39285
163,1000,213181,42681
172,1000,113537,42843
172,1000,116385,42144
172,1000,167838,44786
172,1000,112064,42082
172,1000,112370,42182
172,1000,285606,39775
172,1000,114939,42878
172,1000,208657,42696
172,1000,134421,41947
172,1000,181576,57052
181,1000,215341,42546
181,1000,117186,43580
181,1000,113223,44473
181,1000,135671,44042
181,1000,207030,43471
181,1000,114312,42421
181,1000,113658,139359
181,1000,125808,41415
181,1000,286809,56639
181,1000,111946,42844
190,1000,132639,46525
190,1000,244558,40249
190,1000,114993,43750
190,1000,115509,41856
190,1000,112165,42266
190,1000,116401,43767
190,1000,290089,65958
190,1000,116309,42675
190,1000,208762,42052
190,1000,112811,42968
199,1000,118048,43292
199,1000,184227,57021
199,1000,116196,43185
199,1000,254955,42970
199,1000,123269,81219
199,1000,114485,42265
199,1000,210799,43306
199,1000,113341,41984
199,1000,112220,41138
199,1000,201412,58469
208,1000,110996,42235
208,1000,180657,44639
208,1000,110631,41845
208,1000,109735,43396
208,1000,206785,42915
208,1000,110567,57216
208,1000,112597,44460
208,1000,111574,42287
208,1000,113170,43255
208,1000,110225,41834
217,1000,271251,39869
217,1000,114625,42035
217,1000,117816,41613
217,1000,212996,43025
217,1000,117844,42449
217,1000,113972,43472
217,1000,120120,42608
217,1000,308869,40728
217,1000,211700,42735
217,1000,217125,43125
226,1000,118818,43364
226,1000,275626,56431
226,1000,119517,43256
226,1000,153885,61453
226,1000,288884,40398
226,1000,293886,39792
226,1000,117674,64109
226,1000,119320,42494
226,1000,113991,86644
