Pallet: "pallet-identity", Extrinsic: "set_fee", Lowest values: [], Highest values: [], Steps: [10], Repeat: 100
r,extrinsic_time,storage_root_time
1,197170,41584
1,42766,43373
1,251991,32706
1,70735,27906
1,58560,36027
1,50342,47788
1,59982,33523
1,39529,25292
1,69539,38382
1,205632,23471
1,46210,29936
1,50325,26326
1,47743,27701
1,177213,28402
1,154588,25666
1,176430,25160
1,43596,25396
1,170448,30347
1,46489,25969
1,219381,23189
1,41575,42535
1,224818,24162
1,41992,23273
1,61733,39459
1,187916,23542
1,43362,24352
1,42313,24835
1,48915,26873
1,189131,30113
1,54056,27503
1,147185,24461
1,41513,23283
1,52331,29314
1,145046,23780
1,51949,39746
1,55504,35424
1,46458,24708
1,181385,30916
1,52766,27216
1,47577,31128
1,46502,26798
1,52762,35468
1,147669,22919
1,42230,23219
1,63212,24711
1,39341,24684
1,42842,23561
1,41190,23282
1,161685,24002
1,48069,24620
1,157289,24337
1,43835,22959
1,173867,31335
1,43760,24922
1,48212,28121
1,212138,22597
1,225432,24638
1,60161,24449
1,42081,27006
1,140279,23565
1,144767,23402
1,40996,23533
1,38690,21951
1,42121,22596
1,55636,35135
1,45982,24940
1,40990,23107
1,39442,24155
1,209345,24815
1,233975,23786
1,184842,34348
1,196701,25496
1,41043,23840
1,40094,25483
1,43581,25112
1,153194,23699
1,51458,27182
1,199109,24317
1,43780,24854
1,41563,23420
1,39266,22600
1,40403,24470
1,212507,35105
1,245510,26138
1,45637,26830
1,41017,23616
1,39532,22981
1,160130,27460
1,71889,36634
1,40011,22180
1,161287,30613
1,193074,23737
1,40420,21928
1,57387,26834
1,170648,23732
1,47411,25949
1,153875,24200
1,42078,23786
1,60406,45132
1,42892,25377
5,148523,26219
5,59347,28835
5,46608,24583
5,47126,26301
5,48673,25713
5,171578,31069
5,164135,27036
5,60981,31472
5,172548,29576
5,231767,28401
5,45577,24786
5,144913,23833
5,45509,24886
5,46958,25671
5,169021,24509
5,62812,38158
5,42443,23277
5,158792,33519
5,159381,22996
5,64639,34786
5,162603,24958
5,43635,24763
5,51623,27604
5,59222,36208
5,42556,24486
5,58286,36377
5,45469,25855
5,45627,39855
5,43237,22904
5,44238,24635
5,42459,24265
5,47661,23082
5,45363,25664
5,52567,28089
5,69400,27180
5,147691,24882
5,44302,23778
5,152250,26018
5,50786,26791
5,47682,25497
5,166248,26528
5,152609,45863
5,181998,28234
5,146068,25149
5,225366,23778
5,59807,34698
5,44682,25795
5,42107,23752
5,61954,29351
5,162927,24999
5,176207,27996
5,46709,25755
5,151187,30846
5,43463,24249
5,59848,35736
5,60803,35683
5,154722,23788
5,66348,25411
5,43992,24921
5,64283,23915
5,145244,23608
5,42784,24521
5,42833,39954
5,42944,23710
5,167040,28171
5,45811,24441
5,44436,23924
5,48956,25275
5,198685,25790
5,45150,25976
5,198024,24643
5,184075,28632
5,53642,34864
5,41451,22593
5,198493,24740
5,243689,27327
5,42737,24900
5,210555,39280
5,44919,24816
5,44888,24949
5,42373,24607
5,46767,23623
5,59934,24327
5,40571,24639
5,61677,37501
5,41900,22343
5,179676,22830
5,60837,36486
5,42920,23984
5,44088,33726
5,60671,37238
5,40812,22599
5,41734,23223
5,178964,33487
5,44775,24883
5,44002,25738
5,180736,33184
5,43596,25605
5,43025,25837
5,44537,24625
9,188718,24390
9,45441,23860
9,46822,26359
9,243777,25166
9,53362,28725
9,59141,38355
9,82530,38614
9,183093,33641
9,46110,24061
9,216975,30307
9,199977,32072
9,48345,36433
9,177140,26994
9,49629,25658
9,44761,24045
9,315879,66961
9,84616,45966
9,232372,38349
9,53194,28123
9,69827,26076
9,46101,24618
9,232253,29206
9,213526,44690
9,69609,39704
9,48482,26658
9,47137,26688
9,146660,24257
9,205148,24134
9,213863,24026
9,188586,24534
9,64727,38039
9,179211,36162
9,44751,23613
9,222959,24058
9,190481,26094
9,241351,25964
9,182290,26478
9,48498,27201
9,48157,25653
9,45907,23320
9,50595,26790
9,65528,37811
9,215906,24344
9,45368,25890
9,46632,27125
9,50417,27509
9,266015,24670
9,47774,28574
9,178837,33338
9,64282,39148
9,146537,24443
9,48507,26225
9,166119,27613
9,43605,23746
9,189384,35901
9,183130,34797
9,81596,26937
9,66243,44793
9,46438,25758
9,51154,26839
9,46291,26438
9,44523,25516
9,65231,39746
9,157042,27582
9,145890,24242
9,45033,24358
9,217995,25975
9,202385,27289
9,181893,34666
9,50877,27505
9,142615,26034
9,46799,28118
9,184919,23536
9,46516,26376
9,64977,40130
9,152490,24665
9,64744,24103
9,46222,25593
9,48336,26876
9,45949,26839
9,147106,24104
9,45889,46821
9,45611,26612
9,64028,38691
9,45936,26320
9,165135,26987
9,45435,24980
9,143699,24258
9,45457,25428
9,221145,48195
9,54678,25003
9,208582,27903
9,190816,41468
9,45823,26426
9,242462,44549
9,47399,25153
9,195755,62739
9,95053,42506
9,73055,34453
9,154565,26889
13,209510,27594
13,226867,46334
13,67164,25728
13,198702,37632
13,204058,25304
13,184838,28675
13,48309,25214
13,174411,25919
13,58144,34108
13,70877,40366
13,149460,24997
13,188755,30844
13,166579,35414
13,147158,27453
13,48677,26781
13,232237,25011
