Pallet: "balances", Extrinsic: "transfer_best_case", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,218436,45472
1,1000,232767,56098
1,1000,288949,43469
1,1000,322740,65960
1,1000,137965,45661
1,1000,142146,45077
1,1000,279921,49283
1,1000,330423,66531
1,1000,285362,45088
1,1000,133641,45941
10,1000,132187,43956
10,1000,235694,45121
10,1000,294110,45880
10,1000,215113,62985
10,1000,132468,42921
10,1000,130928,49515
10,1000,135773,44623
10,1000,133256,44780
10,1000,137814,45435
10,1000,292751,43293
19,1000,134261,45698
19,1000,245120,47775
19,1000,135199,44352
19,1000,256569,43391
19,1000,182532,52557
19,1000,293057,45064
19,1000,234329,45455
19,1000,144375,47264
19,1000,302978,44544
19,1000,319143,43471
28,1000,334871,44792
28,1000,154770,45770
28,1000,225068,44347
28,1000,133982,45535
28,1000,133884,46713
28,1000,137266,47243
28,1000,192146,47095
28,1000,286640,43634
28,1000,212786,63505
28,1000,231672,47422
37,1000,136712,47508
37,1000,223888,72696
37,1000,283742,46073
37,1000,132997,44225
37,1000,146689,46909
37,1000,135967,46598
37,1000,144519,44163
37,1000,270878,46824
37,1000,317711,62659
37,1000,133683,45456
46,1000,245977,46670
46,1000,271824,45552
46,1000,131078,43116
46,1000,134398,55636
46,1000,212689,63657
46,1000,134197,58716
46,1000,243103,43785
46,1000,134683,45933
46,1000,291506,44205
46,1000,135649,46421
55,1000,135187,49533
55,1000,136973,45813
55,1000,251335,47138
55,1000,135807,46577
55,1000,232281,45925
55,1000,235289,45056
55,1000,136391,46252
55,1000,300458,45135
55,1000,299399,45385
55,1000,317493,66221
64,1000,176196,60874
64,1000,137383,45828
64,1000,132891,46852
64,1000,134548,68903
64,1000,247675,46564
64,1000,308318,43628
64,1000,255974,43983
64,1000,135726,45917
64,1000,286176,46849
64,1000,220280,66776
73,1000,143501,46791
73,1000,135785,48687
73,1000,136645,47557
73,1000,291654,44572
73,1000,130976,42978
73,1000,132256,42873
73,1000,252648,45665
73,1000,134295,46814
73,1000,135122,46879
73,1000,140030,45435
82,1000,185423,68534
82,1000,131017,115287
82,1000,209995,63241
82,1000,283532,47662
82,1000,133318,47040
82,1000,313054,63393
82,1000,244796,55719
82,1000,134164,47948
82,1000,291218,44292
82,1000,267924,47438
91,1000,299329,44119
91,1000,302201,44034
91,1000,229479,65085
91,1000,135904,46345
91,1000,144898,64205
91,1000,135021,46854
91,1000,158081,49665
91,1000,341896,44664
91,1000,137858,46005
91,1000,250423,52118
100,1000,295528,51620
100,1000,255354,44326
100,1000,135893,63794
100,1000,135062,43738
100,1000,240094,47699
100,1000,137792,48457
100,1000,134254,45965
100,1000,145692,48244
100,1000,275063,47014
100,1000,138756,47666
109,1000,306580,45510
109,1000,133476,47664
109,1000,139099,44896
109,1000,192471,48043
109,1000,141899,53661
109,1000,150506,48600
109,1000,137143,49600
109,1000,141159,63438
109,1000,144421,53093
109,1000,138870,46975
118,1000,271465,48991
118,1000,270632,46829
118,1000,296201,45823
118,1000,276229,60515
118,1000,298009,43947
118,1000,134320,45552
118,1000,255868,44247
118,1000,135363,45560
118,1000,249924,46894
118,1000,134949,46713
127,1000,135306,46526
127,1000,138030,48309
127,1000,137107,48925
127,1000,170265,48271
127,1000,135370,47557
127,1000,228908,43864
127,1000,139176,47587
127,1000,135040,44375
127,1000,331963,64548
127,1000,136697,46808
136,1000,132631,47211
136,1000,156542,49755
136,1000,135149,47925
136,1000,320898,65552
136,1000,137977,50335
136,1000,132883,49078
136,1000,279349,76107
136,1000,265216,55707
136,1000,236817,58092
136,1000,307887,71691
145,1000,260962,49068
145,1000,255882,46505
145,1000,280910,54492
145,1000,264001,74045
145,1000,139182,47469
145,1000,135014,45981
145,1000,140715,47169
145,1000,153487,48677
145,1000,136050,47100
145,1000,136835,47663
154,1000,239139,48705
154,1000,278299,45195
154,1000,238170,47661
154,1000,136048,45721
154,1000,135007,48101
154,1000,372171,52312
154,1000,139784,49455
154,1000,252649,50000
154,1000,241086,50161
154,1000,139987,63572
163,1000,266196,49875
163,1000,134022,48704
163,1000,144221,47238
163,1000,181546,48264
163,1000,141226,47151
163,1000,284591,44737
163,1000,131990,46226
163,1000,266964,45652
163,1000,193749,46655
163,1000,157393,45858
172,1000,306844,46399
172,1000,298040,67255
172,1000,140746,48326
172,1000,277547,46213
172,1000,236830,48495
172,1000,138879,47439
172,1000,140618,49755
172,1000,134397,46115
172,1000,152679,46658
172,1000,317738,63670
181,1000,130091,47246
181,1000,136313,47216
181,1000,312121,45336
181,1000,143986,64536
181,1000,136022,46572
181,1000,261855,65828
181,1000,223942,46246
181,1000,220373,48367
181,1000,140672,51358
181,1000,314456,43939
190,1000,195052,77646
190,1000,247535,89746
190,1000,284213,54355
190,1000,379050,92938
190,1000,302227,68980
190,1000,237695,69919
190,1000,140886,50129
190,1000,276178,50309
190,1000,141988,46378
190,1000,140724,47353
199,1000,252937,45773
199,1000,237258,64096
199,1000,295688,45542
199,1000,141912,50067
199,1000,136841,63019
199,1000,172227,52308
199,1000,135592,46142
199,1000,295236,48475
199,1000,144133,48201
199,1000,259359,46440
208,1000,174654,58247
208,1000,371035,53461
208,1000,145906,49586
208,1000,139129,45959
208,1000,147980,50373
208,1000,337151,48823
208,1000,145886,47795
208,1000,171030,70819
208,1000,251368,47872
208,1000,243290,51668
217,1000,259712,44936
217,1000,132304,44342
217,1000,255022,51184
217,1000,280107,48787
217,1000,357666,61948
217,1000,140693,51284
217,1000,161600,61189
217,1000,247096,46703
217,1000,142798,50137
217,1000,302429,60630
226,1000,236049,53245
226,1000,155409,52390
226,1000,137894,48531
226,1000,152533,51315
226,1000,152747,53413
226,1000,142508,48824
226,1000,134961,46275
226,1000,147890,62490
226,1000,136971,49169
226,1000,137058,87580
235,1000,134984,50970
235,1000,226012,69236
235,1000,192833,47212
235,1000,131927,66766
235,1000,148691,46081
235,1000,131865,47183
235,1000,133691,48724
235,1000,134555,47533
235,1000,313183,46140
235,1000,352732,52735
244,1000,137808,47612
244,1000,216443,64475
244,1000,161101,47695
244,1000,397518,90983
244,1000,310944,70672
244,1000,140490,46554
244,1000,160634,49183
244,1000,139382,48166
244,1000,139011,47322
244,1000,148762,47928
253,1000,318753,47757
253,1000,138579,47983
253,1000,154150,48325
253,1000,232217,47740
253,1000,141817,46505
253,1000,133335,46676
253,1000,215945,48131
253,1000,135850,47709
253,1000,135675,47365
253,1000,222447,66747
262,1000,150724,44022
262,1000,324909,47042
262,1000,318949,45839
262,1000,168394,48375
262,1000,137810,47409
262,1000,144617,48286
262,1000,149871,47329
262,1000,139389,47890
262,1000,140874,47175
262,1000,243234,45960
271,1000,269260,46210
271,1000,136629,46019
271,1000,196124,81253
271,1000,331144,51212
271,1000,299866,51051
271,1000,295698,49620
271,1000,305510,59331
271,1000,262161,55248
271,1000,347278,55863
271,1000,171707,54124
280,1000,142774,51520
280,1000,271502,53078
280,1000,141393,51820
280,1000,155976,57951
280,1000,146077,60640
280,1000,140294,48750
280,1000,158877,56673
280,1000,150652,59115
280,1000,138556,47952
280,1000,145053,48714
289,1000,254637,48965
289,1000,198383,67407
289,1000,272018,49346
289,1000,140689,48419
289,1000,270317,48533
289,1000,145709,49584
289,1000,160930,48142
289,1000,332956,65754
289,1000,227019,67450
289,1000,266767,83417
298,1000,270299,47774
298,1000,295725,45400
298,1000,289307,48024
298,1000,220008,66147
298,1000,327210,66573
298,1000,362680,73144
298,1000,144710,48400
298,1000,142254,46215
298,1000,236508,48163
298,1000,236837,49755
307,1000,140066,49145
307,1000,136427,47801
307,1000,142541,50780
307,1000,429976,81546
307,1000,217705,65233
307,1000,309913,56831
307,1000,141006,47274
307,1000,135993,46967
307,1000,156027,50972
307,1000,249528,46262
316,1000,184852,48214
316,1000,159394,51193
316,1000,223434,74428
316,1000,238227,58366
316,1000,147846,53358
316,1000,323910,76805
316,1000,242388,55229
316,1000,308185,55975
316,1000,343717,78347
316,1000,143991,52084
325,1000,264513,49229
325,1000,145200,49245
325,1000,338420,48886
325,1000,138950,49531
325,1000,264386,48535
325,1000,227561,67421
325,1000,175683,54037
325,1000,348890,88894
325,1000,156530,51165
325,1000,240919,53674
334,1000,240831,75009
334,1000,339087,71584
334,1000,264402,62599
334,1000,324080,68163
334,1000,163816,48912
334,1000,281172,50294
334,1000,226432,73550
334,1000,323886,87888
334,1000,269531,51709
334,1000,421154,50726
343,1000,138199,50384
343,1000,289715,50035
343,1000,145122,67995
343,1000,179950,48890
343,1000,154771,56205
343,1000,143968,48555
343,1000,338082,77366
343,1000,269967,48983
343,1000,261550,50808
343,1000,133244,48071
352,1000,303710,55968
352,1000,345541,72444
352,1000,275079,51932
352,1000,139841,48463
352,1000,372686,78149
352,1000,138329,48904
352,1000,418193,76511
352,1000,139686,47069
352,1000,240915,74164
352,1000,258699,55118
361,1000,164677,61163
361,1000,242715,47939
361,1000,240465,48893
361,1000,138995,46522
361,1000,234746,47321
361,1000,258683,47346
361,1000,139258,45890
361,1000,296229,51475
361,1000,141975,49169
361,1000,283070,50125
370,1000,262951,49651
370,1000,147307,48834
370,1000,154003,47837
370,1000,258602,46284
370,1000,304387,46416
370,1000,239707,49658
370,1000,265138,47320
370,1000,148305,50039
370,1000,146728,74827
370,1000,327209,64393
379,1000,345076,68876
379,1000,146189,50812
379,1000,267911,48098
379,1000,142792,59710
379,1000,275421,51125
379,1000,240121,51985
379,1000,154537,53089
379,1000,270947,49414
379,1000,244848,54209
379,1000,149860,52048
388,1000,367377,50871
388,1000,130580,47087
388,1000,263919,54870
388,1000,172638,67614
388,1000,147139,45629
388,1000,145065,47481
388,1000,133602,47879
388,1000,295716,48320
388,1000,300423,45316
388,1000,249414,51372
397,1000,139053,48297
397,1000,144620,49139
397,1000,369519,56100
397,1000,235298,50615
397,1000,317301,48191
397,1000,258548,46621
397,1000,233407,89771
397,1000,137356,48703
397,1000,140444,63463
397,1000,136167,47819
406,1000,140574,50732
406,1000,143372,48526
406,1000,285278,55504
406,1000,155267,48489
406,1000,152497,50174
406,1000,143636,49448
406,1000,323722,47392
406,1000,152068,49366
406,1000,142530,52604
406,1000,316390,52284
415,1000,143611,45849
415,1000,132981,47069
415,1000,137736,45915
415,1000,137937,47546
415,1000,262271,49770
415,1000,143220,49469
415,1000,137970,48206
415,1000,321658,47846
415,1000,141215,47312
415,1000,296219,45843
424,1000,302367,46867
424,1000,285896,45431
424,1000,134533,49421
424,1000,136413,50210
424,1000,134225,48700
424,1000,192477,48158
424,1000,258724,64916
424,1000,187001,46339
424,1000,316590,47322
424,1000,241213,46663
433,1000,208958,48639
433,1000,171500,62200
433,1000,191896,68277
433,1000,139928,47921
433,1000,133699,46687
433,1000,304695,45014
433,1000,163883,48157
433,1000,136023,47940
433,1000,270529,48389
433,1000,289996,48568
442,1000,138650,57720
442,1000,329441,60994
442,1000,134926,48655
442,1000,318736,85873
442,1000,291343,46772
442,1000,134970,47372
442,1000,135914,47035
442,1000,142480,49344
442,1000,338401,45196
442,1000,150059,54123
451,1000,318271,67419
451,1000,319941,47368
451,1000,139369,47775
451,1000,152983,51216
451,1000,234533,65165
451,1000,135903,45187
451,1000,139217,49504
451,1000,134846,48373
451,1000,142202,49628
451,1000,299667,64146
460,1000,138830,48013
460,1000,229085,49690
460,1000,230073,48191
460,1000,142059,46661
