Pallet: "balances", Extrinsic: "transfer_keep_alive", Lowest values: [], Highest values: [], Steps: [100], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,152129,51858
1,1000,157537,54275
1,1000,174852,45463
1,1000,147900,39583
1,1000,269850,39295
1,1000,318304,38448
1,1000,148485,40067
1,1000,249953,42013
1,1000,150554,39527
1,1000,360537,57265
10,1000,151045,39469
10,1000,190896,41841
10,1000,154571,41274
10,1000,154804,41283
10,1000,152235,49891
10,1000,275310,44177
10,1000,149022,38665
10,1000,306095,42609
10,1000,150711,40539
10,1000,158318,41096
19,1000,328591,53733
19,1000,326342,43289
19,1000,166306,40627
19,1000,390885,47921
19,1000,159860,41705
19,1000,157476,39237
19,1000,234445,43874
19,1000,148189,38772
19,1000,325338,39485
19,1000,147080,40091
28,1000,175166,40819
28,1000,154547,40901
28,1000,151149,43050
28,1000,149219,38656
28,1000,153945,41421
28,1000,154309,41283
28,1000,151497,40795
28,1000,153170,40962
28,1000,250866,41141
28,1000,264143,42137
37,1000,303635,51012
37,1000,150893,40472
37,1000,151041,40589
37,1000,155176,39204
37,1000,319479,40447
37,1000,150882,40858
37,1000,157904,39058
37,1000,293164,40415
37,1000,309848,42482
37,1000,150122,42117
46,1000,356172,57678
46,1000,152618,41210
46,1000,152225,41734
46,1000,156522,41294
46,1000,152107,42017
46,1000,204814,45256
46,1000,153345,39447
46,1000,387639,56002
46,1000,149802,39189
46,1000,149491,41501
55,1000,154264,43321
55,1000,151795,43830
55,1000,269899,40597
55,1000,167841,41536
55,1000,248607,42740
55,1000,164629,42229
55,1000,249922,42812
55,1000,151712,64209
55,1000,344335,56702
55,1000,159685,42944
64,1000,333804,53810
64,1000,150210,41144
64,1000,154651,39998
64,1000,147417,42095
64,1000,189197,41605
64,1000,153886,43225
64,1000,164685,42503
64,1000,254228,42288
64,1000,155186,43255
64,1000,260010,55555
73,1000,149399,42608
73,1000,239473,74345
73,1000,345865,57736
73,1000,160840,41224
73,1000,246354,41501
73,1000,249501,41750
73,1000,265730,41741
73,1000,152758,40669
73,1000,156217,41464
73,1000,158576,40399
82,1000,249643,43350
82,1000,150382,42794
82,1000,151039,40887
82,1000,248976,49708
82,1000,155372,41127
82,1000,165219,41810
82,1000,179075,50715
82,1000,151308,41674
82,1000,247142,42551
82,1000,156487,41169
91,1000,155947,61244
91,1000,250221,43278
91,1000,153275,44054
91,1000,153380,44153
91,1000,301940,40511
91,1000,153726,42343
91,1000,245290,43535
91,1000,158479,43972
91,1000,159068,43721
91,1000,178567,41005
100,1000,249029,43444
100,1000,156670,44838
100,1000,154349,42264
100,1000,240103,59585
100,1000,262315,42848
100,1000,151642,42769
100,1000,248236,43850
100,1000,150390,39793
100,1000,153718,41609
100,1000,151392,42647
109,1000,155921,40685
109,1000,337845,41873
109,1000,150016,39538
109,1000,311653,42477
109,1000,308645,42855
109,1000,255119,43532
109,1000,257773,56371
109,1000,155433,42514
109,1000,251746,42576
109,1000,153149,40826
118,1000,153095,43185
118,1000,153983,43129
118,1000,149124,39788
118,1000,151902,43286
118,1000,152599,41846
118,1000,269757,42949
118,1000,157413,48098
118,1000,156690,41182
118,1000,300311,43930
118,1000,151624,43503
127,1000,171411,42600
127,1000,166490,45233
127,1000,151998,41496
127,1000,354256,55811
127,1000,153975,42637
127,1000,196338,42208
127,1000,393129,54068
127,1000,154800,42565
127,1000,156619,41407
127,1000,156255,39984
136,1000,208401,43924
136,1000,152344,42133
