Pallet: "pallet-balances", Extrinsic: "transfer_keep_alive", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,e,extrinsic_time,storage_root_time
1,1000,18830648,6654564
1,1000,17327588,2632405
1,1000,17437492,2142085
1,1000,17175682,2264490
1,1000,22767104,2373394
1,1000,19427972,3216828
1,1000,17075578,2659006
1,1000,16025636,2269791
1,1000,19016355,3999659
1,1000,15231005,2388795
100,1000,20817526,2580003
100,1000,18928752,3747949
100,1000,19324567,3848853
100,1000,17575798,2719608
100,1000,20020995,2629305
100,1000,19267265,4108663
100,1000,13719145,2407595
100,1000,15987234,2893315
100,1000,23021013,2966418
100,1000,19096758,4042560
199,1000,18083418,2190587
199,1000,16169642,2256090
199,1000,13635041,2528400
199,1000,16371650,2054181
199,1000,18384830,2363094
199,1000,17824808,3517039
199,1000,19472573,2830212
199,1000,17569497,2363594
199,1000,18639040,3975157
199,1000,23960551,3634244
298,1000,17944012,2393995
298,1000,18938952,5524219
298,1000,17115879,2521900
298,1000,19635679,3392635
298,1000,14887590,2497300
298,1000,16728064,2326893
298,1000,17288786,2721308
298,1000,18134320,3418436
298,1000,14811687,2307392
298,1000,18028915,4213267
397,1000,17051976,2199288
397,1000,20411210,8104322
397,1000,13776447,2631704
397,1000,17721403,3628844
397,1000,18002014,3183626
397,1000,21670359,3283531
397,1000,23969851,2323092
397,1000,17718903,3772850
397,1000,17100878,2392595
397,1000,17290486,2313092
496,1000,14588178,169207
496,1000,11251547,158006
496,1000,11436953,131806
496,1000,32164776,161606
496,1000,15624819,152807
496,1000,10964334,132606
496,1000,8030718,150406
496,1000,16024735,241410
496,1000,16414251,237109
496,1000,17013275,151406
595,1000,19100557,3488939
595,1000,18973752,4209067
595,1000,22561695,4196566
595,1000,18930650,4803991
595,1000,18732643,2593303
595,1000,9577880,9441874
595,1000,18672340,5408915
595,1000,18928251,4507478
595,1000,17087577,2629204
595,1000,17694102,3215027
694,1000,11475855,154206
694,1000,16362749,142906
694,1000,16305447,139505
694,1000,16250545,148306
694,1000,16185741,154106
694,1000,16226144,143005
694,1000,17225783,166007
694,1000,17597498,149306
694,1000,16739963,164907
694,1000,17031075,149306
793,1000,16398450,150306
793,1000,11484955,131906
793,1000,11465655,128805
793,1000,21917969,161606
793,1000,11080939,157807
793,1000,15295306,131505
793,1000,11445954,133505
793,1000,14396470,154306
793,1000,11572359,130705
793,1000,11668862,134005
892,1000,17581396,2341493
892,1000,17190281,2162486
892,1000,17984913,4328671
892,1000,18796945,2559002
892,1000,12932612,2308092
892,1000,22015672,2596403
892,1000,18698541,4289370
892,1000,18902149,2712507
892,1000,14761585,3422335
892,1000,16852267,2333993
991,1000,23948548,2458298
991,1000,16727363,2292591
991,1000,17254484,2495699
991,1000,18503933,3020520
991,1000,16037336,2332492
991,1000,19430370,3384334
991,1000,20527914,2364393
991,1000,15277706,3372733
991,1000,17104578,2469798
991,1000,16931271,2448397
1000,2,18092817,2692106
1000,2,18361427,2372494
1000,2,17569295,2503499
1000,2,17833406,4147765
1000,2,17541395,3120824
1000,2,18819345,3419936
1000,2,18766544,3421435
1000,2,18342727,2828712
1000,2,18881147,4079261
1000,2,21982170,3133324
1000,101,17797705,2674406
1000,101,17923010,2730908
1000,101,19350367,4389774
1000,101,24506370,2735008
1000,101,19637678,2969018
1000,101,17230783,2406895
1000,101,17639599,2383894
1000,101,19878587,6320650
1000,101,16068636,2522500
1000,101,18899448,3690746
1000,200,14363369,3819151
1000,200,16952371,2589003
1000,200,18233822,2612804
1000,200,18045615,2941316
1000,200,16786665,2382994
1000,200,15730523,2320092
1000,200,18609937,3016620
1000,200,17599097,2218188
1000,200,17497793,2644605
1000,200,17400689,2399395
1000,299,17578096,2665006
1000,299,23275322,3080722
1000,299,17600797,2121684
1000,299,13034716,2644805
1000,299,16722962,2124284
1000,299,18448230,2677606
1000,299,16597657,2710408
1000,299,16285345,2359493
1000,299,19702780,2837812
1000,299,18816844,3698146
1000,398,18946850,2204587
1000,398,17489893,2335692
1000,398,16256544,2460197
1000,398,21035532,2959918
1000,398,14130060,3140524
1000,398,14617678,2129684
1000,398,15105298,2152885
1000,398,17744902,3235828
1000,398,15391109,2313792
1000,398,19464370,3843452
1000,497,14789685,5257008
1000,497,19198260,2721307
1000,497,30884722,2753609
1000,497,17434090,3186426
1000,497,14876989,2310291
1000,497,16255143,2362393
1000,497,16962271,2713607
1000,497,17313985,3585042
1000,497,14813786,2649005
1000,497,15760824,2220688
1000,596,17274084,2209687
1000,596,18472931,3382034
1000,596,14172861,2306991
1000,596,18067015,2347993
1000,596,20840125,4852792
1000,596,19699179,2711407
1000,596,18493832,2269590
1000,596,18702640,5300109
1000,596,15965631,2463498
1000,596,15698221,2377194
1000,695,14820386,2225988
1000,695,13569037,2191386
1000,695,18743641,4841992
1000,695,18719340,5171705
1000,695,17263482,2192886
1000,695,16966371,2094583
1000,695,17195180,2319892
1000,695,20735320,2683107
1000,695,18731740,2710008
1000,695,20977030,2783510
1000,794,14506874,2852412
1000,794,18299323,2481799
1000,794,13578537,2576702
1000,794,13440632,2376794
1000,794,19065554,8194824
1000,794,19328465,3342532
1000,794,17834605,3542341
1000,794,17912108,2737508
1000,794,19071754,2629204
1000,794,19020752,5380913
1000,893,16125837,2373194
1000,893,18596735,4250968
1000,893,19074554,2818711
1000,893,14916890,2854712
1000,893,16630758,2371394
1000,893,18653537,3361033
1000,893,16569955,2136985
1000,893,15370307,2214588
1000,893,17596695,2260389
1000,893,18688338,3425836
1000,992,19016651,4978797
1000,992,17069075,2285090
1000,992,14783184,2461597
1000,992,18692039,2732008
1000,992,18315023,4503678
1000,992,18897447,4778189
1000,992,19481870,3036120
1000,992,14992193,4379073
1000,992,17421689,2106183
1000,992,16540753,2098383
