Pallet: "pallet-identity", Extrinsic: "set_fee", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
r,extrinsic_time,storage_root_time
1,94903,58802
1,96703,61903
1,97103,62203
1,98404,63102
1,87903,58602
1,88403,55602
1,96103,59102
1,89004,55602
1,98304,61902
1,106804,65703
5,107804,66203
5,102904,57402
5,93004,58802
5,126405,68403
5,108904,67003
5,101804,62402
5,98804,62802
5,90704,61002
5,88603,65803
5,113105,72902
9,99504,58102
9,98204,59702
9,107604,65003
9,90204,74703
9,107204,66203
9,114105,63902
9,99104,56102
9,100804,53802
9,107904,66402
9,91504,53402
13,116104,70503
13,88403,56303
13,101804,61002
13,124405,72503
13,123204,75803
13,128405,79303
13,108304,65702
13,105904,66102
13,112104,66702
13,115205,67202
17,105704,82703
17,106104,65803
17,113104,67903
17,117505,66703
17,383915,68202
17,126405,87003
17,119705,73003
17,117604,67003
17,110504,67003
17,112904,340313
21,122605,69403
21,112704,67003
21,131705,62102
21,126604,64903
21,111005,61902
21,113105,58602
21,95904,57802
21,133305,72402
21,113404,63203
21,131205,70403
25,103904,59902
25,122405,70703
25,107404,60902
25,132306,77803
25,110604,64203
25,121304,65603
25,123505,73103
25,220209,64802
25,119005,71503
25,120205,68402
29,124805,76703
29,125005,91203
29,130305,70603
29,107504,62803
29,130905,72403
29,141505,74103
29,135605,143306
29,111804,62102
29,138405,76403
29,121605,67102
33,110004,61003
33,128905,69903
33,127205,67403
33,132005,63803
33,137205,72403
33,138805,73403
33,134805,75403
33,133706,85303
33,171807,94103
33,123605,84803
37,132705,64403
37,143106,78803
37,144806,67002
37,133605,72203
37,134806,71802
37,122004,63803
37,127505,79603
37,140206,75303
37,154605,79403
37,164106,68603
41,135205,73903
41,121205,84703
41,120005,62602
41,135605,80203
41,139805,76203
41,143605,74603
41,152406,68403
41,134205,72803
41,117404,64203
41,133405,66502
45,123205,67403
45,207308,67302
45,122305,65503
45,155005,63603
45,131505,64302
45,133505,69503
45,149606,75403
45,149906,69803
45,156306,85103
45,140705,74303
49,159807,80603
49,146005,78303
49,142705,83103
49,137705,66902
49,151806,76503
49,130705,70403
49,145706,74903
49,153506,68103
49,148106,66503
49,122005,76003
