Pallet: "pallet-staking", Extrinsic: "chill", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,152906,87603
0,129205,82703
0,126505,84603
0,116005,72702
0,119704,85103
0,128105,77003
0,125005,78803
0,117504,81003
0,127904,72803
0,127105,80703
100,130405,80903
100,109504,70603
100,140005,92103
100,153705,90204
100,145505,93504
100,132105,73203
100,149606,79803
100,133405,81903
100,113104,69803
100,127005,82203
200,114204,91303
200,116804,70803
200,114905,72202
200,154505,81003
200,120704,75603
200,130605,89103
200,132905,84403
200,133405,98203
200,133505,95104
200,132605,87403
300,155106,78202
300,134805,93403
300,130505,75802
300,118705,73302
300,124104,75703
300,132105,90903
300,139305,93904
300,118004,73503
300,114105,71002
300,127405,72302
400,112505,77702
400,115604,72803
400,151806,74003
400,138905,85903
400,133305,83203
400,120204,86903
400,105404,67403
400,111904,70502
400,131105,84503
400,137905,70303
500,456817,87003
500,128505,77502
500,124104,70203
500,136805,93503
500,135205,77403
500,114604,72803
500,134305,89403
500,132505,83403
500,132405,82503
500,147806,77203
600,192507,83803
600,133405,90303
600,116804,83703
600,107904,76303
600,125705,71502
600,110704,71003
600,117405,71102
600,133405,84603
600,109504,69402
600,122204,95104
700,117405,92803
700,139505,91503
700,125904,82903
700,135705,85803
700,112704,69203
700,135105,79003
700,108704,67703
700,129504,84503
700,134505,85204
700,137305,87103
800,137205,94103
800,131904,82604
800,137305,88303
800,145105,74303
800,139005,93104
800,122704,71203
800,111504,80903
800,134905,85304
800,139005,72703
800,154006,79803
900,129705,91704
900,138405,85503
900,133805,76603
900,139205,88804
900,141005,89903
900,124905,78902
900,127905,84403
900,133405,82403
900,131805,84603
900,118505,73902
1000,131404,85203
1000,140205,91603
1000,142206,90103
1000,119004,76903
1000,150705,88304
1000,128705,73903
1000,341913,105304
1000,133805,96804
1000,142505,85103
1000,124504,90704
