Pallet: "pallet-staking", Extrinsic: "do_slash", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
l,extrinsic_time,storage_root_time
1,2980812,238009
1,3040414,227809
1,6769253,216408
1,3045814,224309
1,2656899,212208
1,3208720,234309
1,3036013,222208
1,3045614,241209
1,3171518,248710
1,7752390,334613
100,3042214,225208
100,2562896,234308
100,3032113,227309
100,3176819,243309
100,2701601,204908
100,2744402,221709
100,2901408,618623
100,3022613,250809
100,2847107,202908
100,3136117,230709
199,9498555,284411
199,3142818,249809
199,2700501,241509
199,3263222,243109
199,2704301,195707
199,2921809,207508
199,2762604,196607
199,3095416,237409
199,3294023,267610
199,4004850,258110
298,3046714,255910
298,2621298,200708
298,3213920,243909
298,8381413,283011
298,3183519,223108
298,2539395,194507
298,3508031,233309
298,3155718,234609
298,3005812,305612
298,2733702,217208
397,2773004,215108
397,3099916,226609
397,3081115,237309
397,9059339,237209
397,3324925,236609
397,2665000,243909
397,2712602,226008
397,2728302,227609
397,2828306,210808
397,3532032,412716
496,2624299,257909
496,2837406,237909
496,2738403,195907
496,3093416,269410
496,3132617,200107
496,2918509,224509
496,2719002,223508
496,2892808,212708
496,2832806,200008
496,2766004,196407
595,2733103,363713
595,2746303,221808
595,2848307,978336
595,3114816,235209
595,2880908,244909
595,2693601,471317
595,2818506,464217
595,2718801,210108
595,2668900,224708
595,3153318,242109
694,2882208,236309
694,2704801,214408
694,2978712,230208
694,3610235,242209
694,3013313,232409
694,2671900,204808
694,3220620,238009
694,2857907,207908
694,2749703,220408
694,3317724,252309
793,2929109,261710
793,2663000,231009
793,8045501,241609
793,2662200,212308
793,2940010,232609
793,2811705,222108
793,2973511,262210
793,3082215,235309
793,2677600,218109
793,3227821,244609
892,3045614,230508
892,3744540,4557071
892,17702362,319512
892,2592597,199308
892,3071115,228808
892,3372427,263809
892,3086216,247409
892,3243521,412116
892,2679000,229609
892,3071715,231008
991,3180019,250910
991,3137917,239109
991,11907045,271610
991,2902008,207208
991,5326199,239409
991,2640999,202407
991,7514081,256910
991,3915247,274010
991,6526544,225109
991,2869708,222908
