Pallet: "pallet-staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
v,n,extrinsic_time,storage_root_time
1,100,57059526,251809
1,100,54875844,222109
1,100,48375303,190907
1,100,51177807,201207
1,100,58793991,210408
1,100,58675286,238009
1,100,55979087,240809
1,100,62588133,239809
1,100,52678463,205408
1,100,57899458,247909
2,100,71626169,255610
2,100,68804365,248109
2,100,91701118,354214
2,100,71484064,262310
2,100,72371598,279910
2,100,70505528,256710
2,100,93878800,665724
2,100,84722259,287610
2,100,80081286,620623
2,100,87338056,406715
3,100,103575761,372514
3,100,98831185,319412
3,100,101336278,369214
3,100,101688091,314812
3,100,94660730,413115
3,100,93140773,371214
3,100,107353903,273110
3,100,105465633,327813
3,100,102679929,311512
3,100,90123361,329413
4,100,130785378,362613
4,100,114881484,344613
4,100,111356253,345813
4,100,111572662,427516
4,100,114475470,623223
4,100,113441631,355413
4,100,111157746,338313
4,100,122019951,348713
4,100,107967127,300512
4,100,130255059,515119
5,100,131769115,358213
5,100,144670897,395114
5,100,129343525,322212
5,100,137675236,374414
5,100,152165176,408715
5,100,155050284,406315
5,100,145630533,335312
5,100,139238895,380814
5,100,141581082,388815
5,100,153049410,406915
6,100,168300279,466918
6,100,154675871,451617
6,100,161187014,1245646
6,100,159116637,465717
6,100,159511351,396915
6,100,155612406,503618
6,100,171509700,500218
6,100,171369994,479818
6,100,168813399,484919
6,100,184721892,514820
7,100,192752992,486218
7,100,170280754,434417
7,100,189521272,446816
7,100,175822961,442116
7,100,190357704,477217
7,100,175859362,389015
7,100,177254215,426116
7,100,175964366,463118
7,100,196088418,486618
7,100,180776047,435916
8,100,193808633,438016
8,100,240270067,537220
8,100,214845218,565321
8,100,216417277,528919
8,100,218666261,503319
8,100,210267248,540420
8,100,205985388,535020
8,100,210865070,508619
8,100,205918186,438316
8,100,203737405,465017
9,100,250326044,578321
9,100,237184053,541120
9,100,229562768,533920
9,100,216914397,479118
9,100,229163654,532720
9,100,213940886,511719
9,100,217823230,467318
9,100,211974113,831131
9,100,228943246,577322
9,100,214414503,468018
10,100,14453356519,4919884
10,100,18197836914,4900383
10,100,15678218075,4911183
10,100,14444159021,5517206
10,100,18043728215,4696976
10,100,17538938587,4636973
10,100,17278087365,4892783
10,100,19167657228,5177493
10,100,21536542091,4553170
10,100,18728219055,5017087
10,1,10667898,319412
10,1,15081763,373014
10,1,10358787,319412
10,1,10982810,390315
10,1,10923508,367013
10,1,10486992,328912
10,1,10495791,339013
10,1,11219319,359613
10,1,10405188,343513
10,1,11104715,356613
10,10,32837026,367114
10,10,37051283,414716
10,10,34699095,399615
10,10,37699708,423116
10,10,29914517,365513
10,10,35778036,365614
10,10,39182063,425816
10,10,31706984,351913
10,10,36925479,411416
10,10,38955955,427316
10,19,52175648,475318
10,19,52020842,441317
10,19,57227236,468218
10,19,64140995,572521
10,19,55930188,451317
10,19,51945940,418816
10,19,59087606,364414
10,19,50553687,401315
10,19,54429032,406815
10,19,50819898,422316
10,28,76397052,394315
10,28,71648476,461517
10,28,84939172,946235
10,28,83489318,444016
10,28,77988712,480018
10,28,65525447,419916
10,28,75234009,479818
10,28,83735726,472618
10,28,66702691,377314
10,28,85341086,434117
10,37,93781902,532320
10,37,101293798,595222
10,37,103960198,518219
10,37,90754202,480418
10,37,103144667,487319
10,37,92681775,457017
10,37,100163855,481318
10,37,91920046,495419
10,37,100122954,487218
10,37,95147767,503819
10,46,122606696,549921
10,46,118863755,536420
10,46,122891407,554220
10,46,118429139,508619
10,46,108608671,461018
10,46,116486366,540920
10,46,124322360,452417
10,46,106402188,440716
10,46,114781402,528420
10,46,112691423,518819
10,55,145262844,552520
10,55,125076187,466017
10,55,121578656,595222
10,55,124778076,480018
10,55,130056174,463717
10,55,132088049,517319
10,55,134319733,446316
10,55,137352347,526719
10,55,132781675,492219
10,55,126038523,480318
10,64,152549216,687125
10,64,146058872,581122
10,64,146788299,707826
10,64,167186764,1289948
10,64,170142173,556521
10,64,149144887,480918
10,64,151881789,557321
10,64,178824499,554221
10,64,151835988,451617
10,64,158245828,450817
10,73,192812522,552320
10,73,173906314,547220
10,73,165326092,592722
10,73,166089121,495418
10,73,180436858,502919
10,73,172463259,493118
10,73,179741631,497319
10,73,156719569,494919
10,73,170309078,506719
10,73,186194172,574922
10,82,187416218,475618
10,82,192172896,499118
10,82,199222060,566621
10,82,188500458,750528
10,82,199822582,489018
10,82,189387591,537220
10,82,182550834,510320
10,82,190149119,513019
10,82,203010900,2071378
10,82,204466555,568321
10,91,218045763,564621
10,91,225841855,581722
10,91,226902694,540720
10,91,203238408,538020
10,91,229064774,642424
10,91,206298522,581122
10,91,217619745,541521
10,91,218162166,613823
10,91,221799202,588322
10,91,198220619,777229
10,100,9168239732,5267898
10,100,18999686839,4913584
10,100,22763404321,4647374
10,100,5186302964,4700576
10,100,16181578157,5020588
10,100,21183744465,5545908
10,100,16372774127,4938284
10,100,16953459717,5447904
10,100,18884561120,4394664
10,100,20616604368,5487105
