Pallet: "pallet-staking", Extrinsic: "set_history_depth", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
e,extrinsic_time,storage_root_time
1,458217,282811
1,322111,211507
1,346013,227608
1,368414,244709
1,343412,221009
1,314511,202308
1,322712,228809
1,358113,237309
1,313412,198707
1,339813,215908
10,2360788,576222
10,2038176,580522
10,2822305,651224
10,1950172,659425
10,2424590,718527
10,2291586,615123
10,2152380,650924
10,2081277,598423
10,1976574,579821
10,2023475,574721
19,8424214,1100141
19,8697424,1135042
19,7982098,1113141
19,8191405,1007738
19,8117403,1094440
19,3743340,4968985
19,3741539,5079289
19,8666022,1424753
19,9113340,1001237
19,8148703,1065840
28,11009710,5614509
28,10279783,1498155
28,16863028,1679562
28,10186380,5344899
28,11513229,5691012
28,11385524,6330936
28,5932721,1510156
28,10279683,5646910
28,11592132,5707312
28,9954870,1558758
37,17732260,2096778
37,11517629,4442365
37,11544829,5653810
37,11572631,3903545
37,12798077,1937772
37,11612732,5277197
37,11432225,5118890
37,11501828,5274297
37,16790125,1749765
37,11213317,5519906
46,18465788,2224983
46,23030257,2654599
46,18250480,2494292
46,16478714,2138679
46,18449487,3267421
46,19302618,3692538
46,17569455,2282385
46,15569080,2027475
46,16210304,2000075
46,17107437,2502793
55,19175814,2577596
55,20352558,3734539
55,20770473,2774104
55,20005745,3199219
55,21986119,3443128
55,23331469,2976711
55,19482425,3390326
55,19650032,2641598
55,17669758,3239221
55,20443261,3680137
64,24211001,2973711
64,27873938,3479529
64,23233565,3353425
64,21769811,4841880
64,21855614,3143517
64,25429547,3192718
64,34135371,3701438
64,24718420,3137617
64,24371307,3095216
64,24696620,3421727
73,25112535,3091615
73,25227139,3115216
73,25878764,3576433
73,26371882,3382726
73,29166786,4040350
73,27841037,3339824
73,27142810,3836143
73,26202775,3363626
73,26323880,6367737
73,28681769,3621635
82,29952415,3992949
82,25864163,5393201
82,30057819,3900745
82,29869412,4179356
82,27482924,3934547
82,26898201,4568571
82,31414170,4300560
82,30913251,4011849
82,30204025,4030550
82,27882438,3677237
91,29073783,4297260
91,34131871,4320161
91,27360619,4028650
91,29298091,4302861
91,27040607,4702176
91,32926126,4459567
91,29041982,4559270
91,32526712,4397664
91,36885774,4730376
91,29755108,4968185
100,31006555,5584308
100,35227112,5093190
100,33587851,4506568
100,35365517,5179893
100,31822485,4686075
100,28262052,4487867
100,36987178,4487767
100,33760657,5055289
100,35910537,4960185
100,37206186,5424802
