Pallet: "pallet-vesting", Extrinsic: "vested_transfer", Lowest values: [], Highest values: [], Steps: [10], Repeat: 10
u,extrinsic_time,storage_root_time
0,19639031,2565795
0,23446874,4186556
0,21565404,2394189
0,18208179,2747002
0,23691283,3034913
0,18905905,2389189
0,21436899,2840205
0,17714861,2385889
0,19234717,2663599
0,20607768,2639099
100,23503176,2825106
100,15686285,3217820
100,21908416,2754103
100,20730973,2651699
100,21348696,3624235
100,20673971,3535932
100,21068885,3079715
100,21046884,2674100
100,22107624,3109016
100,18957906,2818706
200,19148914,2572896
200,19359422,3083715
200,19616532,2616597
200,20746074,3258721
200,17710361,2510293
200,22739447,2919309
200,19281018,2632098
200,18922706,2836405
200,23369372,2764303
200,18975908,2494893
300,17772363,2439791
300,19194716,2515894
300,21959019,2870407
300,28257454,3125716
300,21874016,2662199
300,19012709,2482493
300,19400123,2571996
300,24736423,2951510
300,21898417,2663999
300,16058399,3735939
400,21565404,3082015
400,22762848,2937610
400,31462873,3340324
400,20401061,2309986
400,32082596,2977111
400,23685083,3207719
400,24242504,2672999
400,20466163,2533395
400,22269531,3067814
400,21133388,2876607
500,18865204,2377788
500,23606380,2876208
500,21014084,2659499
500,21780512,2453691
500,23652182,2935010
500,24803525,2667499
500,24597417,2665200
500,22798150,3315824
500,19589130,2688900
500,18563792,2360988
600,22939556,2413290
600,22520240,3163218
600,23183964,3039514
600,18095175,2503093
600,17162940,2496593
600,23334571,2668299
600,18933306,2753002
600,16628820,3005212
600,18492790,2330386
600,20751474,2804104
700,23689983,2865907
700,13125490,2289885
700,19230917,2303386
700,22060322,3080515
700,19539428,2458192
700,22855852,2857307
700,26235478,4890083
700,20141952,2335387
700,24420110,3232321
700,18701097,2598396
800,18920505,2677100
800,23487076,2662899
800,24336907,3426928
800,25320444,3050514
800,19386823,2632398
800,18404287,2888507
800,21645807,2666799
800,18338484,2395389
800,24768423,3225421
800,20031147,2537095
900,18567093,3381626
900,21865216,2764203
900,18811702,2595697
900,22951556,2587697
900,11378825,7821291
900,20170752,2696701
900,18036373,2657299
900,18382686,2573296
900,19022610,2772903
900,18128476,2533795
1000,17555455,2123579
1000,20127851,3054814
1000,23696983,3181819
1000,26980806,3484030
1000,19620932,3807042
1000,20530966,2835205
1000,19098112,2695601
1000,18163077,2508894
1000,21119888,2679500
1000,16742425,2627098
